% 1. Title: Leap Data Database
%
% 2. Sources :
% (a)Creator : Giulio Marin, Fabio Dominio, Pietro Zanuttigh, and Binghamton SRI 2016
% (b)Date : Summer 2016
%
@RELATION gesture

@ATTRIBUTE numFingers  NUMERIC
@ATTRIBUTE newFingerTipDistRefined_f1  NUMERIC
@ATTRIBUTE newFingerTipDistRefined_f2  NUMERIC
@ATTRIBUTE newFingerTipDistRefined_f3  NUMERIC
@ATTRIBUTE newFingerTipDistRefined_f4  NUMERIC
@ATTRIBUTE newFingerTipDistRefined_f5  NUMERIC
@ATTRIBUTE fingertipPosition_f1x  NUMERIC
@ATTRIBUTE fingertipPosition_f1y  NUMERIC
@ATTRIBUTE fingertipPosition_f1z  NUMERIC
@ATTRIBUTE fingertipPosition_f2x  NUMERIC
@ATTRIBUTE fingertipPosition_f2y  NUMERIC
@ATTRIBUTE fingertipPosition_f2z  NUMERIC
@ATTRIBUTE fingertipPosition_f3x  NUMERIC
@ATTRIBUTE fingertipPosition_f3y  NUMERIC
@ATTRIBUTE fingertipPosition_f3z  NUMERIC
@ATTRIBUTE fingertipPosition_f4x  NUMERIC
@ATTRIBUTE fingertipPosition_f4y  NUMERIC
@ATTRIBUTE fingertipPosition_f4z  NUMERIC
@ATTRIBUTE fingertipPosition_f5x  NUMERIC
@ATTRIBUTE fingertipPosition_f5y  NUMERIC
@ATTRIBUTE fingertipPosition_f5z  NUMERIC
@ATTRIBUTE fingertipAngles_f1   NUMERIC
@ATTRIBUTE fingertipAngles_f2   NUMERIC
@ATTRIBUTE fingertipAngles_f3   NUMERIC
@ATTRIBUTE fingertipAngles_f4   NUMERIC
@ATTRIBUTE fingertipAngles_f5   NUMERIC
@ATTRIBUTE fingertipElevation_f1   NUMERIC
@ATTRIBUTE fingertipElevation_f2   NUMERIC
@ATTRIBUTE fingertipElevation_f3   NUMERIC
@ATTRIBUTE fingertipElevation_f4   NUMERIC
@ATTRIBUTE fingertipElevation_f5   NUMERIC
@ATTRIBUTE fingersExtended   NUMERIC
@ATTRIBUTE fingersAreasAverage   NUMERIC
@ATTRIBUTE class { G1, G2, G3, G4, G5, G6, G7, G8, G9, G0 }

@DATA
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,00000,0.000000,G1
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,00000,0.000000,G1
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,00000,0.000000,G1
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,00000,0.000000,G1
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,00000,0.000000,G1
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,00000,0.000000,G1
3,1.173663,1.234516,0.942134,0.000000,0.000000,-82.258301,371.656006,25.628099,-34.603802,386.864014,6.273130,24.237499,347.381989,20.895800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.211920,2.935693,2.267925,0.000000,0.000000,2.783273,3.030000,2.587216,0.000000,0.000000,01101,-7861791.500000,G0
3,1.196520,1.217926,0.939195,0.000000,0.000000,-90.384499,371.057007,64.475304,-49.965500,381.040985,32.367699,12.419300,343.946991,31.846901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.268473,2.992124,2.277319,0.000000,0.000000,3.055740,3.259898,2.818214,0.000000,0.000000,01101,-7861791.500000,G0
3,1.182993,1.232640,0.988416,0.000000,0.000000,-63.609100,362.963989,47.293598,-17.350800,377.541992,30.307400,44.249500,352.084991,55.909698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.366298,2.795114,2.101999,0.000000,0.000000,3.487468,3.669697,3.180849,0.000000,0.000000,01101,-7861791.500000,G0
3,1.191663,1.217138,0.975670,0.000000,0.000000,-29.375700,356.928009,37.359402,19.398100,361.178986,28.856100,71.513603,328.880005,65.164597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.303059,2.907692,2.145768,0.000000,0.000000,2.981290,3.161629,2.710331,0.000000,0.000000,01101,-7861792.000000,G0
3,1.186486,1.220381,0.961907,0.000000,0.000000,-78.877502,357.942993,59.773800,-33.209202,372.152008,40.450298,30.079599,340.937012,57.062000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.225007,2.959805,2.262582,0.000000,0.000000,2.936894,3.163890,2.742073,0.000000,0.000000,01101,-7861791.500000,G0
3,1.158529,1.233531,0.983988,0.000000,0.000000,-59.286598,368.423004,75.956100,-16.737101,386.989014,58.625599,46.708401,352.697998,68.282501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.368658,3.018006,2.220174,0.000000,0.000000,3.430044,3.662693,3.202039,0.000000,0.000000,01101,-7861791.500000,G0
1,1.000000,0.000000,0.000000,0.000000,0.000000,-28.119600,333.781006,36.015202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.023832,0.000000,0.000000,0.000000,0.000000,0.854355,0.000000,0.000000,0.000000,0.000000,01000,0.000000,G2
1,1.000000,0.000000,0.000000,0.000000,0.000000,-80.494499,352.255005,98.877800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.168973,0.000000,0.000000,0.000000,0.000000,0.931640,0.000000,0.000000,0.000000,0.000000,01000,0.000000,G2
1,1.000000,0.000000,0.000000,0.000000,0.000000,-46.136101,373.221985,167.695999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.101962,0.000000,0.000000,0.000000,0.000000,0.895883,0.000000,0.000000,0.000000,0.000000,01000,0.000000,G2
1,1.000000,0.000000,0.000000,0.000000,0.000000,10.548700,376.302002,185.003998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.247571,0.000000,0.000000,0.000000,0.000000,1.561169,0.000000,0.000000,0.000000,0.000000,01000,0.000000,G2
