@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,4,5,12-17,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,-0.299509,0.890207,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
1,0,-0.364708,0.785661,0,0,0,0,0,0,G1
1,0,-0.485387,0.869856,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
1,0,-0.295764,0.93356,0,0,0,0,0,0,G1
2,1101,0.238329,1.058861,0,165.94075,170.04158,0,123.725075,0,G0
1,1101,0.397396,0.832151,0,172.187881,128.42746,0,128.42746,0,G0
3,1101,0.493598,0.965314,0,160.248077,175.221802,0,163.788162,0,G0
3,1101,0.355675,0.988549,0,162.538147,176.810699,0,165.316177,0,G0
3,1101,0.57835,0.895118,0,166.265427,173.450211,0,164.459503,0,G0
3,1101,0.724144,0.870628,0,162.707352,174.88089,0,162.41626,0,G0
3,1101,0.508686,0.998301,0,161.301956,176.001328,0,164.326782,0,G0
3,1101,0.530267,1.068097,0,166.359055,177.620682,0,165.832794,0,G0
2,1101,0.362851,1.121722,0,168.408493,172.227234,0,129.517105,0,G0
2,1101,0.221858,1.068544,0,165.927948,170.322205,0,123.692383,0,G0
0,1000,0,0,0,120.927055,0,0,0,0,G2
1,1000,-0.10714,0.827349,0,91.379471,0,0,0,0,G2
1,1000,-0.176397,0.885353,0,98.929314,0,0,0,0,G2
1,1000,-0.180172,0.929243,0,95.270508,0,0,0,0,G2
1,1000,-0.163734,0.943691,0,150.041885,0,0,0,0,G2
1,1000,-0.147143,0.935648,0,161.043701,0,0,0,0,G2
1,1000,-0.138131,0.873468,0,130.347443,0,0,0,0,G2
1,1000,-0.20808,0.727005,0,112.966377,0,0,0,0,G2
0,1000,0,0,0,107.709633,0,0,0,0,G2
1,1000,-0.358454,0.729622,0,47.264568,0,0,0,0,G2
1,1,0.541412,0.83058,0,0,0,0,171.153748,0,G3
0,1,0,0,0,0,0,0,144.837021,0,G3
1,1,0.462858,0.841609,0,0,0,0,172.400543,0,G3
1,1,0.659998,0.728467,0,0,0,0,171.456879,0,G3
0,1,0,0,0,0,0,0,139.062225,0,G3
1,1,0.476256,0.828946,0,0,0,0,172.304108,0,G3
1,1,0.392557,0.889354,0,0,0,0,172.732635,0,G3
1,1,0.390461,0.873453,0,0,0,0,171.895767,0,G3
1,1,0.306161,0.746036,0,0,0,0,170.648392,0,G3
1,1,0.465563,0.87375,0,0,0,0,171.617432,0,G3
2,11000,-0.308619,1.28561,144.155319,153.658112,0,0,0,1.955073,G4
2,11000,-0.193841,1.128605,150.701721,158.119293,0,0,0,2.721886,G4
1,11000,0.761958,-0.644317,137.432404,103.332138,0,0,0,1.400174,G4
1,11000,-0.870415,0.246019,144.07576,119.915398,0,0,0,1.687941,G4
2,11000,-0.442109,0.342575,90.996857,90.841606,0,0,0,1.193801,G4
3,11000,2.217399,3.957813,132.467941,131.626663,0,0,0,5.929871,G4
3,11000,0.025788,2.411074,155.962585,139.936996,0,0,0,5.095947,G4
2,11000,-0.216412,1.204008,162.99614,140.126602,0,0,0,2.639253,G4
2,11000,-0.337742,1.27062,139.200562,155.319244,0,0,0,1.892025,G4
2,11000,-0.201674,1.357879,106.547577,110.663086,0,0,0,1.015194,G4
1,1100,0.057267,0.972637,0,164.074326,121.83271,0,0,0,G5
2,1100,0.064748,0.974128,0,145.479355,152.739304,0,0,0,G5
2,1100,-0.022499,0.867764,0,163.900574,170.32338,0,0,0,G5
2,1100,-0.009446,0.877682,0,162.605179,169.970291,0,0,0,G5
2,1100,0.006147,0.997972,0,155.845551,163.895401,0,0,0,G5
1,1100,0.019301,0.960213,0,165.836548,117.268494,0,0,0,G5
2,1100,0.039962,1.034228,0,172.524399,173.620392,0,0,0,G5
1,1100,0.032045,0.996419,0,176.36644,132.990967,0,0,0,G5
0,1100,0,0,0,125.737183,125.737183,0,0,0,G5
1,1100,0.08606,0.969423,0,163.471024,121.620369,0,0,0,G5
3,1110,0.139896,0.993641,0,162.548111,171.519302,164.818192,0,0,G6
1,1110,0.216966,0.938215,0,176.308212,138.512131,138.512131,0,0,G6
3,1110,0.157546,0.926696,0,159.927841,176.875122,164.071777,0,0,G6
3,1110,0.14616,0.912681,0,159.776962,175.001617,162.559204,0,0,G6
3,1110,0.141615,0.922221,0,159.760223,173.856689,162.611252,0,0,G6
3,1110,0.212588,1.078765,0,165.313492,172.76358,168.305649,0,0,G6
3,1110,0.417174,1.005026,0,163.474945,173.360367,165.86879,0,0,G6
2,1110,-0.166341,0.745789,0,165.097717,166.641983,127.405434,0,0,G6
3,1110,-0.073798,1.073336,0,164.282593,172.933884,166.22258,0,0,G6
3,1110,0.082209,1.170329,0,169.11496,173.774216,171.354416,0,0,G6
2,10001,0.844688,0.81088,147.085251,0,0,0,148.129181,2.482913,G7
2,10001,0.811327,1.022262,157.913773,0,0,0,159.994034,3.797475,G7
2,10001,0.842655,1.057828,157.507599,0,0,0,159.018936,3.830956,G7
2,10001,1.014016,1.037736,153.025574,0,0,0,153.746048,3.459963,G7
2,10001,0.91576,1.124422,161.066452,0,0,0,162.288223,4.532323,G7
3,10001,0.86249,1.360674,163.005173,0,0,0,173.747086,5.440592,G7
2,10001,0.508107,0.776607,142.965393,0,0,0,147.75795,2.534494,G7
2,10001,0.839336,1.519801,167.050568,0,0,0,170.811218,7.381264,G7
2,10001,0.644728,0.944019,152.067429,0,0,0,156.85112,3.23059,G7
2,10001,0.29487,1.060393,160.481659,0,0,0,162.284927,3.801165,G7
3,11001,0.483445,1.367308,158.821487,176.447128,0,0,163.072083,3.647359,G8
2,11001,0.829864,1.373388,161.688507,162.615356,0,0,139.254593,5.400174,G8
3,11001,0.567829,1.426975,158.159668,177.020065,0,0,161.198853,3.655792,G8
2,11001,0.761607,1.478418,161.941376,163.952332,0,0,140.021179,5.708855,G8
3,11001,0.642846,1.471149,159.03038,177.220047,0,0,162.234543,4.143015,G8
2,11001,0.283297,1.272335,159.653076,162.882004,0,0,140.35405,4.522891,G8
3,11001,0.607018,1.179867,160.37233,178.498825,0,0,161.39592,3.672434,G8
2,11001,0.633312,1.259652,164.474838,165.52327,0,0,141.323166,4.833115,G8
3,11001,0.447865,1.236284,160.407837,175.823914,0,0,161.995728,3.885646,G8
3,11001,0.622475,1.343418,158.70433,176.894485,0,0,161.318726,3.950901,G8
4,11111,0.530258,1.504573,162.803726,176.261475,172.393829,166.18251,148.512497,4.140366,G9
