@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,5,6,7-11,12-17,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,0.890207,1,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0.785661,1,0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0.869856,1,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0.93356,1,0,0,0,0,0,0,0,0,0,0,0,G1
2,1101,1.058861,32.128532,0,1.160427,0.920108,0,0,0,165.94075,170.04158,0,123.725075,0,G0
1,1101,0.832151,1,0,0.999997,0,0,0,0,172.187881,128.42746,0,128.42746,0,G0
3,1101,0.965314,23.471453,0,1.173661,1.234522,0,0.942133,0,160.248077,175.221802,0,163.788162,0,G0
3,1101,0.988549,23.955109,0,1.196519,1.217923,0,0.939192,0,162.538147,176.810699,0,165.316177,0,G0
3,1101,0.895118,23.617138,0,1.18299,1.232636,0,0.988413,0,166.265427,173.450211,0,164.459503,0,G0
3,1101,0.870628,23.632465,0,1.191666,1.217141,0,0.975672,0,162.707352,174.88089,0,162.41626,0,G0
3,1101,0.998301,23.944956,0,1.186488,1.220379,0,0.961907,0,161.301956,176.001328,0,164.326782,0,G0
3,1101,1.068097,23.390223,0,1.158527,1.233534,0,0.983986,0,166.359055,177.620682,0,165.832794,0,G0
2,1101,1.121722,31.454571,0,1.190305,0.904634,0,0,0,168.408493,172.227234,0,129.517105,0,G0
2,1101,1.068544,31.916876,0,1.158608,0.917696,0,0,0,165.927948,170.322205,0,123.692383,0,G0
0,1000,0,0,0,0,0,0,0,0,120.927055,0,0,0,0,G2
1,1000,0.827349,1,0,0.999999,0,0,0,0,91.379471,0,0,0,0,G2
1,1000,0.885353,1,0,0.999996,0,0,0,0,98.929314,0,0,0,0,G2
1,1000,0.929243,1,0,1.000003,0,0,0,0,95.270508,0,0,0,0,G2
1,1000,0.943691,1,0,1.000005,0,0,0,0,150.041885,0,0,0,0,G2
1,1000,0.935648,1,0,1.000003,0,0,0,0,161.043701,0,0,0,0,G2
1,1000,0.873468,1,0,1.000003,0,0,0,0,130.347443,0,0,0,0,G2
1,1000,0.727005,1,0,1.000001,0,0,0,0,112.966377,0,0,0,0,G2
0,1000,0,0,0,0,0,0,0,0,107.709633,0,0,0,0,G2
1,1000,0.729622,1,0,1,0,0,0,0,47.264568,0,0,0,0,G2
1,1,0.83058,1,0,0,0,0,1.000003,0,0,0,0,171.153748,0,G3
0,1,0,0,0,0,0,0,0,0,0,0,0,144.837021,0,G3
1,1,0.841609,1,0,0,0,0,0.999997,0,0,0,0,172.400543,0,G3
1,1,0.728467,1,0,0,0,0,1.000007,0,0,0,0,171.456879,0,G3
0,1,0,0,0,0,0,0,0,0,0,0,0,139.062225,0,G3
1,1,0.828946,1,0,0,0,0,1.000001,0,0,0,0,172.304108,0,G3
1,1,0.889354,1,0,0,0,0,0.999997,0,0,0,0,172.732635,0,G3
