@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,6,18-22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute fingersAreas numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,G1
1,0,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,G1
2,1101,32.128532,2.416847,0,0,0,G0
1,1101,1,0,0,0,0,G0
3,1101,23.471453,3.03,2.587216,0,0,G0
3,1101,23.955109,3.259898,2.818214,0,0,G0
3,1101,23.617138,3.669697,3.180849,0,0,G0
3,1101,23.632465,3.161629,2.710331,0,0,G0
3,1101,23.944956,3.16389,2.742073,0,0,G0
3,1101,23.390223,3.662693,3.202039,0,0,G0
2,1101,31.454571,2.818256,0,0,0,G0
2,1101,31.916876,2.418613,0,0,0,G0
0,1000,0,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1,1,0,0,0,0,G3
0,1,0,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
0,1,0,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
2,11000,68.443039,2.493204,0,0,0,G4
2,11000,73.717079,3.170856,0,0,0,G4
1,11000,1,0,0,0,0,G4
1,11000,1,0,0,0,0,G4
2,11000,36.890366,0.556692,0,0,0,G4
3,11000,99.374763,6.226292,1.330289,0,0,G4
3,11000,54.74033,3.985072,2.221399,0,0,G4
2,11000,64.424599,1.974227,0,0,0,G4
2,11000,69.695953,2.613186,0,0,0,G4
2,11000,73.834328,1.585306,0,0,0,G4
1,1100,1,0,0,0,0,G5
2,1100,25.616379,1.706897,0,0,0,G5
2,1100,25.629665,2.175918,0,0,0,G5
2,1100,25.679893,2.163668,0,0,0,G5
2,1100,27.027773,2.193389,0,0,0,G5
1,1100,1,0,0,0,0,G5
2,1100,27.902817,3.2916,0,0,0,G5
1,1100,1,0,0,0,0,G5
0,1100,0,0,0,0,0,G5
1,1100,1,0,0,0,0,G5
3,1110,18.979395,2.517935,2.306317,0,0,G6
1,1110,1,0,0,0,0,G6
3,1110,18.622959,2.490292,2.269758,0,0,G6
3,1110,18.366129,2.413261,2.189,0,0,G6
3,1110,17.936562,2.365904,2.140013,0,0,G6
3,1110,17.76836,2.750862,2.556167,0,0,G6
3,1110,17.800419,2.605932,2.410807,0,0,G6
2,1110,38.0121,2.709472,0,0,0,G6
3,1110,18.599554,2.753147,2.513848,0,0,G6
3,1110,18.201717,3.458158,3.232599,0,0,G6
2,10001,69.908165,2.585142,0,0,0,G7
2,10001,77.238541,3.898848,0,0,0,G7
2,10001,79.161362,3.925811,0,0,0,G7
2,10001,83.083595,3.379407,0,0,0,G7
2,10001,78.348076,4.741308,0,0,0,G7
3,10001,44.688377,4.877326,5.511092,0,0,G7
2,10001,78.815231,2.779773,0,0,0,G7
2,10001,75.410538,8.375031,0,0,0,G7
2,10001,79.038055,3.456703,0,0,0,G7
2,10001,70.284538,4.002843,0,0,0,G7
3,11001,31.84795,4.541636,3.928185,0,0,G8
2,11001,87.031273,5.742901,0,0,0,G8
3,11001,31.582924,4.830408,4.076703,0,0,G8
2,11001,88.510788,6.109691,0,0,0,G8
3,11001,34.360435,5.293864,4.627994,0,0,G8
2,11001,81.049911,5.009287,0,0,0,G8
3,11001,31.013523,4.37043,3.820997,0,0,G8
2,11001,71.723534,5.031978,0,0,0,G8
3,11001,32.058792,4.664822,4.101339,0,0,G8
3,11001,33.020748,4.909639,4.212711,0,0,G8
4,11111,16.910755,5.090964,5.258568,4.605475,0,G9
5,11111,13.740136,4.029668,4.13579,4.052598,3.695958,G9
5,11111,14.779031,3.54582,3.685647,3.625459,3.334631,G9
5,11111,11.713248,4.680151,4.839375,4.706978,4.295236,G9
1,11111,1,0,0,0,0,G9
5,11111,11.588235,5.102254,5.15669,4.987046,4.58841,G9
1,11111,1,0,0,0,0,G9
5,11111,11.072308,3.961159,4.167908,4.034494,3.587493,G9
5,11111,10.192496,4.483907,4.720399,4.584064,4.103108,G9
4,11111,16.426311,5.240202,5.070769,4.699021,0,G9
1,0,1,0,0,0,0,G1
1,0,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,G1
1,0,1,0,0,0,0,G1
1,0,1,0,0,0,0,G1
1,0,1,0,0,0,0,G1
1,0,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
3,1101,19.429249,1.937189,1.347058,0,0,G0
3,1101,22.119347,2.218632,1.700621,0,0,G0
3,1101,22.894224,2.43873,1.93843,0,0,G0
3,1101,23.186516,2.383836,1.730752,0,0,G0
4,1101,19.955507,2.540933,1.456636,2.030975,0,G0
3,1101,22.108004,2.194056,1.710254,0,0,G0
3,1101,22.267647,3.99514,3.687164,0,0,G0
3,1101,22.644402,3.53889,3.087073,0,0,G0
3,1101,21.962376,2.343077,1.830847,0,0,G0
3,1101,19.529358,2.154966,1.429949,0,0,G0
