@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,3,4,5,18-22'

@attribute numFingers numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,1,-0.299509,0.890207,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,1,-0.364708,0.785661,0,0,0,0,G1
1,1,-0.485387,0.869856,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,1,-0.295764,0.93356,0,0,0,0,G1
2,0.016534,0.238329,1.058861,2.416847,0,0,0,G0
1,1,0.397396,0.832151,0,0,0,0,G0
3,0.011292,0.493598,0.965314,3.03,2.587216,0,0,G0
3,0.010951,0.355675,0.988549,3.259898,2.818214,0,0,G0
3,0.011335,0.57835,0.895118,3.669697,3.180849,0,0,G0
3,0.011234,0.724144,0.870628,3.161629,2.710331,0,0,G0
3,0.011063,0.508686,0.998301,3.16389,2.742073,0,0,G0
3,0.011482,0.530267,1.068097,3.662693,3.202039,0,0,G0
2,0.017025,0.362851,1.121722,2.818256,0,0,0,G0
2,0.016541,0.221858,1.068544,2.418613,0,0,0,G0
0,0,0,0,0,0,0,0,G2
1,1,-0.10714,0.827349,0,0,0,0,G2
1,1,-0.176397,0.885353,0,0,0,0,G2
1,1,-0.180172,0.929243,0,0,0,0,G2
1,1,-0.163734,0.943691,0,0,0,0,G2
1,1,-0.147143,0.935648,0,0,0,0,G2
1,1,-0.138131,0.873468,0,0,0,0,G2
1,1,-0.20808,0.727005,0,0,0,0,G2
0,0,0,0,0,0,0,0,G2
1,1,-0.358454,0.729622,0,0,0,0,G2
1,1,0.541412,0.83058,0,0,0,0,G3
0,0,0,0,0,0,0,0,G3
1,1,0.462858,0.841609,0,0,0,0,G3
1,1,0.659998,0.728467,0,0,0,0,G3
0,0,0,0,0,0,0,0,G3
1,1,0.476256,0.828946,0,0,0,0,G3
1,1,0.392557,0.889354,0,0,0,0,G3
1,1,0.390461,0.873453,0,0,0,0,G3
1,1,0.306161,0.746036,0,0,0,0,G3
1,1,0.465563,0.87375,0,0,0,0,G3
2,0.00996,-0.308619,1.28561,2.493204,0,0,0,G4
2,0.009741,-0.193841,1.128605,3.170856,0,0,0,G4
1,1,0.761958,-0.644317,0,0,0,0,G4
1,1,-0.870415,0.246019,0,0,0,0,G4
2,0.01593,-0.442109,0.342575,0.556692,0,0,0,G4
3,0.026462,2.217399,3.957813,6.226292,1.330289,0,0,G4
3,0.020799,0.025788,2.411074,3.985072,2.221399,0,0,G4
2,0.010248,-0.216412,1.204008,1.974227,0,0,0,G4
2,0.010268,-0.337742,1.27062,2.613186,0,0,0,G4
2,0.010397,-0.201674,1.357879,1.585306,0,0,0,G4
1,1,0.057267,0.972637,0,0,0,0,G5
2,0.020365,0.064748,0.974128,1.706897,0,0,0,G5
2,0.020396,-0.022499,0.867764,2.175918,0,0,0,G5
2,0.020314,-0.009446,0.877682,2.163668,0,0,0,G5
2,0.019104,0.006147,0.997972,2.193389,0,0,0,G5
1,1,0.019301,0.960213,0,0,0,0,G5
2,0.019072,0.039962,1.034228,3.2916,0,0,0,G5
1,1,0.032045,0.996419,0,0,0,0,G5
0,0,0,0,0,0,0,0,G5
1,1,0.08606,0.969423,0,0,0,0,G5
3,0.014228,0.139896,0.993641,2.517935,2.306317,0,0,G6
1,1,0.216966,0.938215,0,0,0,0,G6
3,0.014499,0.157546,0.926696,2.490292,2.269758,0,0,G6
3,0.014726,0.14616,0.912681,2.413261,2.189,0,0,G6
3,0.015094,0.141615,0.922221,2.365904,2.140013,0,0,G6
