@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,3,4,18-22'

@attribute numFingers numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,1,-0.299509,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,1,-0.364708,0,0,0,0,G1
1,1,-0.485387,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,1,-0.295764,0,0,0,0,G1
2,0.016534,0.238329,2.416847,0,0,0,G0
1,1,0.397396,0,0,0,0,G0
3,0.011292,0.493598,3.03,2.587216,0,0,G0
3,0.010951,0.355675,3.259898,2.818214,0,0,G0
3,0.011335,0.57835,3.669697,3.180849,0,0,G0
3,0.011234,0.724144,3.161629,2.710331,0,0,G0
3,0.011063,0.508686,3.16389,2.742073,0,0,G0
3,0.011482,0.530267,3.662693,3.202039,0,0,G0
2,0.017025,0.362851,2.818256,0,0,0,G0
2,0.016541,0.221858,2.418613,0,0,0,G0
0,0,0,0,0,0,0,G2
1,1,-0.10714,0,0,0,0,G2
1,1,-0.176397,0,0,0,0,G2
1,1,-0.180172,0,0,0,0,G2
1,1,-0.163734,0,0,0,0,G2
1,1,-0.147143,0,0,0,0,G2
1,1,-0.138131,0,0,0,0,G2
1,1,-0.20808,0,0,0,0,G2
0,0,0,0,0,0,0,G2
1,1,-0.358454,0,0,0,0,G2
1,1,0.541412,0,0,0,0,G3
0,0,0,0,0,0,0,G3
1,1,0.462858,0,0,0,0,G3
1,1,0.659998,0,0,0,0,G3
0,0,0,0,0,0,0,G3
1,1,0.476256,0,0,0,0,G3
1,1,0.392557,0,0,0,0,G3
1,1,0.390461,0,0,0,0,G3
1,1,0.306161,0,0,0,0,G3
1,1,0.465563,0,0,0,0,G3
2,0.00996,-0.308619,2.493204,0,0,0,G4
2,0.009741,-0.193841,3.170856,0,0,0,G4
1,1,0.761958,0,0,0,0,G4
1,1,-0.870415,0,0,0,0,G4
2,0.01593,-0.442109,0.556692,0,0,0,G4
3,0.026462,2.217399,6.226292,1.330289,0,0,G4
3,0.020799,0.025788,3.985072,2.221399,0,0,G4
2,0.010248,-0.216412,1.974227,0,0,0,G4
2,0.010268,-0.337742,2.613186,0,0,0,G4
2,0.010397,-0.201674,1.585306,0,0,0,G4
1,1,0.057267,0,0,0,0,G5
2,0.020365,0.064748,1.706897,0,0,0,G5
2,0.020396,-0.022499,2.175918,0,0,0,G5
2,0.020314,-0.009446,2.163668,0,0,0,G5
2,0.019104,0.006147,2.193389,0,0,0,G5
1,1,0.019301,0,0,0,0,G5
2,0.019072,0.039962,3.2916,0,0,0,G5
1,1,0.032045,0,0,0,0,G5
0,0,0,0,0,0,0,G5
1,1,0.08606,0,0,0,0,G5
3,0.014228,0.139896,2.517935,2.306317,0,0,G6
1,1,0.216966,0,0,0,0,G6
3,0.014499,0.157546,2.490292,2.269758,0,0,G6
3,0.014726,0.14616,2.413261,2.189,0,0,G6
3,0.015094,0.141615,2.365904,2.140013,0,0,G6
3,0.015183,0.212588,2.750862,2.556167,0,0,G6
3,0.015188,0.417174,2.605932,2.410807,0,0,G6
2,0.014549,-0.166341,2.709472,0,0,0,G6
3,0.014668,-0.073798,2.753147,2.513848,0,0,G6
3,0.01502,0.082209,3.458158,3.232599,0,0,G6
2,0.010028,0.844688,2.585142,0,0,0,G7
2,0.009677,0.811327,3.898848,0,0,0,G7
2,0.009634,0.842655,3.925811,0,0,0,G7
2,0.009664,1.014016,3.379407,0,0,0,G7
2,0.010198,0.91576,4.741308,0,0,0,G7
3,0.012656,0.86249,4.877326,5.511092,0,0,G7
2,0.009721,0.508107,2.779773,0,0,0,G7
2,0.012008,0.839336,8.375031,0,0,0,G7
2,0.009612,0.644728,3.456703,0,0,0,G7
2,0.010206,0.29487,4.002843,0,0,0,G7
3,0.009102,0.483445,4.541636,3.928185,0,0,G8
2,0.010508,0.829864,5.742901,0,0,0,G8
3,0.009269,0.567829,4.830408,4.076703,0,0,G8
2,0.010403,0.761607,6.109691,0,0,0,G8
3,0.008864,0.642846,5.293864,4.627994,0,0,G8
2,0.010401,0.283297,5.009287,0,0,0,G8
3,0.009289,0.607018,4.37043,3.820997,0,0,G8
2,0.010335,0.633312,5.031978,0,0,0,G8
3,0.008903,0.447865,4.664822,4.101339,0,0,G8
3,0.008751,0.622475,4.909639,4.212711,0,0,G8
4,0.009334,0.530258,5.090964,5.258568,4.605475,0,G9
5,0.007592,0.579419,4.029668,4.13579,4.052598,3.695958,G9
5,0.007429,0.695679,3.54582,3.685647,3.625459,3.334631,G9
5,0.008589,0.791347,4.680151,4.839375,4.706978,4.295236,G9
1,1,-0.799085,0,0,0,0,G9
5,0.008053,0.850534,5.102254,5.15669,4.987046,4.58841,G9
1,1,-0.788799,0,0,0,0,G9
5,0.008228,0.653589,3.961159,4.167908,4.034494,3.587493,G9
5,0.008337,0.904786,4.483907,4.720399,4.584064,4.103108,G9
4,0.008789,0.522232,5.240202,5.070769,4.699021,0,G9
1,1,-0.768864,0,0,0,0,G1
1,1,-0.616738,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,1,-0.553091,0,0,0,0,G1
1,1,-0.50255,0,0,0,0,G1
1,1,-0.617926,0,0,0,0,G1
1,1,-0.739105,0,0,0,0,G1
1,1,-0.698455,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
3,0.01326,0.426401,1.937189,1.347058,0,0,G0
3,0.012111,0.588854,2.218632,1.700621,0,0,G0
3,0.011576,0.471281,2.43873,1.93843,0,0,G0
3,0.011578,0.58508,2.383836,1.730752,0,0,G0
4,0.013132,0.857719,2.540933,1.456636,2.030975,0,G0
3,0.01185,0.270615,2.194056,1.710254,0,0,G0
3,0.011932,0.302741,3.99514,3.687164,0,0,G0
3,0.011733,0.347208,3.53889,3.087073,0,0,G0
3,0.012033,0.385278,2.343077,1.830847,0,0,G0
3,0.013269,0.543801,2.154966,1.429949,0,0,G0
1,1,-0.215154,0,0,0,0,G2
1,1,0.795045,0,0,0,0,G2
0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,G2
1,1,-0.186899,0,0,0,0,G2
1,1,-0.122636,0,0,0,0,G2
2,0.019961,0.024574,0.433266,0,0,0,G2
2,0.019659,0.129716,0.43582,0,0,0,G2
2,0.019598,0.138083,0.686488,0,0,0,G2
2,0.019374,0.035481,0.188437,0,0,0,G2
1,1,-0.108901,0,0,0,0,G3
1,1,0.483535,0,0,0,0,G3
1,1,0.313593,0,0,0,0,G3
1,1,0.147303,0,0,0,0,G3
1,1,0.40733,0,0,0,0,G3
1,1,0.261888,0,0,0,0,G3
2,0.01554,0.72652,3.385674,0,0,0,G3
1,1,0.20873,0,0,0,0,G3
1,1,0.04827,0,0,0,0,G3
1,1,0.102806,0,0,0,0,G3
2,0.012328,-0.373879,1.701352,0,0,0,G4
2,0.011536,-0.434245,1.861036,0,0,0,G4
2,0.011128,-0.413022,1.650402,0,0,0,G4
3,0.016534,-0.037151,2.086187,1.209855,0,0,G4
3,0.017193,-0.000103,2.213711,1.230309,0,0,G4
3,0.015802,-0.060346,2.075226,1.145435,0,0,G4
3,0.015629,-0.033475,2.487475,1.600553,0,0,G4
3,0.015646,-0.013315,2.112467,1.179361,0,0,G4
2,0.012082,-0.447857,1.96664,0,0,0,G4
2,0.01208,-0.45698,2.053533,0,0,0,G4
2,0.0152,0.264451,1.854031,0,0,0,G5
2,0.015219,0.30508,2.112619,0,0,0,G5
2,0.014849,0.161662,1.917133,0,0,0,G5
3,0.011702,1.997881,4.667479,0.378649,0,0,G5
2,0.015345,0.207566,2.21418,0,0,0,G5
2,0.015076,0.263061,2.695342,0,0,0,G5
2,0.015137,0.295778,2.083658,0,0,0,G5
2,0.015417,0.302774,1.955444,0,0,0,G5
2,0.015915,0.291047,1.933576,0,0,0,G5
2,0.01531,0.345031,1.727625,0,0,0,G5
3,0.016703,0.054545,2.065973,1.866892,0,0,G6
4,0.018297,0.341613,2.739355,1.668595,2.538485,0,G6
3,0.014526,0.183539,1.916539,1.738299,0,0,G6
3,0.015055,0.132188,2.151975,1.88613,0,0,G6
3,0.01664,0.299692,2.444495,2.179388,0,0,G6
3,0.016096,0.177524,2.065951,1.888517,0,0,G6
3,0.016718,0.124065,2.606683,2.449893,0,0,G6
3,0.016642,0.15952,2.974155,2.799173,0,0,G6
3,0.016364,0.093541,2.95688,2.783392,0,0,G6
3,0.016364,0.025135,2.695724,2.51478,0,0,G6
2,0.009295,1.095423,0.956591,0,0,0,G7
3,0.010929,1.109315,1.384579,1.869916,0,0,G7
3,0.010705,0.911542,1.711591,2.142963,0,0,G7
2,0.010597,0.83926,2.848105,0,0,0,G7
2,0.010411,1.004514,2.606421,0,0,0,G7
3,0.010765,0.944776,1.479126,1.934364,0,0,G7
4,0.01063,1.053624,1.642864,1.471326,1.872988,0,G7
4,0.012277,1.353392,0.900476,0.729625,1.209474,0,G7
4,0.012637,1.458554,1.145414,0.992289,1.53884,0,G7
4,0.012722,1.367796,0.09792,0.0326,0.50894,0,G7
4,0.014992,1.775124,4.25606,3.400037,0.51094,0,G8
2,0.014084,0.288527,1.822753,0,0,0,G8
3,0.010925,0.32148,3.169844,2.620257,0,0,G8
3,0.011431,0.155239,2.549367,1.883199,0,0,G8
3,0.011112,0.274512,2.434833,1.788014,0,0,G8
3,0.011275,0.31914,2.043718,1.370904,0,0,G8
3,0.011513,0.479261,1.934845,1.312227,0,0,G8
3,0.01142,0.500359,2.637744,1.996173,0,0,G8
4,0.012065,0.446692,4.077566,3.276005,3.425293,0,G8
4,0.016023,2.231167,6.520862,5.495451,0.825639,0,G8
5,0.009365,0.912641,3.855342,4.085877,3.918613,3.474774,G9
5,0.009064,0.795213,3.232668,3.410392,3.26334,2.84068,G9
5,0.00898,0.66777,3.593818,3.676095,3.54543,3.163843,G9
5,0.009104,0.777736,3.72731,3.910608,3.753439,3.336542,G9
5,0.0092,0.782084,4.125418,4.277683,4.147567,3.761934,G9
5,0.0099,0.792103,3.664258,3.766043,3.626928,3.182909,G9
5,0.009947,0.642047,3.154746,3.258385,3.08598,2.679865,G9
3,0.010154,-0.196212,2.877027,2.769956,0,0,G9
3,0.010568,0.671083,5.471673,4.837096,0,0,G9
5,0.009201,0.730756,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,G1
1,1,0.734957,0,0,0,0,G1
2,0.084103,0.581342,0.994497,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,1,-0.667931,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
4,0.012041,0.861251,3.866323,3.432589,1.578599,0,G0
3,0.013015,0.461436,3.06101,2.529032,0,0,G0
3,0.013016,0.41388,3.626464,3.077377,0,0,G0
5,0.02434,1.781367,8.722976,1.401234,7.393506,3.218856,G0
3,0.012943,0.36219,2.121263,1.66838,0,0,G0
3,0.01283,0.457707,2.130976,1.614336,0,0,G0
3,0.013519,0.568438,2.823006,2.236153,0,0,G0
2,0.023369,-0.014742,2.537647,0,0,0,G0
4,0.012594,0.961435,5.543409,4.864698,2.488564,0,G0
4,0.012185,0.910031,5.529736,4.884039,2.807004,0,G0
1,1,-0.303567,0,0,0,0,G2
0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,G2
1,1,-0.315823,0,0,0,0,G2
1,1,-0.111525,0,0,0,0,G2
1,1,-0.210051,0,0,0,0,G2
0,0,0,0,0,0,0,G2
1,1,-0.267906,0,0,0,0,G2
1,1,-0.291259,0,0,0,0,G2
2,0.021951,0.488662,8.966497,0,0,0,G3
0,0,0,0,0,0,0,G3
2,0.016166,0.822483,1.68142,0,0,0,G3
1,1,0.211315,0,0,0,0,G3
1,1,0.257286,0,0,0,0,G3
1,1,0.294008,0,0,0,0,G3
1,1,0.213918,0,0,0,0,G3
1,1,0.220521,0,0,0,0,G3
1,1,0.164169,0,0,0,0,G3
1,1,0.15234,0,0,0,0,G3
2,0.012878,-0.174105,2.217389,0,0,0,G4
2,0.01306,-0.122953,2.281158,0,0,0,G4
3,0.01925,0.18846,3.216953,2.18216,0,0,G4
2,0.012842,-0.164602,2.394318,0,0,0,G4
1,1,-0.94572,0,0,0,0,G4
2,0.012948,-0.150126,2.670159,0,0,0,G4
1,1,-0.98293,0,0,0,0,G4
3,0.022598,-0.008154,5.19557,0.39465,0,0,G4
2,0.012736,-0.180848,2.264404,0,0,0,G4
3,0.024596,1.36589,6.120978,0.608062,0,0,G4
3,0.038341,-0.063246,0.737544,3.4505,0,0,G5
3,0.012941,0.972259,3.725769,0.638286,0,0,G5
3,0.013449,0.856262,5.910605,2.083252,0,0,G5
2,0.019839,-0.077521,2.101737,0,0,0,G5
3,0.012127,1.139007,4.40859,1.17984,0,0,G5
2,0.019658,-0.078388,1.69653,0,0,0,G5
2,0.018716,0.136451,1.804901,0,0,0,G5
2,0.018838,0.192035,2.561266,0,0,0,G5
2,0.018583,0.017633,3.18687,0,0,0,G5
3,0.039843,-0.183645,1.921971,5.017191,0,0,G5
3,0.013051,0.15807,1.806409,1.735807,0,0,G6
3,0.012564,0.699618,3.387056,0.9349,0,0,G6
3,0.01325,0.125004,1.715658,1.609502,0,0,G6
4,0.009914,0.641382,2.996877,2.968055,0.722541,0,G6
3,0.013093,0.070663,1.69428,1.633131,0,0,G6
3,0.013391,-0.009252,1.852884,1.783288,0,0,G6
4,0.010097,0.667561,2.884054,2.807809,0.778021,0,G6
4,0.012,1.009683,2.692333,2.55109,0.262122,0,G6
3,0.012938,0.356224,2.460773,2.325623,0,0,G6
