@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,4,6,12-17,22'

@attribute numFingers numeric
@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,-0.299509,1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
1,-0.364708,1,0,0,0,0,0,0,G1
1,-0.485387,1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
1,-0.295764,1,0,0,0,0,0,0,G1
2,0.238329,32.128532,0,165.94075,170.04158,0,123.725075,0,G0
1,0.397396,1,0,172.187881,128.42746,0,128.42746,0,G0
3,0.493598,23.471453,0,160.248077,175.221802,0,163.788162,0,G0
3,0.355675,23.955109,0,162.538147,176.810699,0,165.316177,0,G0
3,0.57835,23.617138,0,166.265427,173.450211,0,164.459503,0,G0
3,0.724144,23.632465,0,162.707352,174.88089,0,162.41626,0,G0
3,0.508686,23.944956,0,161.301956,176.001328,0,164.326782,0,G0
3,0.530267,23.390223,0,166.359055,177.620682,0,165.832794,0,G0
2,0.362851,31.454571,0,168.408493,172.227234,0,129.517105,0,G0
2,0.221858,31.916876,0,165.927948,170.322205,0,123.692383,0,G0
0,0,0,0,120.927055,0,0,0,0,G2
1,-0.10714,1,0,91.379471,0,0,0,0,G2
1,-0.176397,1,0,98.929314,0,0,0,0,G2
1,-0.180172,1,0,95.270508,0,0,0,0,G2
1,-0.163734,1,0,150.041885,0,0,0,0,G2
1,-0.147143,1,0,161.043701,0,0,0,0,G2
1,-0.138131,1,0,130.347443,0,0,0,0,G2
1,-0.20808,1,0,112.966377,0,0,0,0,G2
