@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,4,18-22'

@attribute numFingers numeric
@attribute Max_X numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,-0.299509,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1,-0.364708,0,0,0,0,G1
1,-0.485387,0,0,0,0,G1
0,0,0,0,0,0,G1
1,-0.295764,0,0,0,0,G1
2,0.238329,2.63192,2.416847,0,0,G0
1,0.397396,2.874119,0,0,0,G0
3,0.493598,2.783273,3.03,0,2.587216,G0
3,0.355675,3.05574,3.259898,0,2.818214,G0
3,0.57835,3.487468,3.669697,0,3.180849,G0
3,0.724144,2.98129,3.161629,0,2.710331,G0
3,0.508686,2.936894,3.16389,0,2.742073,G0
3,0.530267,3.430044,3.662693,0,3.202039,G0
2,0.362851,3.074636,2.818256,0,0,G0
2,0.221858,2.631731,2.418613,0,0,G0
0,0,0,0,0,0,G2
1,-0.10714,0.854355,0,0,0,G2
1,-0.176397,0.93164,0,0,0,G2
1,-0.180172,0.895883,0,0,0,G2
1,-0.163734,1.561169,0,0,0,G2
1,-0.147143,1.806269,0,0,0,G2
1,-0.138131,1.290485,0,0,0,G2
1,-0.20808,1.071057,0,0,0,G2
0,0,0,0,0,0,G2
1,-0.358454,0.478922,0,0,0,G2
1,0.541412,0,0,0,3.137535,G3
0,0,0,0,0,0,G3
1,0.462858,0,0,0,3.661253,G3
1,0.659998,0,0,0,3.471903,G3
0,0,0,0,0,0,G3
1,0.476256,0,0,0,3.61491,G3
1,0.392557,0,0,0,3.042249,G3
1,0.390461,0,0,0,3.268291,G3
1,0.306161,0,0,0,2.449478,G3
1,0.465563,0,0,0,3.606038,G3
2,-0.308619,2.493204,0,0,0,G4
2,-0.193841,3.170856,0,0,0,G4
1,0.761958,0,0,0,0,G4
1,-0.870415,0,0,0,0,G4
2,-0.442109,0.556692,0,0,0,G4
3,2.217399,6.226292,0,0,0,G4
3,0.025788,3.985072,0,0,0,G4
2,-0.216412,1.974227,0,0,0,G4
2,-0.337742,2.613186,0,0,0,G4
2,-0.201674,1.585306,0,0,0,G4
1,0.057267,2.122289,0,0,0,G5
2,0.064748,1.586052,1.706897,0,0,G5
2,-0.022499,2.089303,2.175918,0,0,G5
2,-0.009446,2.076686,2.163668,0,0,G5
2,0.006147,2.077395,2.193389,0,0,G5
1,0.019301,2.069059,0,0,0,G5
2,0.039962,3.18826,3.2916,0,0,G5
1,0.032045,3.190281,0,0,0,G5
0,0,0,0,0,0,G5
1,0.08606,2.101639,0,0,0,G5
3,0.139896,2.324026,2.517935,2.306317,0,G6
1,0.216966,3.054793,0,0,0,G6
3,0.157546,2.235231,2.490292,2.269758,0,G6
3,0.14616,2.162264,2.413261,2.189,0,G6
3,0.141615,2.120311,2.365904,2.140013,0,G6
3,0.212588,2.546532,2.750862,2.556167,0,G6
3,0.417174,2.380176,2.605932,2.410807,0,G6
2,-0.166341,2.747643,2.709472,0,0,G6
3,-0.073798,2.535672,2.753147,2.513848,0,G6
3,0.082209,3.225746,3.458158,3.232599,0,G6
2,0.844688,0,0,0,2.585142,G7
2,0.811327,0,0,0,3.898848,G7
2,0.842655,0,0,0,3.925811,G7
2,1.014016,0,0,0,3.379407,G7
2,0.91576,0,0,0,4.741308,G7
3,0.86249,0,0,0,4.877326,G7
2,0.508107,0,0,0,2.779773,G7
2,0.839336,0,0,0,8.375031,G7
2,0.644728,0,0,0,3.456703,G7
2,0.29487,0,0,0,4.002843,G7
3,0.483445,4.541636,0,0,3.928185,G8
2,0.829864,5.742901,0,0,0,G8
3,0.567829,4.830408,0,0,4.076703,G8
2,0.761607,6.109691,0,0,0,G8
3,0.642846,5.293864,0,0,4.627994,G8
2,0.283297,5.009287,0,0,0,G8
3,0.607018,4.37043,0,0,3.820997,G8
2,0.633312,5.031978,0,0,0,G8
3,0.447865,4.664822,0,0,4.101339,G8
3,0.622475,4.909639,0,0,4.212711,G8
4,0.530258,5.090964,5.258568,4.605475,0,G9
5,0.579419,4.029668,4.13579,4.052598,3.695958,G9
5,0.695679,3.54582,3.685647,3.625459,3.334631,G9
5,0.791347,4.680151,4.839375,4.706978,4.295236,G9
1,-0.799085,0,0,0,0,G9
5,0.850534,5.102254,5.15669,4.987046,4.58841,G9
1,-0.788799,0,0,0,0,G9
5,0.653589,3.961159,4.167908,4.034494,3.587493,G9
5,0.904786,4.483907,4.720399,4.584064,4.103108,G9
4,0.522232,5.240202,5.070769,4.699021,0,G9
1,-0.768864,0,0,0,0,G1
1,-0.616738,0,0,0,0,G1
0,0,0,0,0,0,G1
1,-0.553091,0,0,0,0,G1
1,-0.50255,0,0,0,0,G1
1,-0.617926,0,0,0,0,G1
1,-0.739105,0,0,0,0,G1
1,-0.698455,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
3,0.426401,1.747296,1.937189,0,1.347058,G0
3,0.588854,1.956516,2.218632,0,1.700621,G0
3,0.471281,2.161407,2.43873,0,1.93843,G0
3,0.58508,2.057047,2.383836,0,1.730752,G0
4,0.857719,1.960845,2.540933,0,1.456636,G0
3,0.270615,1.945522,2.194056,0,1.710254,G0
3,0.302741,3.866393,3.99514,0,3.687164,G0
3,0.347208,3.266629,3.53889,0,3.087073,G0
3,0.385278,2.081799,2.343077,0,1.830847,G0
3,0.543801,1.955744,2.154966,0,1.429949,G0
1,-0.215154,0.514539,0,0,0,G2
1,0.795045,0.680598,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
1,-0.186899,0.651294,0,0,0,G2
1,-0.122636,0.708041,0,0,0,G2
2,0.024574,1.044729,0,0,0,G2
2,0.129716,1.10383,0,0,0,G2
2,0.138083,1.345424,0,0,0,G2
2,0.035481,0.845885,0,0,0,G2
1,-0.108901,0,0,0,1.761956,G3
1,0.483535,0,0,0,2.427105,G3
