@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,5,6,18-22'

@attribute numFingers numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0.890207,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0.785661,1,0,0,0,0,G1
1,0.869856,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0.93356,1,0,0,0,0,G1
2,1.058861,32.128532,2.63192,2.416847,0,0,G0
1,0.832151,1,2.874119,0,0,0,G0
3,0.965314,23.471453,2.783273,3.03,0,2.587216,G0
3,0.988549,23.955109,3.05574,3.259898,0,2.818214,G0
3,0.895118,23.617138,3.487468,3.669697,0,3.180849,G0
3,0.870628,23.632465,2.98129,3.161629,0,2.710331,G0
3,0.998301,23.944956,2.936894,3.16389,0,2.742073,G0
3,1.068097,23.390223,3.430044,3.662693,0,3.202039,G0
2,1.121722,31.454571,3.074636,2.818256,0,0,G0
2,1.068544,31.916876,2.631731,2.418613,0,0,G0
0,0,0,0,0,0,0,G2
1,0.827349,1,0.854355,0,0,0,G2
1,0.885353,1,0.93164,0,0,0,G2
1,0.929243,1,0.895883,0,0,0,G2
1,0.943691,1,1.561169,0,0,0,G2
1,0.935648,1,1.806269,0,0,0,G2
1,0.873468,1,1.290485,0,0,0,G2
1,0.727005,1,1.071057,0,0,0,G2
0,0,0,0,0,0,0,G2
1,0.729622,1,0.478922,0,0,0,G2
1,0.83058,1,0,0,0,3.137535,G3
0,0,0,0,0,0,0,G3
1,0.841609,1,0,0,0,3.661253,G3
1,0.728467,1,0,0,0,3.471903,G3
0,0,0,0,0,0,0,G3
1,0.828946,1,0,0,0,3.61491,G3
1,0.889354,1,0,0,0,3.042249,G3
1,0.873453,1,0,0,0,3.268291,G3
1,0.746036,1,0,0,0,2.449478,G3
1,0.87375,1,0,0,0,3.606038,G3
2,1.28561,68.443039,2.493204,0,0,0,G4
2,1.128605,73.717079,3.170856,0,0,0,G4
1,-0.644317,1,0,0,0,0,G4
1,0.246019,1,0,0,0,0,G4
2,0.342575,36.890366,0.556692,0,0,0,G4
3,3.957813,99.374763,6.226292,0,0,0,G4
3,2.411074,54.74033,3.985072,0,0,0,G4
2,1.204008,64.424599,1.974227,0,0,0,G4
2,1.27062,69.695953,2.613186,0,0,0,G4
2,1.357879,73.834328,1.585306,0,0,0,G4
1,0.972637,1,2.122289,0,0,0,G5
2,0.974128,25.616379,1.586052,1.706897,0,0,G5
2,0.867764,25.629665,2.089303,2.175918,0,0,G5
2,0.877682,25.679893,2.076686,2.163668,0,0,G5
2,0.997972,27.027773,2.077395,2.193389,0,0,G5
