@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,18-22'

@attribute numFingers numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1,0,0,0,0,G1
1,0,0,0,0,G1
0,0,0,0,0,G1
1,0,0,0,0,G1
2,2.416847,0,0,0,G0
1,0,0,0,0,G0
3,3.03,2.587216,0,0,G0
3,3.259898,2.818214,0,0,G0
3,3.669697,3.180849,0,0,G0
3,3.161629,2.710331,0,0,G0
3,3.16389,2.742073,0,0,G0
3,3.662693,3.202039,0,0,G0
2,2.818256,0,0,0,G0
2,2.418613,0,0,0,G0
0,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
0,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G3
0,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
0,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
2,2.493204,0,0,0,G4
2,3.170856,0,0,0,G4
1,0,0,0,0,G4
1,0,0,0,0,G4
2,0.556692,0,0,0,G4
3,6.226292,1.330289,0,0,G4
3,3.985072,2.221399,0,0,G4
2,1.974227,0,0,0,G4
2,2.613186,0,0,0,G4
2,1.585306,0,0,0,G4
1,0,0,0,0,G5
2,1.706897,0,0,0,G5
2,2.175918,0,0,0,G5
2,2.163668,0,0,0,G5
2,2.193389,0,0,0,G5
1,0,0,0,0,G5
2,3.2916,0,0,0,G5
1,0,0,0,0,G5
0,0,0,0,0,G5
1,0,0,0,0,G5
3,2.517935,2.306317,0,0,G6
1,0,0,0,0,G6
3,2.490292,2.269758,0,0,G6
3,2.413261,2.189,0,0,G6
3,2.365904,2.140013,0,0,G6
3,2.750862,2.556167,0,0,G6
3,2.605932,2.410807,0,0,G6
2,2.709472,0,0,0,G6
3,2.753147,2.513848,0,0,G6
3,3.458158,3.232599,0,0,G6
2,2.585142,0,0,0,G7
2,3.898848,0,0,0,G7
2,3.925811,0,0,0,G7
2,3.379407,0,0,0,G7
2,4.741308,0,0,0,G7
3,4.877326,5.511092,0,0,G7
2,2.779773,0,0,0,G7
2,8.375031,0,0,0,G7
2,3.456703,0,0,0,G7
2,4.002843,0,0,0,G7
3,4.541636,3.928185,0,0,G8
2,5.742901,0,0,0,G8
3,4.830408,4.076703,0,0,G8
2,6.109691,0,0,0,G8
3,5.293864,4.627994,0,0,G8
2,5.009287,0,0,0,G8
3,4.37043,3.820997,0,0,G8
2,5.031978,0,0,0,G8
3,4.664822,4.101339,0,0,G8
3,4.909639,4.212711,0,0,G8
4,5.090964,5.258568,4.605475,0,G9
5,4.029668,4.13579,4.052598,3.695958,G9
5,3.54582,3.685647,3.625459,3.334631,G9
5,4.680151,4.839375,4.706978,4.295236,G9
1,0,0,0,0,G9
5,5.102254,5.15669,4.987046,4.58841,G9
1,0,0,0,0,G9
5,3.961159,4.167908,4.034494,3.587493,G9
5,4.483907,4.720399,4.584064,4.103108,G9
4,5.240202,5.070769,4.699021,0,G9
1,0,0,0,0,G1
1,0,0,0,0,G1
0,0,0,0,0,G1
1,0,0,0,0,G1
1,0,0,0,0,G1
1,0,0,0,0,G1
1,0,0,0,0,G1
1,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
3,1.937189,1.347058,0,0,G0
3,2.218632,1.700621,0,0,G0
3,2.43873,1.93843,0,0,G0
3,2.383836,1.730752,0,0,G0
4,2.540933,1.456636,2.030975,0,G0
3,2.194056,1.710254,0,0,G0
3,3.99514,3.687164,0,0,G0
3,3.53889,3.087073,0,0,G0
3,2.343077,1.830847,0,0,G0
3,2.154966,1.429949,0,0,G0
1,0,0,0,0,G2
1,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
2,0.433266,0,0,0,G2
2,0.43582,0,0,0,G2
2,0.686488,0,0,0,G2
2,0.188437,0,0,0,G2
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
2,3.385674,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
2,1.701352,0,0,0,G4
2,1.861036,0,0,0,G4
2,1.650402,0,0,0,G4
3,2.086187,1.209855,0,0,G4
3,2.213711,1.230309,0,0,G4
3,2.075226,1.145435,0,0,G4
3,2.487475,1.600553,0,0,G4
3,2.112467,1.179361,0,0,G4
2,1.96664,0,0,0,G4
2,2.053533,0,0,0,G4
2,1.854031,0,0,0,G5
2,2.112619,0,0,0,G5
2,1.917133,0,0,0,G5
3,4.667479,0.378649,0,0,G5
2,2.21418,0,0,0,G5
2,2.695342,0,0,0,G5
2,2.083658,0,0,0,G5
2,1.955444,0,0,0,G5
2,1.933576,0,0,0,G5
2,1.727625,0,0,0,G5
3,2.065973,1.866892,0,0,G6
4,2.739355,1.668595,2.538485,0,G6
3,1.916539,1.738299,0,0,G6
3,2.151975,1.88613,0,0,G6
3,2.444495,2.179388,0,0,G6
3,2.065951,1.888517,0,0,G6
3,2.606683,2.449893,0,0,G6
3,2.974155,2.799173,0,0,G6
3,2.95688,2.783392,0,0,G6
3,2.695724,2.51478,0,0,G6
2,0.956591,0,0,0,G7
3,1.384579,1.869916,0,0,G7
3,1.711591,2.142963,0,0,G7
2,2.848105,0,0,0,G7
2,2.606421,0,0,0,G7
3,1.479126,1.934364,0,0,G7
4,1.642864,1.471326,1.872988,0,G7
4,0.900476,0.729625,1.209474,0,G7
4,1.145414,0.992289,1.53884,0,G7
4,0.09792,0.0326,0.50894,0,G7
4,4.25606,3.400037,0.51094,0,G8
2,1.822753,0,0,0,G8
3,3.169844,2.620257,0,0,G8
3,2.549367,1.883199,0,0,G8
3,2.434833,1.788014,0,0,G8
3,2.043718,1.370904,0,0,G8
3,1.934845,1.312227,0,0,G8
3,2.637744,1.996173,0,0,G8
4,4.077566,3.276005,3.425293,0,G8
4,6.520862,5.495451,0.825639,0,G8
5,3.855342,4.085877,3.918613,3.474774,G9
5,3.232668,3.410392,3.26334,2.84068,G9
5,3.593818,3.676095,3.54543,3.163843,G9
5,3.72731,3.910608,3.753439,3.336542,G9
5,4.125418,4.277683,4.147567,3.761934,G9
5,3.664258,3.766043,3.626928,3.182909,G9
5,3.154746,3.258385,3.08598,2.679865,G9
3,2.877027,2.769956,0,0,G9
3,5.471673,4.837096,0,0,G9
5,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,G1
1,0,0,0,0,G1
2,0.994497,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1,0,0,0,0,G1
0,0,0,0,0,G1
