@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,17-21,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute ratio numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
2,1101,0.016534,0,2.63192,2.416847,0,0,G0
1,1101,1,0,2.874119,0,0,0,G0
3,1101,0.011292,0,2.783273,3.03,0,2.587216,G0
3,1101,0.010951,0,3.05574,3.259898,0,2.818214,G0
3,1101,0.011335,0,3.487468,3.669697,0,3.180849,G0
3,1101,0.011234,0,2.98129,3.161629,0,2.710331,G0
3,1101,0.011063,0,2.936894,3.16389,0,2.742073,G0
3,1101,0.011482,0,3.430044,3.662693,0,3.202039,G0
2,1101,0.017025,0,3.074636,2.818256,0,0,G0
2,1101,0.016541,0,2.631731,2.418613,0,0,G0
0,1000,0,0,0,0,0,0,G2
1,1000,1,0,0.854355,0,0,0,G2
1,1000,1,0,0.93164,0,0,0,G2
1,1000,1,0,0.895883,0,0,0,G2
1,1000,1,0,1.561169,0,0,0,G2
1,1000,1,0,1.806269,0,0,0,G2
1,1000,1,0,1.290485,0,0,0,G2
1,1000,1,0,1.071057,0,0,0,G2
0,1000,0,0,0,0,0,0,G2
1,1000,1,0,0.478922,0,0,0,G2
1,1,1,0,0,0,0,3.137535,G3
0,1,0,0,0,0,0,0,G3
1,1,1,0,0,0,0,3.661253,G3
1,1,1,0,0,0,0,3.471903,G3
0,1,0,0,0,0,0,0,G3
1,1,1,0,0,0,0,3.61491,G3
1,1,1,0,0,0,0,3.042249,G3
1,1,1,0,0,0,0,3.268291,G3
1,1,1,0,0,0,0,2.449478,G3
1,1,1,0,0,0,0,3.606038,G3
2,11000,0.00996,1.955073,2.493204,0,0,0,G4
2,11000,0.009741,2.721886,3.170856,0,0,0,G4
1,11000,1,1.400174,0,0,0,0,G4
1,11000,1,1.687941,0,0,0,0,G4
2,11000,0.01593,1.193801,0.556692,0,0,0,G4
3,11000,0.026462,5.929871,6.226292,0,0,0,G4
3,11000,0.020799,5.095947,3.985072,0,0,0,G4
2,11000,0.010248,2.639253,1.974227,0,0,0,G4
2,11000,0.010268,1.892025,2.613186,0,0,0,G4
2,11000,0.010397,1.015194,1.585306,0,0,0,G4
1,1100,1,0,2.122289,0,0,0,G5
2,1100,0.020365,0,1.586052,1.706897,0,0,G5
2,1100,0.020396,0,2.089303,2.175918,0,0,G5
2,1100,0.020314,0,2.076686,2.163668,0,0,G5
2,1100,0.019104,0,2.077395,2.193389,0,0,G5
1,1100,1,0,2.069059,0,0,0,G5
2,1100,0.019072,0,3.18826,3.2916,0,0,G5
1,1100,1,0,3.190281,0,0,0,G5
0,1100,0,0,0,0,0,0,G5
1,1100,1,0,2.101639,0,0,0,G5
3,1110,0.014228,0,2.324026,2.517935,2.306317,0,G6
1,1110,1,0,3.054793,0,0,0,G6
3,1110,0.014499,0,2.235231,2.490292,2.269758,0,G6
3,1110,0.014726,0,2.162264,2.413261,2.189,0,G6
3,1110,0.015094,0,2.120311,2.365904,2.140013,0,G6
3,1110,0.015183,0,2.546532,2.750862,2.556167,0,G6
3,1110,0.015188,0,2.380176,2.605932,2.410807,0,G6
2,1110,0.014549,0,2.747643,2.709472,0,0,G6
3,1110,0.014668,0,2.535672,2.753147,2.513848,0,G6
3,1110,0.01502,0,3.225746,3.458158,3.232599,0,G6
2,10001,0.010028,2.482913,0,0,0,2.585142,G7
2,10001,0.009677,3.797475,0,0,0,3.898848,G7
2,10001,0.009634,3.830956,0,0,0,3.925811,G7
2,10001,0.009664,3.459963,0,0,0,3.379407,G7
2,10001,0.010198,4.532323,0,0,0,4.741308,G7
3,10001,0.012656,5.440592,0,0,0,4.877326,G7
2,10001,0.009721,2.534494,0,0,0,2.779773,G7
2,10001,0.012008,7.381264,0,0,0,8.375031,G7
2,10001,0.009612,3.23059,0,0,0,3.456703,G7
2,10001,0.010206,3.801165,0,0,0,4.002843,G7
3,11001,0.009102,3.647359,4.541636,0,0,3.928185,G8
2,11001,0.010508,5.400174,5.742901,0,0,0,G8
3,11001,0.009269,3.655792,4.830408,0,0,4.076703,G8
2,11001,0.010403,5.708855,6.109691,0,0,0,G8
3,11001,0.008864,4.143015,5.293864,0,0,4.627994,G8
2,11001,0.010401,4.522891,5.009287,0,0,0,G8
3,11001,0.009289,3.672434,4.37043,0,0,3.820997,G8
2,11001,0.010335,4.833115,5.031978,0,0,0,G8
3,11001,0.008903,3.885646,4.664822,0,0,4.101339,G8
3,11001,0.008751,3.950901,4.909639,0,0,4.212711,G8
4,11111,0.009334,4.140366,5.090964,5.258568,4.605475,0,G9
5,11111,0.007592,3.036631,4.029668,4.13579,4.052598,3.695958,G9
5,11111,0.007429,2.651221,3.54582,3.685647,3.625459,3.334631,G9
5,11111,0.008589,3.556464,4.680151,4.839375,4.706978,4.295236,G9
1,11111,1,1.899161,0,0,0,0,G9
5,11111,0.008053,3.914217,5.102254,5.15669,4.987046,4.58841,G9
1,11111,1,2.414654,0,0,0,0,G9
5,11111,0.008228,2.618071,3.961159,4.167908,4.034494,3.587493,G9
5,11111,0.008337,3.132445,4.483907,4.720399,4.584064,4.103108,G9
4,11111,0.008789,3.590008,5.240202,5.070769,4.699021,0,G9
1,0,1,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
3,1101,0.01326,0,1.747296,1.937189,0,1.347058,G0
3,1101,0.012111,0,1.956516,2.218632,0,1.700621,G0
3,1101,0.011576,0,2.161407,2.43873,0,1.93843,G0
3,1101,0.011578,0,2.057047,2.383836,0,1.730752,G0
4,1101,0.013132,0,1.960845,2.540933,0,1.456636,G0
3,1101,0.01185,0,1.945522,2.194056,0,1.710254,G0
3,1101,0.011932,0,3.866393,3.99514,0,3.687164,G0
3,1101,0.011733,0,3.266629,3.53889,0,3.087073,G0
3,1101,0.012033,0,2.081799,2.343077,0,1.830847,G0
3,1101,0.013269,0,1.955744,2.154966,0,1.429949,G0
1,1000,1,0,0.514539,0,0,0,G2
1,1000,1,0,0.680598,0,0,0,G2
0,1000,0,0,0,0,0,0,G2
0,1000,0,0,0,0,0,0,G2
1,1000,1,0,0.651294,0,0,0,G2
1,1000,1,0,0.708041,0,0,0,G2
2,1000,0.019961,0,1.044729,0,0,0,G2
2,1000,0.019659,0,1.10383,0,0,0,G2
2,1000,0.019598,0,1.345424,0,0,0,G2
2,1000,0.019374,0,0.845885,0,0,0,G2
1,1,1,0,0,0,0,1.761956,G3
1,1,1,0,0,0,0,2.427105,G3
1,1,1,0,0,0,0,1.959951,G3
1,1,1,0,0,0,0,2.267077,G3
1,1,1,0,0,0,0,2.859358,G3
1,1,1,0,0,0,0,2.23115,G3
2,1,0.01554,0,0,0,0,2.81739,G3
1,1,1,0,0,0,0,1.703367,G3
1,1,1,0,0,0,0,1.72396,G3
1,1,1,0,0,0,0,1.93749,G3
2,11000,0.012328,1.225886,1.701352,0,0,0,G4
2,11000,0.011536,1.480442,1.861036,0,0,0,G4
2,11000,0.011128,1.364171,1.650402,0,0,0,G4
3,11000,0.016534,1.681572,2.086187,0,0,0,G4
3,11000,0.017193,1.307954,2.213711,0,0,0,G4
3,11000,0.015802,1.213791,2.075226,0,0,0,G4
3,11000,0.015629,1.6922,2.487475,0,0,0,G4
3,11000,0.015646,1.249614,2.112467,0,0,0,G4
2,11000,0.012082,1.54044,1.96664,0,0,0,G4
2,11000,0.01208,1.591134,2.053533,0,0,0,G4
2,1100,0.0152,0,1.905487,1.854031,0,0,G5
2,1100,0.015219,0,2.062269,2.112619,0,0,G5
2,1100,0.014849,0,1.831598,1.917133,0,0,G5
3,1100,0.011702,0,3.896853,4.667479,0,0,G5
2,1100,0.015345,0,2.131417,2.21418,0,0,G5
2,1100,0.015076,0,2.620394,2.695342,0,0,G5
2,1100,0.015137,0,2.040568,2.083658,0,0,G5
2,1100,0.015417,0,1.926158,1.955444,0,0,G5
2,1100,0.015915,0,1.899811,1.933576,0,0,G5
2,1100,0.01531,0,1.763835,1.727625,0,0,G5
3,1110,0.016703,0,1.958068,2.065973,1.866892,0,G6
4,1110,0.018297,0,2.57332,2.739355,1.668595,0,G6
3,1110,0.014526,0,1.801968,1.916539,1.738299,0,G6
3,1110,0.015055,0,1.997224,2.151975,1.88613,0,G6
3,1110,0.01664,0,2.32594,2.444495,2.179388,0,G6
3,1110,0.016096,0,1.909319,2.065951,1.888517,0,G6
