@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,4,5,6,17-21,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,-0.299509,0.890207,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
1,0,-0.364708,0.785661,1,0,0,0,0,0,G1
1,0,-0.485387,0.869856,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
1,0,-0.295764,0.93356,1,0,0,0,0,0,G1
2,1101,0.238329,1.058861,32.128532,0,2.63192,2.416847,0,0,G0
1,1101,0.397396,0.832151,1,0,2.874119,0,0,0,G0
3,1101,0.493598,0.965314,23.471453,0,2.783273,3.03,0,2.587216,G0
3,1101,0.355675,0.988549,23.955109,0,3.05574,3.259898,0,2.818214,G0
3,1101,0.57835,0.895118,23.617138,0,3.487468,3.669697,0,3.180849,G0
3,1101,0.724144,0.870628,23.632465,0,2.98129,3.161629,0,2.710331,G0
3,1101,0.508686,0.998301,23.944956,0,2.936894,3.16389,0,2.742073,G0
3,1101,0.530267,1.068097,23.390223,0,3.430044,3.662693,0,3.202039,G0
2,1101,0.362851,1.121722,31.454571,0,3.074636,2.818256,0,0,G0
2,1101,0.221858,1.068544,31.916876,0,2.631731,2.418613,0,0,G0
0,1000,0,0,0,0,0,0,0,0,G2
1,1000,-0.10714,0.827349,1,0,0.854355,0,0,0,G2
1,1000,-0.176397,0.885353,1,0,0.93164,0,0,0,G2
1,1000,-0.180172,0.929243,1,0,0.895883,0,0,0,G2
1,1000,-0.163734,0.943691,1,0,1.561169,0,0,0,G2
1,1000,-0.147143,0.935648,1,0,1.806269,0,0,0,G2
1,1000,-0.138131,0.873468,1,0,1.290485,0,0,0,G2
1,1000,-0.20808,0.727005,1,0,1.071057,0,0,0,G2
0,1000,0,0,0,0,0,0,0,0,G2
1,1000,-0.358454,0.729622,1,0,0.478922,0,0,0,G2
1,1,0.541412,0.83058,1,0,0,0,0,3.137535,G3
0,1,0,0,0,0,0,0,0,0,G3
1,1,0.462858,0.841609,1,0,0,0,0,3.661253,G3
1,1,0.659998,0.728467,1,0,0,0,0,3.471903,G3
0,1,0,0,0,0,0,0,0,0,G3
1,1,0.476256,0.828946,1,0,0,0,0,3.61491,G3
1,1,0.392557,0.889354,1,0,0,0,0,3.042249,G3
1,1,0.390461,0.873453,1,0,0,0,0,3.268291,G3
1,1,0.306161,0.746036,1,0,0,0,0,2.449478,G3
1,1,0.465563,0.87375,1,0,0,0,0,3.606038,G3
2,11000,-0.308619,1.28561,68.443039,1.955073,2.493204,0,0,0,G4
2,11000,-0.193841,1.128605,73.717079,2.721886,3.170856,0,0,0,G4
1,11000,0.761958,-0.644317,1,1.400174,0,0,0,0,G4
1,11000,-0.870415,0.246019,1,1.687941,0,0,0,0,G4
2,11000,-0.442109,0.342575,36.890366,1.193801,0.556692,0,0,0,G4
3,11000,2.217399,3.957813,99.374763,5.929871,6.226292,0,0,0,G4
3,11000,0.025788,2.411074,54.74033,5.095947,3.985072,0,0,0,G4
2,11000,-0.216412,1.204008,64.424599,2.639253,1.974227,0,0,0,G4
2,11000,-0.337742,1.27062,69.695953,1.892025,2.613186,0,0,0,G4
2,11000,-0.201674,1.357879,73.834328,1.015194,1.585306,0,0,0,G4
1,1100,0.057267,0.972637,1,0,2.122289,0,0,0,G5
2,1100,0.064748,0.974128,25.616379,0,1.586052,1.706897,0,0,G5
2,1100,-0.022499,0.867764,25.629665,0,2.089303,2.175918,0,0,G5
2,1100,-0.009446,0.877682,25.679893,0,2.076686,2.163668,0,0,G5
2,1100,0.006147,0.997972,27.027773,0,2.077395,2.193389,0,0,G5
1,1100,0.019301,0.960213,1,0,2.069059,0,0,0,G5
2,1100,0.039962,1.034228,27.902817,0,3.18826,3.2916,0,0,G5
1,1100,0.032045,0.996419,1,0,3.190281,0,0,0,G5
0,1100,0,0,0,0,0,0,0,0,G5
1,1100,0.08606,0.969423,1,0,2.101639,0,0,0,G5
3,1110,0.139896,0.993641,18.979395,0,2.324026,2.517935,2.306317,0,G6
1,1110,0.216966,0.938215,1,0,3.054793,0,0,0,G6
3,1110,0.157546,0.926696,18.622959,0,2.235231,2.490292,2.269758,0,G6
3,1110,0.14616,0.912681,18.366129,0,2.162264,2.413261,2.189,0,G6
3,1110,0.141615,0.922221,17.936562,0,2.120311,2.365904,2.140013,0,G6
3,1110,0.212588,1.078765,17.76836,0,2.546532,2.750862,2.556167,0,G6
3,1110,0.417174,1.005026,17.800419,0,2.380176,2.605932,2.410807,0,G6
2,1110,-0.166341,0.745789,38.0121,0,2.747643,2.709472,0,0,G6
3,1110,-0.073798,1.073336,18.599554,0,2.535672,2.753147,2.513848,0,G6
3,1110,0.082209,1.170329,18.201717,0,3.225746,3.458158,3.232599,0,G6
