@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,4,12-16,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,-0.299509,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,-0.364708,0,0,0,0,0,G1
1,0,-0.485387,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,-0.295764,0,0,0,0,0,G1
2,1101,0.238329,0,165.94075,170.04158,0,123.725075,G0
1,1101,0.397396,0,172.187881,128.42746,0,128.42746,G0
3,1101,0.493598,0,160.248077,175.221802,0,163.788162,G0
3,1101,0.355675,0,162.538147,176.810699,0,165.316177,G0
3,1101,0.57835,0,166.265427,173.450211,0,164.459503,G0
3,1101,0.724144,0,162.707352,174.88089,0,162.41626,G0
3,1101,0.508686,0,161.301956,176.001328,0,164.326782,G0
3,1101,0.530267,0,166.359055,177.620682,0,165.832794,G0
2,1101,0.362851,0,168.408493,172.227234,0,129.517105,G0
2,1101,0.221858,0,165.927948,170.322205,0,123.692383,G0
0,1000,0,0,120.927055,0,0,0,G2
1,1000,-0.10714,0,91.379471,0,0,0,G2
1,1000,-0.176397,0,98.929314,0,0,0,G2
1,1000,-0.180172,0,95.270508,0,0,0,G2
1,1000,-0.163734,0,150.041885,0,0,0,G2
1,1000,-0.147143,0,161.043701,0,0,0,G2
1,1000,-0.138131,0,130.347443,0,0,0,G2
1,1000,-0.20808,0,112.966377,0,0,0,G2
0,1000,0,0,107.709633,0,0,0,G2
1,1000,-0.358454,0,47.264568,0,0,0,G2
1,1,0.541412,0,0,0,0,171.153748,G3
0,1,0,0,0,0,0,144.837021,G3
1,1,0.462858,0,0,0,0,172.400543,G3
1,1,0.659998,0,0,0,0,171.456879,G3
0,1,0,0,0,0,0,139.062225,G3
1,1,0.476256,0,0,0,0,172.304108,G3
1,1,0.392557,0,0,0,0,172.732635,G3
1,1,0.390461,0,0,0,0,171.895767,G3
1,1,0.306161,0,0,0,0,170.648392,G3
1,1,0.465563,0,0,0,0,171.617432,G3
2,11000,-0.308619,144.155319,153.658112,0,0,0,G4
2,11000,-0.193841,150.701721,158.119293,0,0,0,G4
1,11000,0.761958,137.432404,103.332138,0,0,0,G4
1,11000,-0.870415,144.07576,119.915398,0,0,0,G4
2,11000,-0.442109,90.996857,90.841606,0,0,0,G4
3,11000,2.217399,132.467941,131.626663,0,0,0,G4
3,11000,0.025788,155.962585,139.936996,0,0,0,G4
2,11000,-0.216412,162.99614,140.126602,0,0,0,G4
2,11000,-0.337742,139.200562,155.319244,0,0,0,G4
2,11000,-0.201674,106.547577,110.663086,0,0,0,G4
1,1100,0.057267,0,164.074326,121.83271,0,0,G5
2,1100,0.064748,0,145.479355,152.739304,0,0,G5
2,1100,-0.022499,0,163.900574,170.32338,0,0,G5
2,1100,-0.009446,0,162.605179,169.970291,0,0,G5
2,1100,0.006147,0,155.845551,163.895401,0,0,G5
1,1100,0.019301,0,165.836548,117.268494,0,0,G5
2,1100,0.039962,0,172.524399,173.620392,0,0,G5
1,1100,0.032045,0,176.36644,132.990967,0,0,G5
0,1100,0,0,125.737183,125.737183,0,0,G5
1,1100,0.08606,0,163.471024,121.620369,0,0,G5
3,1110,0.139896,0,162.548111,171.519302,164.818192,0,G6
1,1110,0.216966,0,176.308212,138.512131,138.512131,0,G6
3,1110,0.157546,0,159.927841,176.875122,164.071777,0,G6
3,1110,0.14616,0,159.776962,175.001617,162.559204,0,G6
3,1110,0.141615,0,159.760223,173.856689,162.611252,0,G6
3,1110,0.212588,0,165.313492,172.76358,168.305649,0,G6
3,1110,0.417174,0,163.474945,173.360367,165.86879,0,G6
2,1110,-0.166341,0,165.097717,166.641983,127.405434,0,G6
3,1110,-0.073798,0,164.282593,172.933884,166.22258,0,G6
3,1110,0.082209,0,169.11496,173.774216,171.354416,0,G6
2,10001,0.844688,147.085251,0,0,0,148.129181,G7
2,10001,0.811327,157.913773,0,0,0,159.994034,G7
2,10001,0.842655,157.507599,0,0,0,159.018936,G7
2,10001,1.014016,153.025574,0,0,0,153.746048,G7
2,10001,0.91576,161.066452,0,0,0,162.288223,G7
3,10001,0.86249,163.005173,0,0,0,173.747086,G7
2,10001,0.508107,142.965393,0,0,0,147.75795,G7
2,10001,0.839336,167.050568,0,0,0,170.811218,G7
2,10001,0.644728,152.067429,0,0,0,156.85112,G7
2,10001,0.29487,160.481659,0,0,0,162.284927,G7
3,11001,0.483445,158.821487,176.447128,0,0,163.072083,G8
2,11001,0.829864,161.688507,162.615356,0,0,139.254593,G8
3,11001,0.567829,158.159668,177.020065,0,0,161.198853,G8
2,11001,0.761607,161.941376,163.952332,0,0,140.021179,G8
3,11001,0.642846,159.03038,177.220047,0,0,162.234543,G8
2,11001,0.283297,159.653076,162.882004,0,0,140.35405,G8
3,11001,0.607018,160.37233,178.498825,0,0,161.39592,G8
2,11001,0.633312,164.474838,165.52327,0,0,141.323166,G8
3,11001,0.447865,160.407837,175.823914,0,0,161.995728,G8
3,11001,0.622475,158.70433,176.894485,0,0,161.318726,G8
4,11111,0.530258,162.803726,176.261475,172.393829,166.18251,148.512497,G9
5,11111,0.579419,159.451492,174.992706,175.693207,170.935547,165.446472,G9
5,11111,0.695679,156.939423,173.548355,173.992798,168.818237,164.833115,G9
5,11111,0.791347,160.515213,174.034134,176.175858,171.212189,166.561081,G9
1,11111,-0.799085,157.939636,116.752312,116.752312,116.752312,116.752312,G9
5,11111,0.850534,161.816162,175.978546,173.015305,168.582962,165.080215,G9
1,11111,-0.788799,158.935501,137.769104,137.769104,137.769104,137.769104,G9
5,11111,0.653589,153.579422,171.220642,172.619476,167.022858,161.291168,G9
5,11111,0.904786,156.853958,171.922501,172.539795,167.258636,161.931335,G9
4,11111,0.522232,161.289032,176.33786,172.828476,167.542267,146.254669,G9
1,0,-0.768864,0,0,0,0,0,G1
1,0,-0.616738,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,-0.553091,0,0,0,0,0,G1
1,0,-0.50255,0,0,0,0,0,G1
1,0,-0.617926,0,0,0,0,0,G1
1,0,-0.739105,0,0,0,0,0,G1
1,0,-0.698455,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
3,1101,0.426401,0,137.589539,165.491531,0,139.746552,G0
3,1101,0.588854,0,144.060455,173.66011,0,146.252029,G0
3,1101,0.471281,0,147.897171,171.931229,0,153.66568,G0
3,1101,0.58508,0,141.884567,172.789322,0,145.147034,G0
4,1101,0.857719,0,129.621063,159.340668,0,157.472794,G0
3,1101,0.270615,0,143.083313,172.259659,0,152.125031,G0
3,1101,0.302741,0,167.66539,174.647568,0,169.756104,G0
3,1101,0.347208,0,161.986633,177.714569,0,166.327347,G0
3,1101,0.385278,0,146.546463,177.953003,0,152.492371,G0
3,1101,0.543801,0,139.489548,165.725128,0,140.957748,G0
1,1000,-0.215154,0,48.859921,0,0,0,G2
1,1000,0.795045,0,124.367477,0,0,0,G2
0,1000,0,0,111.95285,0,0,0,G2
0,1000,0,0,81.93309,0,0,0,G2
1,1000,-0.186899,0,69.507507,0,0,0,G2
1,1000,-0.122636,0,69.701866,0,0,0,G2
2,1000,0.024574,0,66.973549,0,0,0,G2
2,1000,0.129716,0,68.05513,0,0,0,G2
2,1000,0.138083,0,94.080872,0,0,0,G2
2,1000,0.035481,0,48.285732,0,0,0,G2
1,1,-0.108901,0,0,0,0,171.664322,G3
1,1,0.483535,0,0,0,0,165.615784,G3
1,1,0.313593,0,0,0,0,171.766647,G3
1,1,0.147303,0,0,0,0,171.608826,G3
1,1,0.40733,0,0,0,0,171.026321,G3
1,1,0.261888,0,0,0,0,170.609177,G3
2,1,0.72652,0,0,0,0,162.612946,G3
1,1,0.20873,0,0,0,0,168.759064,G3
1,1,0.04827,0,0,0,0,166.942734,G3
1,1,0.102806,0,0,0,0,167.513641,G3
2,11000,-0.373879,123.108398,127.804382,0,0,0,G4
2,11000,-0.434245,136.210159,138.401566,0,0,0,G4
2,11000,-0.413022,130.734604,126.305679,0,0,0,G4
3,11000,-0.037151,132.228668,130.718704,0,0,0,G4
3,11000,-0.000103,120.209167,143.173737,0,0,0,G4
3,11000,-0.060346,114.908333,141.555405,0,0,0,G4
3,11000,-0.033475,132.090958,154.048996,0,0,0,G4
3,11000,-0.013315,115.810112,137.619339,0,0,0,G4
2,11000,-0.447857,136.935532,141.645401,0,0,0,G4
2,11000,-0.45698,138.435791,145.068253,0,0,0,G4
2,1100,0.264451,0,157.298141,151.47937,0,0,G5
2,1100,0.30508,0,161.109604,162.240845,0,0,G5
2,1100,0.161662,0,155.217468,161.949905,0,0,G5
3,1100,1.997881,0,141.009811,172.37114,0,0,G5
2,1100,0.207566,0,162.550568,164.515289,0,0,G5
2,1100,0.263061,0,167.017761,168.560501,0,0,G5
2,1100,0.295778,0,160.789627,160.651489,0,0,G5
2,1100,0.302774,0,155.125366,156.202133,0,0,G5
2,1100,0.291047,0,157.062805,157.414474,0,0,G5
2,1100,0.345031,0,155.830521,148.050812,0,0,G5
3,1110,0.054545,0,162.40625,177.350327,160.028183,0,G6
4,1110,0.341613,0,159.886642,176.202621,159.057236,0,G6
3,1110,0.183539,0,154.972549,177.50769,153.820938,0,G6
3,1110,0.132188,0,153.533035,176.96228,155.902496,0,G6
3,1110,0.299692,0,164.910446,175.305054,158.253128,0,G6
3,1110,0.177524,0,156.659332,174.431229,159.132797,0,G6
3,1110,0.124065,0,165.980728,178.975113,167.706619,0,G6
3,1110,0.15952,0,166.905579,177.663925,169.824829,0,G6
3,1110,0.093541,0,167.622284,178.443542,168.931641,0,G6
3,1110,0.025135,0,169.025162,178.344711,167.502808,0,G6
2,10001,1.095423,89.516724,0,0,0,89.543671,G7
3,10001,1.109315,109.851532,0,0,0,138.285965,G7
3,10001,0.911542,122.52356,0,0,0,149.83226,G7
2,10001,0.83926,144.159943,0,0,0,147.573868,G7
2,10001,1.004514,144.15802,0,0,0,142.55423,G7
3,10001,0.944776,113.6362,0,0,0,142.817612,G7
4,10001,1.053624,116.994324,0,0,0,154.234924,G7
4,10001,1.353392,86.270149,0,0,0,73.566414,G7
4,10001,1.458554,96.252411,0,0,0,115.578766,G7
4,10001,1.367796,62.188419,0,0,0,24.563068,G7
4,11001,1.775124,131.880173,155.757553,0,0,142.389297,G8
2,11001,0.288527,176.51709,149.82019,0,0,117.965179,G8
3,11001,0.32148,153.720856,177.791595,0,0,154.311493,G8
3,11001,0.155239,143.850189,179.438721,0,0,142.884216,G8
3,11001,0.274512,141.700806,179.223923,0,0,139.17041,G8
3,11001,0.31914,128.657257,175.82991,0,0,126.06456,G8
3,11001,0.479261,122.116074,157.150238,0,0,118.952278,G8
3,11001,0.500359,147.015656,173.247665,0,0,142.935913,G8
4,11001,0.446692,159.412155,176.559464,0,0,171.015945,G8
4,11001,2.231167,151.090042,169.06192,0,0,157.355667,G8
5,11111,0.912641,160.107834,174.631195,175.848938,169.01709,160.712158,G9
5,11111,0.795213,155.288025,173.037949,174.72496,166.217316,155.481995,G9
5,11111,0.66777,156.376144,170.923889,178.034958,170.251404,160.49585,G9
5,11111,0.777736,160.238403,176.249603,174.238602,167.391861,160.448593,G9
5,11111,0.782084,161.846405,174.749695,177.053833,170.403946,163.688889,G9
5,11111,0.792103,157.581375,173.405853,175.455627,167.736404,160.304428,G9
5,11111,0.642047,151.80928,169.919113,177.022842,167.159164,158.034683,G9
3,11111,-0.196212,159.835266,172.978333,163.220871,128.067398,128.067398,G9
3,11111,0.671083,165.539612,179.283447,164.180954,140.551788,140.551788,G9
5,11111,0.730756,160.455063,175.313614,175.767273,169.007629,161.499741,G9
0,0,0,0,0,0,0,0,G1
1,0,0.734957,0,0,0,0,0,G1
2,0,0.581342,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,-0.667931,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
4,1101,0.861251,0,142.332962,156.281662,0,176.483307,G0
3,1101,0.461436,0,160.787567,176.201752,0,164.689804,G0
3,1101,0.41388,0,165.657059,177.942795,0,168.724884,G0
5,1101,1.781367,0,150.5522,166.814194,0,173.651367,G0
3,1101,0.36219,0,145.580276,172.613708,0,153.259186,G0
3,1101,0.457707,0,147.211563,176.082993,0,150.05191,G0
3,1101,0.568438,0,160.27478,173.541443,0,159.658691,G0
2,1101,-0.014742,0,169.804062,172.109787,0,118.577271,G0
4,1101,0.961435,0,156.990738,168.490891,0,171.412415,G0
4,1101,0.910031,0,157.996826,168.456482,0,173.448929,G0
1,1000,-0.303567,0,76.631912,0,0,0,G2
0,1000,0,0,89.042931,0,0,0,G2
0,1000,0,0,80.755898,0,0,0,G2
0,1000,0,0,69.18438,0,0,0,G2
1,1000,-0.315823,0,71.548866,0,0,0,G2
1,1000,-0.111525,0,71.709641,0,0,0,G2
1,1000,-0.210051,0,103.47081,0,0,0,G2
0,1000,0,0,91.103645,0,0,0,G2
1,1000,-0.267906,0,71.640854,0,0,0,G2
1,1000,-0.291259,0,88.540672,0,0,0,G2
2,1,0.488662,0,0,0,0,166.237671,G3
0,1,0,0,0,0,0,129.491425,G3
2,1,0.822483,0,0,0,0,144.016495,G3
1,1,0.211315,0,0,0,0,158.374939,G3
1,1,0.257286,0,0,0,0,171.498672,G3
1,1,0.294008,0,0,0,0,170.657898,G3
1,1,0.213918,0,0,0,0,175.978775,G3
1,1,0.220521,0,0,0,0,175.711761,G3
1,1,0.164169,0,0,0,0,173.301636,G3
1,1,0.15234,0,0,0,0,173.116989,G3
2,11000,-0.174105,150.429321,146.845932,0,0,0,G4
2,11000,-0.122953,151.068497,151.967392,0,0,0,G4
3,11000,0.18846,149.284546,162.463028,0,0,0,G4
2,11000,-0.164602,148.854691,155.270782,0,0,0,G4
1,11000,-0.94572,164.039963,121.562927,0,0,0,G4
2,11000,-0.150126,156.950668,157.529922,0,0,0,G4
1,11000,-0.98293,160.305389,123.231895,0,0,0,G4
3,11000,-0.008154,159.547836,145.906097,0,0,0,G4
2,11000,-0.180848,149.536087,149.475662,0,0,0,G4
3,11000,1.36589,149.248337,151.168625,0,0,0,G4
3,1100,-0.063246,0,159.585892,140.582916,0,0,G5
3,1100,0.972259,0,143.613663,166.919235,0,0,G5
3,1100,0.856262,0,162.262024,175.851837,0,0,G5
2,1100,-0.077521,0,164.674164,168.732422,0,0,G5
3,1100,1.139007,0,150.221451,170.661713,0,0,G5
2,1100,-0.078388,0,153.755936,164.539261,0,0,G5
2,1100,0.136451,0,160.427338,161.81131,0,0,G5
2,1100,0.192035,0,169.577728,170.070908,0,0,G5
2,1100,0.017633,0,169.768372,174.412598,0,0,G5
3,1100,-0.183645,0,172.394135,155.047699,0,0,G5
3,1110,0.15807,0,137.544159,159.832901,170.051941,0,G6
3,1110,0.699618,0,134.139099,160.811981,148.163284,0,G6
3,1110,0.125004,0,143.387024,158.568115,155.211288,0,G6
4,1110,0.641382,0,146.291122,162.02771,164.283127,0,G6
3,1110,0.070663,0,136.786469,155.803604,167.825119,0,G6
3,1110,-0.009252,0,141.794525,159.851151,173.523972,0,G6
4,1110,0.667561,0,141.09761,160.426376,172.090042,0,G6
4,1110,1.009683,0,120.411613,145.582108,153.855331,0,G6
3,1110,0.356224,0,158.09407,177.012131,163.414658,0,G6
3,1110,0.24501,0,165.891724,177.825241,168.170349,0,G6
2,10001,0.13836,150.866776,0,0,0,160.885162,G7
2,10001,-0.164355,155.767197,0,0,0,160.37619,G7
1,10001,-0.624042,168.665237,0,0,0,121.673973,G7
3,10001,0.329231,152.517059,0,0,0,164.810593,G7
3,10001,0.38034,146.980499,0,0,0,155.708069,G7
4,10001,0.793739,154.054306,0,0,0,168.350494,G7
2,10001,0.29787,157.02507,0,0,0,162.3703,G7
4,10001,3.005895,149.606033,0,0,0,171.202713,G7
4,10001,1.964791,167.218613,0,0,0,156.438965,G7
3,10001,2.029247,150.675461,0,0,0,162.227585,G7
3,11001,0.470137,155.961044,167.585281,0,0,154.640747,G8
2,11001,-0.328652,164.735199,165.001053,0,0,125.562599,G8
3,11001,0.308704,157.161865,170.758362,0,0,159.944489,G8
4,11001,4.830279,160.598526,172.398666,0,0,167.251312,G8
3,11001,0.317377,154.976593,167.743378,0,0,153.04213,G8
3,11001,0.478468,153.281052,170.502991,0,0,156.384583,G8
3,11001,0.378964,162.362473,173.528778,0,0,164.775055,G8
3,11001,0.325927,168.317596,175.326996,0,0,170.124725,G8
3,11001,0.254995,163.177673,172.859192,0,0,166.632324,G8
3,11001,0.253362,159.355789,170.543777,0,0,162.294601,G8
5,11111,0.985754,157.120651,172.834534,175.773148,167.556152,154.049805,G9
5,11111,0.842018,133.280258,155.881714,174.511292,157.903885,132.996231,G9
5,11111,1.16038,148.056274,166.669312,176.250839,165.183868,147.019974,G9
4,11111,1.081631,164.037476,173.334671,173.708176,164.406357,134.793076,G9
4,11111,0.925269,167.370453,174.924911,177.908005,164.890381,129.877228,G9
4,11111,0.821203,152.74411,167.642105,174.411667,149.000046,112.352119,G9
5,11111,0.964381,146.375336,166.564178,176.570923,164.338974,144.973083,G9
5,11111,0.810025,138.483383,159.846359,173.930008,162.044144,139.356567,G9
5,11111,0.666753,146.686935,165.483521,176.055344,166.265366,146.893875,G9
5,11111,0.702865,158.587219,172.542953,178.163986,171.31279,158.134842,G9
1,0,-0.728452,0,0,0,0,0,G1
1,0,-0.672955,0,0,0,0,0,G1
1,0,-0.720727,0,0,0,0,0,G1
1,0,-0.701598,0,0,0,0,0,G1
1,0,-0.693084,0,0,0,0,0,G1
1,0,-0.762485,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,-0.698562,0,0,0,0,0,G1
3,1101,0.726182,0,164.586594,175.419617,0,161.868759,G0
3,1101,0.792688,0,169.246262,176.524734,0,167.220749,G0
3,1101,0.809091,0,166.229385,175.302261,0,163.737961,G0
3,1101,0.838553,0,162.313019,173.31636,0,158.420868,G0
3,1101,0.655823,0,162.672577,174.737122,0,162.50795,G0
3,1101,0.86205,0,167.870651,173.573944,0,165.190262,G0
3,1101,0.956434,0,164.778549,172.810669,0,163.217773,G0
3,1101,0.955239,0,157.022293,168.845734,0,153.842758,G0
4,1101,1.007363,0,155.468872,165.176437,0,171.806549,G0
3,1101,0.734132,0,163.517426,174.128189,0,161.526047,G0
1,1000,-0.357227,0,29.618279,0,0,0,G2
1,1000,-0.078084,0,64.836624,0,0,0,G2
1,1000,-0.18588,0,87.888992,0,0,0,G2
1,1000,-0.085474,0,137.011215,0,0,0,G2
1,1000,-0.179387,0,80.060638,0,0,0,G2
1,1000,-0.199327,0,108.287598,0,0,0,G2
1,1000,-0.255902,0,52.191212,0,0,0,G2
1,1000,-0.244464,0,61.061859,0,0,0,G2
1,1000,-0.125303,0,134.098007,0,0,0,G2
1,1000,-0.239968,0,132.361725,0,0,0,G2
1,1,0.443697,0,0,0,0,159.892532,G3
2,1,0.86226,0,0,0,0,169.495255,G3
2,1,0.750588,0,0,0,0,52.036568,G3
2,1,0.893559,0,0,0,0,175.768677,G3
1,1,0.517816,0,0,0,0,164.998001,G3
1,1,0.492226,0,0,0,0,164.103256,G3
1,1,0.483866,0,0,0,0,170.759048,G3
2,1,0.967046,0,0,0,0,173.704575,G3
1,1,0.502763,0,0,0,0,44.889503,G3
1,1,0.51584,0,0,0,0,50.7924,G3
3,11000,0.00827,114.560387,133.119064,0,0,0,G4
2,11000,-0.44694,42.42955,39.22506,0,0,0,G4
2,11000,-0.455291,105.002586,112.334946,0,0,0,G4
3,11000,-0.073055,136.017624,154.751144,0,0,0,G4
3,11000,0.004683,132.005554,154.144653,0,0,0,G4
3,11000,0.010504,133.874084,156.922607,0,0,0,G4
3,11000,0.036607,140.183441,163.246262,0,0,0,G4
3,11000,-0.058973,142.316177,166.072464,0,0,0,G4
3,11000,-0.015395,121.624878,142.849915,0,0,0,G4
2,11000,-0.220726,98.345917,100.853981,0,0,0,G4
2,1100,0.189658,0,113.05056,115.385757,0,0,G5
2,1100,0.319402,0,161.440491,158.827652,0,0,G5
2,1100,0.259142,0,165.068985,166.924835,0,0,G5
2,1100,0.100846,0,161.058945,167.725616,0,0,G5
2,1100,0.283289,0,167.03392,164.433136,0,0,G5
2,1100,0.220504,0,146.130478,150.86702,0,0,G5
2,1100,0.07513,0,143.394028,148.480362,0,0,G5
2,1100,-0.022152,0,139.990692,157.262695,0,0,G5
2,1100,0.04532,0,164.123718,166.710754,0,0,G5
2,1100,0.025468,0,159.079269,160.872421,0,0,G5
3,1110,0.322959,0,161.027771,179.620499,161.343567,0,G6
3,1110,0.248405,0,163.040894,177.300781,162.125793,0,G6
3,1110,0.340859,0,164.326721,176.373337,163.052551,0,G6
3,1110,0.420885,0,164.659592,175.36908,162.747375,0,G6
3,1110,0.329623,0,150.335907,177.270844,152.010605,0,G6
3,1110,0.270949,0,155.022339,177.815735,157.191086,0,G6
3,1110,0.288639,0,162.073257,178.786301,162.991867,0,G6
3,1110,0.044501,0,163.447113,177.285797,166.949493,0,G6
3,1110,0.239615,0,170.774841,177.92868,170.193192,0,G6
3,1110,0.244437,0,166.34668,178.606033,166.365814,0,G6
2,10001,1.347333,118.23542,0,0,0,113.262886,G7
2,10001,1.202937,144.603088,0,0,0,139.1371,G7
2,10001,1.145428,131.547043,0,0,0,127.874481,G7
2,10001,1.153348,138.251114,0,0,0,132.642227,G7
2,10001,1.182747,136.212906,0,0,0,129.446472,G7
2,10001,1.150035,132.074844,0,0,0,129.911301,G7
2,10001,0.951274,152.091919,0,0,0,150.431808,G7
2,10001,0.945516,107.580704,0,0,0,106.688972,G7
2,10001,0.999471,59.235878,0,0,0,61.574509,G7
2,10001,1.297328,65.826645,0,0,0,69.152672,G7
3,11001,0.544992,162.860626,175.380936,0,0,159.62619,G8
3,11001,0.811194,151.784622,172.088409,0,0,151.70462,G8
4,11001,0.873147,137.575256,166.137772,0,0,164.62056,G8
4,11001,0.921665,153.336975,171.383102,0,0,170.821045,G8
