@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,5,12-16,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute Max_Y numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,0.890207,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,0.785661,0,0,0,0,0,G1
1,0,0.869856,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,0.93356,0,0,0,0,0,G1
2,1101,1.058861,0,165.94075,170.04158,0,123.725075,G0
1,1101,0.832151,0,172.187881,128.42746,0,128.42746,G0
3,1101,0.965314,0,160.248077,175.221802,0,163.788162,G0
3,1101,0.988549,0,162.538147,176.810699,0,165.316177,G0
3,1101,0.895118,0,166.265427,173.450211,0,164.459503,G0
3,1101,0.870628,0,162.707352,174.88089,0,162.41626,G0
3,1101,0.998301,0,161.301956,176.001328,0,164.326782,G0
3,1101,1.068097,0,166.359055,177.620682,0,165.832794,G0
2,1101,1.121722,0,168.408493,172.227234,0,129.517105,G0
2,1101,1.068544,0,165.927948,170.322205,0,123.692383,G0
0,1000,0,0,120.927055,0,0,0,G2
1,1000,0.827349,0,91.379471,0,0,0,G2
1,1000,0.885353,0,98.929314,0,0,0,G2
1,1000,0.929243,0,95.270508,0,0,0,G2
1,1000,0.943691,0,150.041885,0,0,0,G2
1,1000,0.935648,0,161.043701,0,0,0,G2
1,1000,0.873468,0,130.347443,0,0,0,G2
1,1000,0.727005,0,112.966377,0,0,0,G2
0,1000,0,0,107.709633,0,0,0,G2
1,1000,0.729622,0,47.264568,0,0,0,G2
1,1,0.83058,0,0,0,0,171.153748,G3
0,1,0,0,0,0,0,144.837021,G3
1,1,0.841609,0,0,0,0,172.400543,G3
1,1,0.728467,0,0,0,0,171.456879,G3
0,1,0,0,0,0,0,139.062225,G3
1,1,0.828946,0,0,0,0,172.304108,G3
1,1,0.889354,0,0,0,0,172.732635,G3
1,1,0.873453,0,0,0,0,171.895767,G3
1,1,0.746036,0,0,0,0,170.648392,G3
1,1,0.87375,0,0,0,0,171.617432,G3
2,11000,1.28561,144.155319,153.658112,0,0,0,G4
2,11000,1.128605,150.701721,158.119293,0,0,0,G4
1,11000,-0.644317,137.432404,103.332138,0,0,0,G4
1,11000,0.246019,144.07576,119.915398,0,0,0,G4
2,11000,0.342575,90.996857,90.841606,0,0,0,G4
3,11000,3.957813,132.467941,131.626663,0,0,0,G4
3,11000,2.411074,155.962585,139.936996,0,0,0,G4
2,11000,1.204008,162.99614,140.126602,0,0,0,G4
2,11000,1.27062,139.200562,155.319244,0,0,0,G4
2,11000,1.357879,106.547577,110.663086,0,0,0,G4
1,1100,0.972637,0,164.074326,121.83271,0,0,G5
2,1100,0.974128,0,145.479355,152.739304,0,0,G5
2,1100,0.867764,0,163.900574,170.32338,0,0,G5
2,1100,0.877682,0,162.605179,169.970291,0,0,G5
2,1100,0.997972,0,155.845551,163.895401,0,0,G5
1,1100,0.960213,0,165.836548,117.268494,0,0,G5
2,1100,1.034228,0,172.524399,173.620392,0,0,G5
1,1100,0.996419,0,176.36644,132.990967,0,0,G5
0,1100,0,0,125.737183,125.737183,0,0,G5
1,1100,0.969423,0,163.471024,121.620369,0,0,G5
3,1110,0.993641,0,162.548111,171.519302,164.818192,0,G6
1,1110,0.938215,0,176.308212,138.512131,138.512131,0,G6
3,1110,0.926696,0,159.927841,176.875122,164.071777,0,G6
3,1110,0.912681,0,159.776962,175.001617,162.559204,0,G6
3,1110,0.922221,0,159.760223,173.856689,162.611252,0,G6
3,1110,1.078765,0,165.313492,172.76358,168.305649,0,G6
3,1110,1.005026,0,163.474945,173.360367,165.86879,0,G6
2,1110,0.745789,0,165.097717,166.641983,127.405434,0,G6
3,1110,1.073336,0,164.282593,172.933884,166.22258,0,G6
3,1110,1.170329,0,169.11496,173.774216,171.354416,0,G6
2,10001,0.81088,147.085251,0,0,0,148.129181,G7
2,10001,1.022262,157.913773,0,0,0,159.994034,G7
2,10001,1.057828,157.507599,0,0,0,159.018936,G7
2,10001,1.037736,153.025574,0,0,0,153.746048,G7
2,10001,1.124422,161.066452,0,0,0,162.288223,G7
3,10001,1.360674,163.005173,0,0,0,173.747086,G7
2,10001,0.776607,142.965393,0,0,0,147.75795,G7
2,10001,1.519801,167.050568,0,0,0,170.811218,G7
2,10001,0.944019,152.067429,0,0,0,156.85112,G7
2,10001,1.060393,160.481659,0,0,0,162.284927,G7
3,11001,1.367308,158.821487,176.447128,0,0,163.072083,G8
2,11001,1.373388,161.688507,162.615356,0,0,139.254593,G8
3,11001,1.426975,158.159668,177.020065,0,0,161.198853,G8
2,11001,1.478418,161.941376,163.952332,0,0,140.021179,G8
3,11001,1.471149,159.03038,177.220047,0,0,162.234543,G8
2,11001,1.272335,159.653076,162.882004,0,0,140.35405,G8
3,11001,1.179867,160.37233,178.498825,0,0,161.39592,G8
2,11001,1.259652,164.474838,165.52327,0,0,141.323166,G8
3,11001,1.236284,160.407837,175.823914,0,0,161.995728,G8
3,11001,1.343418,158.70433,176.894485,0,0,161.318726,G8
4,11111,1.504573,162.803726,176.261475,172.393829,166.18251,148.512497,G9
5,11111,1.340814,159.451492,174.992706,175.693207,170.935547,165.446472,G9
5,11111,1.295621,156.939423,173.548355,173.992798,168.818237,164.833115,G9
5,11111,1.412484,160.515213,174.034134,176.175858,171.212189,166.561081,G9
1,11111,0.600263,157.939636,116.752312,116.752312,116.752312,116.752312,G9
5,11111,1.42811,161.816162,175.978546,173.015305,168.582962,165.080215,G9
1,11111,0.610598,158.935501,137.769104,137.769104,137.769104,137.769104,G9
5,11111,1.178239,153.579422,171.220642,172.619476,167.022858,161.291168,G9
5,11111,1.352818,156.853958,171.922501,172.539795,167.258636,161.931335,G9
4,11111,1.510261,161.289032,176.33786,172.828476,167.542267,146.254669,G9
1,0,0.635808,0,0,0,0,0,G1
1,0,0.778669,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,0.81432,0,0,0,0,0,G1
1,0,0.864201,0,0,0,0,0,G1
