@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,6,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1,0,1,G1
1,0,1,G1
0,0,0,G1
1,0,1,G1
2,1101,32.128532,G0
1,1101,1,G0
3,1101,23.471453,G0
3,1101,23.955109,G0
3,1101,23.617138,G0
3,1101,23.632465,G0
3,1101,23.944956,G0
3,1101,23.390223,G0
2,1101,31.454571,G0
2,1101,31.916876,G0
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
0,1000,0,G2
1,1000,1,G2
1,1,1,G3
0,1,0,G3
1,1,1,G3
1,1,1,G3
0,1,0,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
2,11000,68.443039,G4
2,11000,73.717079,G4
1,11000,1,G4
1,11000,1,G4
2,11000,36.890366,G4
3,11000,99.374763,G4
3,11000,54.74033,G4
2,11000,64.424599,G4
2,11000,69.695953,G4
2,11000,73.834328,G4
1,1100,1,G5
2,1100,25.616379,G5
2,1100,25.629665,G5
2,1100,25.679893,G5
2,1100,27.027773,G5
1,1100,1,G5
2,1100,27.902817,G5
1,1100,1,G5
0,1100,0,G5
1,1100,1,G5
3,1110,18.979395,G6
1,1110,1,G6
3,1110,18.622959,G6
3,1110,18.366129,G6
3,1110,17.936562,G6
3,1110,17.76836,G6
3,1110,17.800419,G6
2,1110,38.0121,G6
3,1110,18.599554,G6
3,1110,18.201717,G6
2,10001,69.908165,G7
2,10001,77.238541,G7
2,10001,79.161362,G7
2,10001,83.083595,G7
2,10001,78.348076,G7
3,10001,44.688377,G7
2,10001,78.815231,G7
2,10001,75.410538,G7
2,10001,79.038055,G7
2,10001,70.284538,G7
3,11001,31.84795,G8
2,11001,87.031273,G8
3,11001,31.582924,G8
2,11001,88.510788,G8
3,11001,34.360435,G8
2,11001,81.049911,G8
3,11001,31.013523,G8
2,11001,71.723534,G8
3,11001,32.058792,G8
3,11001,33.020748,G8
4,11111,16.910755,G9
5,11111,13.740136,G9
5,11111,14.779031,G9
5,11111,11.713248,G9
1,11111,1,G9
5,11111,11.588235,G9
1,11111,1,G9
5,11111,11.072308,G9
5,11111,10.192496,G9
4,11111,16.426311,G9
1,0,1,G1
1,0,1,G1
0,0,0,G1
1,0,1,G1
1,0,1,G1
1,0,1,G1
1,0,1,G1
1,0,1,G1
0,0,0,G1
0,0,0,G1
3,1101,19.429249,G0
3,1101,22.119347,G0
3,1101,22.894224,G0
3,1101,23.186516,G0
4,1101,19.955507,G0
3,1101,22.108004,G0
3,1101,22.267647,G0
3,1101,22.644402,G0
3,1101,21.962376,G0
3,1101,19.529358,G0
1,1000,1,G2
1,1000,1,G2
0,1000,0,G2
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
2,1000,18.586517,G2
2,1000,18.952829,G2
2,1000,19.019991,G2
2,1000,20.502623,G2
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
2,1,43.806084,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
2,11000,53.363533,G4
2,11000,55.445675,G4
2,11000,57.632858,G4
3,11000,18.210123,G4
3,11000,17.409941,G4
3,11000,18.754187,G4
3,11000,19.466267,G4
3,11000,19.616816,G4
2,11000,53.907883,G4
2,11000,54.080479,G4
2,1100,35.383423,G5
2,1100,35.510876,G5
2,1100,36.217762,G5
3,1100,28.439514,G5
2,1100,35.175339,G5
2,1100,36.02306,G5
2,1100,35.848511,G5
2,1100,35.379021,G5
2,1100,33.79295,G5
2,1100,35.247337,G5
3,1110,15.573933,G6
4,1110,14.413544,G6
3,1110,17.945267,G6
3,1110,17.476412,G6
3,1110,15.826111,G6
3,1110,16.318581,G6
3,1110,15.603787,G6
3,1110,15.716647,G6
3,1110,16.018442,G6
3,1110,16.020119,G6
2,10001,80.422737,G7
3,10001,41.267994,G7
3,10001,40.350845,G7
2,10001,74.734032,G7
2,10001,76.033142,G7
3,10001,40.558052,G7
4,10001,26.645836,G7
4,10001,26.544914,G7
4,10001,27.584511,G7
4,10001,26.861992,G7
4,11001,17.067598,G8
2,11001,40.308922,G8
3,11001,25.895041,G8
3,11001,24.940514,G8
3,11001,25.743473,G8
3,11001,25.42441,G8
3,11001,24.691273,G8
3,11001,24.97603,G8
4,11001,17.722002,G8
4,11001,18.097288,G8
5,11111,10.475904,G9
5,11111,10.736491,G9
5,11111,10.215485,G9
5,11111,10.836102,G9
5,11111,10.868353,G9
5,11111,9.782095,G9
5,11111,10.083056,G9
3,11111,25.220232,G9
3,11111,25.929398,G9
5,11111,10.531284,G9
0,0,0,G1
1,0,1,G1
2,0,5.416896,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1,0,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
4,1101,4.915854,G0
3,1101,19.595537,G0
3,1101,19.243837,G0
5,1101,7.804761,G0
3,1101,19.793972,G0
3,1101,20.028419,G0
3,1101,19.043934,G0
2,1101,22.023912,G0
4,1101,1.973912,G0
4,1101,4.449722,G0
1,1000,1,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
2,1,49.595951,G3
0,1,0,G3
2,1,53.400436,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
2,11000,50.252277,G4
2,11000,48.429398,G4
3,11000,14.786871,G4
2,11000,50.12207,G4
1,11000,1,G4
2,11000,49.292255,G4
1,11000,1,G4
3,11000,77.524254,G4
2,11000,50.425652,G4
3,11000,34.100098,G4
3,1100,30.171564,G5
3,1100,9.168107,G5
3,1100,11.501387,G5
2,1100,26.184465,G5
3,1100,18.09214,G5
2,1100,26.263199,G5
2,1100,27.691299,G5
2,1100,27.695864,G5
2,1100,28.322369,G5
3,1100,31.533884,G5
3,1110,19.914471,G6
3,1110,7.737838,G6
3,1110,19.64415,G6
4,1110,7.008226,G6
3,1110,19.759106,G6
3,1110,19.387762,G6
4,1110,5.810316,G6
4,1110,3.458053,G6
3,1110,20.15057,G6
3,1110,20.21986,G6
2,10001,53.090115,G7
2,10001,28.018694,G7
1,10001,1,G7
3,10001,30.324524,G7
