@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,6,18-22'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,1,0.890207,1,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,1,0.785661,1,0,0,0,0,G1
0,1,0.869856,1,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,1,0.93356,1,0,0,0,0,G1
1101,0.016534,1.058861,32.128532,2.416847,0,0,0,G0
1101,1,0.832151,1,0,0,0,0,G0
1101,0.011292,0.965314,23.471453,3.03,2.587216,0,0,G0
1101,0.010951,0.988549,23.955109,3.259898,2.818214,0,0,G0
1101,0.011335,0.895118,23.617138,3.669697,3.180849,0,0,G0
1101,0.011234,0.870628,23.632465,3.161629,2.710331,0,0,G0
1101,0.011063,0.998301,23.944956,3.16389,2.742073,0,0,G0
1101,0.011482,1.068097,23.390223,3.662693,3.202039,0,0,G0
1101,0.017025,1.121722,31.454571,2.818256,0,0,0,G0
1101,0.016541,1.068544,31.916876,2.418613,0,0,0,G0
1000,0,0,0,0,0,0,0,G2
1000,1,0.827349,1,0,0,0,0,G2
1000,1,0.885353,1,0,0,0,0,G2
1000,1,0.929243,1,0,0,0,0,G2
1000,1,0.943691,1,0,0,0,0,G2
1000,1,0.935648,1,0,0,0,0,G2
1000,1,0.873468,1,0,0,0,0,G2
1000,1,0.727005,1,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,1,0.729622,1,0,0,0,0,G2
1,1,0.83058,1,0,0,0,0,G3
1,0,0,0,0,0,0,0,G3
1,1,0.841609,1,0,0,0,0,G3
1,1,0.728467,1,0,0,0,0,G3
1,0,0,0,0,0,0,0,G3
1,1,0.828946,1,0,0,0,0,G3
1,1,0.889354,1,0,0,0,0,G3
1,1,0.873453,1,0,0,0,0,G3
