@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,18-22'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_Y numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,1,0.890207,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,1,0.785661,0,0,0,0,G1
0,1,0.869856,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,1,0.93356,0,0,0,0,G1
1101,0.016534,1.058861,2.416847,0,0,0,G0
1101,1,0.832151,0,0,0,0,G0
1101,0.011292,0.965314,3.03,2.587216,0,0,G0
1101,0.010951,0.988549,3.259898,2.818214,0,0,G0
1101,0.011335,0.895118,3.669697,3.180849,0,0,G0
1101,0.011234,0.870628,3.161629,2.710331,0,0,G0
1101,0.011063,0.998301,3.16389,2.742073,0,0,G0
1101,0.011482,1.068097,3.662693,3.202039,0,0,G0
1101,0.017025,1.121722,2.818256,0,0,0,G0
1101,0.016541,1.068544,2.418613,0,0,0,G0
1000,0,0,0,0,0,0,G2
1000,1,0.827349,0,0,0,0,G2
1000,1,0.885353,0,0,0,0,G2
1000,1,0.929243,0,0,0,0,G2
1000,1,0.943691,0,0,0,0,G2
1000,1,0.935648,0,0,0,0,G2
1000,1,0.873468,0,0,0,0,G2
1000,1,0.727005,0,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,1,0.729622,0,0,0,0,G2
1,1,0.83058,0,0,0,0,G3
1,0,0,0,0,0,0,G3
1,1,0.841609,0,0,0,0,G3
1,1,0.728467,0,0,0,0,G3
1,0,0,0,0,0,0,G3
1,1,0.828946,0,0,0,0,G3
1,1,0.889354,0,0,0,0,G3
1,1,0.873453,0,0,0,0,G3
1,1,0.746036,0,0,0,0,G3
1,1,0.87375,0,0,0,0,G3
11000,0.00996,1.28561,2.493204,0,0,0,G4
11000,0.009741,1.128605,3.170856,0,0,0,G4
11000,1,-0.644317,0,0,0,0,G4
11000,1,0.246019,0,0,0,0,G4
11000,0.01593,0.342575,0.556692,0,0,0,G4
11000,0.026462,3.957813,6.226292,1.330289,0,0,G4
11000,0.020799,2.411074,3.985072,2.221399,0,0,G4
11000,0.010248,1.204008,1.974227,0,0,0,G4
11000,0.010268,1.27062,2.613186,0,0,0,G4
11000,0.010397,1.357879,1.585306,0,0,0,G4
1100,1,0.972637,0,0,0,0,G5
1100,0.020365,0.974128,1.706897,0,0,0,G5
1100,0.020396,0.867764,2.175918,0,0,0,G5
1100,0.020314,0.877682,2.163668,0,0,0,G5
1100,0.019104,0.997972,2.193389,0,0,0,G5
1100,1,0.960213,0,0,0,0,G5
1100,0.019072,1.034228,3.2916,0,0,0,G5
1100,1,0.996419,0,0,0,0,G5
1100,0,0,0,0,0,0,G5
1100,1,0.969423,0,0,0,0,G5
1110,0.014228,0.993641,2.517935,2.306317,0,0,G6
1110,1,0.938215,0,0,0,0,G6
1110,0.014499,0.926696,2.490292,2.269758,0,0,G6
1110,0.014726,0.912681,2.413261,2.189,0,0,G6
1110,0.015094,0.922221,2.365904,2.140013,0,0,G6
1110,0.015183,1.078765,2.750862,2.556167,0,0,G6
1110,0.015188,1.005026,2.605932,2.410807,0,0,G6
1110,0.014549,0.745789,2.709472,0,0,0,G6
1110,0.014668,1.073336,2.753147,2.513848,0,0,G6
1110,0.01502,1.170329,3.458158,3.232599,0,0,G6
10001,0.010028,0.81088,2.585142,0,0,0,G7
10001,0.009677,1.022262,3.898848,0,0,0,G7
10001,0.009634,1.057828,3.925811,0,0,0,G7
10001,0.009664,1.037736,3.379407,0,0,0,G7
10001,0.010198,1.124422,4.741308,0,0,0,G7
10001,0.012656,1.360674,4.877326,5.511092,0,0,G7
10001,0.009721,0.776607,2.779773,0,0,0,G7
10001,0.012008,1.519801,8.375031,0,0,0,G7
10001,0.009612,0.944019,3.456703,0,0,0,G7
10001,0.010206,1.060393,4.002843,0,0,0,G7
11001,0.009102,1.367308,4.541636,3.928185,0,0,G8
11001,0.010508,1.373388,5.742901,0,0,0,G8
11001,0.009269,1.426975,4.830408,4.076703,0,0,G8
11001,0.010403,1.478418,6.109691,0,0,0,G8
11001,0.008864,1.471149,5.293864,4.627994,0,0,G8
11001,0.010401,1.272335,5.009287,0,0,0,G8
11001,0.009289,1.179867,4.37043,3.820997,0,0,G8
11001,0.010335,1.259652,5.031978,0,0,0,G8
11001,0.008903,1.236284,4.664822,4.101339,0,0,G8
11001,0.008751,1.343418,4.909639,4.212711,0,0,G8
11111,0.009334,1.504573,5.090964,5.258568,4.605475,0,G9
11111,0.007592,1.340814,4.029668,4.13579,4.052598,3.695958,G9
