@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,18-22'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,1,0,0,0,0,G1
0,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,1,0,0,0,0,G1
1101,0.016534,2.416847,0,0,0,G0
1101,1,0,0,0,0,G0
1101,0.011292,3.03,2.587216,0,0,G0
1101,0.010951,3.259898,2.818214,0,0,G0
1101,0.011335,3.669697,3.180849,0,0,G0
1101,0.011234,3.161629,2.710331,0,0,G0
1101,0.011063,3.16389,2.742073,0,0,G0
1101,0.011482,3.662693,3.202039,0,0,G0
1101,0.017025,2.818256,0,0,0,G0
1101,0.016541,2.418613,0,0,0,G0
1000,0,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,1,0,0,0,0,G2
1,1,0,0,0,0,G3
1,0,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,0,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
11000,0.00996,2.493204,0,0,0,G4
11000,0.009741,3.170856,0,0,0,G4
11000,1,0,0,0,0,G4
11000,1,0,0,0,0,G4
11000,0.01593,0.556692,0,0,0,G4
11000,0.026462,6.226292,1.330289,0,0,G4
11000,0.020799,3.985072,2.221399,0,0,G4
11000,0.010248,1.974227,0,0,0,G4
11000,0.010268,2.613186,0,0,0,G4
11000,0.010397,1.585306,0,0,0,G4
1100,1,0,0,0,0,G5
1100,0.020365,1.706897,0,0,0,G5
1100,0.020396,2.175918,0,0,0,G5
1100,0.020314,2.163668,0,0,0,G5
1100,0.019104,2.193389,0,0,0,G5
1100,1,0,0,0,0,G5
1100,0.019072,3.2916,0,0,0,G5
1100,1,0,0,0,0,G5
1100,0,0,0,0,0,G5
1100,1,0,0,0,0,G5
1110,0.014228,2.517935,2.306317,0,0,G6
1110,1,0,0,0,0,G6
1110,0.014499,2.490292,2.269758,0,0,G6
1110,0.014726,2.413261,2.189,0,0,G6
1110,0.015094,2.365904,2.140013,0,0,G6
1110,0.015183,2.750862,2.556167,0,0,G6
1110,0.015188,2.605932,2.410807,0,0,G6
1110,0.014549,2.709472,0,0,0,G6
1110,0.014668,2.753147,2.513848,0,0,G6
1110,0.01502,3.458158,3.232599,0,0,G6
10001,0.010028,2.585142,0,0,0,G7
10001,0.009677,3.898848,0,0,0,G7
10001,0.009634,3.925811,0,0,0,G7
10001,0.009664,3.379407,0,0,0,G7
10001,0.010198,4.741308,0,0,0,G7
10001,0.012656,4.877326,5.511092,0,0,G7
10001,0.009721,2.779773,0,0,0,G7
10001,0.012008,8.375031,0,0,0,G7
10001,0.009612,3.456703,0,0,0,G7
10001,0.010206,4.002843,0,0,0,G7
11001,0.009102,4.541636,3.928185,0,0,G8
11001,0.010508,5.742901,0,0,0,G8
