@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,4,5,18-22'

@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,-0.299509,0.890207,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,-0.364708,0.785661,0,0,0,0,G1
0,-0.485387,0.869856,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,-0.295764,0.93356,0,0,0,0,G1
1101,0.238329,1.058861,2.63192,2.416847,0,0,G0
1101,0.397396,0.832151,2.874119,0,0,0,G0
1101,0.493598,0.965314,2.783273,3.03,0,2.587216,G0
1101,0.355675,0.988549,3.05574,3.259898,0,2.818214,G0
1101,0.57835,0.895118,3.487468,3.669697,0,3.180849,G0
1101,0.724144,0.870628,2.98129,3.161629,0,2.710331,G0
1101,0.508686,0.998301,2.936894,3.16389,0,2.742073,G0
1101,0.530267,1.068097,3.430044,3.662693,0,3.202039,G0
1101,0.362851,1.121722,3.074636,2.818256,0,0,G0
1101,0.221858,1.068544,2.631731,2.418613,0,0,G0
1000,0,0,0,0,0,0,G2
1000,-0.10714,0.827349,0.854355,0,0,0,G2
1000,-0.176397,0.885353,0.93164,0,0,0,G2
1000,-0.180172,0.929243,0.895883,0,0,0,G2
1000,-0.163734,0.943691,1.561169,0,0,0,G2
1000,-0.147143,0.935648,1.806269,0,0,0,G2
1000,-0.138131,0.873468,1.290485,0,0,0,G2
1000,-0.20808,0.727005,1.071057,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,-0.358454,0.729622,0.478922,0,0,0,G2
1,0.541412,0.83058,0,0,0,3.137535,G3
1,0,0,0,0,0,0,G3
1,0.462858,0.841609,0,0,0,3.661253,G3
1,0.659998,0.728467,0,0,0,3.471903,G3
1,0,0,0,0,0,0,G3
1,0.476256,0.828946,0,0,0,3.61491,G3
1,0.392557,0.889354,0,0,0,3.042249,G3
1,0.390461,0.873453,0,0,0,3.268291,G3
1,0.306161,0.746036,0,0,0,2.449478,G3
1,0.465563,0.87375,0,0,0,3.606038,G3
11000,-0.308619,1.28561,2.493204,0,0,0,G4
11000,-0.193841,1.128605,3.170856,0,0,0,G4
11000,0.761958,-0.644317,0,0,0,0,G4
11000,-0.870415,0.246019,0,0,0,0,G4
11000,-0.442109,0.342575,0.556692,0,0,0,G4
11000,2.217399,3.957813,6.226292,0,0,0,G4
11000,0.025788,2.411074,3.985072,0,0,0,G4
11000,-0.216412,1.204008,1.974227,0,0,0,G4
11000,-0.337742,1.27062,2.613186,0,0,0,G4
11000,-0.201674,1.357879,1.585306,0,0,0,G4
1100,0.057267,0.972637,2.122289,0,0,0,G5
1100,0.064748,0.974128,1.586052,1.706897,0,0,G5
1100,-0.022499,0.867764,2.089303,2.175918,0,0,G5
1100,-0.009446,0.877682,2.076686,2.163668,0,0,G5
1100,0.006147,0.997972,2.077395,2.193389,0,0,G5
1100,0.019301,0.960213,2.069059,0,0,0,G5
1100,0.039962,1.034228,3.18826,3.2916,0,0,G5
1100,0.032045,0.996419,3.190281,0,0,0,G5
1100,0,0,0,0,0,0,G5
1100,0.08606,0.969423,2.101639,0,0,0,G5
1110,0.139896,0.993641,2.324026,2.517935,2.306317,0,G6
1110,0.216966,0.938215,3.054793,0,0,0,G6
1110,0.157546,0.926696,2.235231,2.490292,2.269758,0,G6
1110,0.14616,0.912681,2.162264,2.413261,2.189,0,G6
1110,0.141615,0.922221,2.120311,2.365904,2.140013,0,G6
1110,0.212588,1.078765,2.546532,2.750862,2.556167,0,G6
1110,0.417174,1.005026,2.380176,2.605932,2.410807,0,G6
1110,-0.166341,0.745789,2.747643,2.709472,0,0,G6
1110,-0.073798,1.073336,2.535672,2.753147,2.513848,0,G6
1110,0.082209,1.170329,3.225746,3.458158,3.232599,0,G6
10001,0.844688,0.81088,0,0,0,2.585142,G7
10001,0.811327,1.022262,0,0,0,3.898848,G7
10001,0.842655,1.057828,0,0,0,3.925811,G7
10001,1.014016,1.037736,0,0,0,3.379407,G7
10001,0.91576,1.124422,0,0,0,4.741308,G7
10001,0.86249,1.360674,0,0,0,4.877326,G7
10001,0.508107,0.776607,0,0,0,2.779773,G7
10001,0.839336,1.519801,0,0,0,8.375031,G7
10001,0.644728,0.944019,0,0,0,3.456703,G7
10001,0.29487,1.060393,0,0,0,4.002843,G7
11001,0.483445,1.367308,4.541636,0,0,3.928185,G8
11001,0.829864,1.373388,5.742901,0,0,0,G8
11001,0.567829,1.426975,4.830408,0,0,4.076703,G8
11001,0.761607,1.478418,6.109691,0,0,0,G8
11001,0.642846,1.471149,5.293864,0,0,4.627994,G8
11001,0.283297,1.272335,5.009287,0,0,0,G8
11001,0.607018,1.179867,4.37043,0,0,3.820997,G8
11001,0.633312,1.259652,5.031978,0,0,0,G8
11001,0.447865,1.236284,4.664822,0,0,4.101339,G8
11001,0.622475,1.343418,4.909639,0,0,4.212711,G8
11111,0.530258,1.504573,5.090964,5.258568,4.605475,0,G9
11111,0.579419,1.340814,4.029668,4.13579,4.052598,3.695958,G9
11111,0.695679,1.295621,3.54582,3.685647,3.625459,3.334631,G9
11111,0.791347,1.412484,4.680151,4.839375,4.706978,4.295236,G9
11111,-0.799085,0.600263,0,0,0,0,G9
11111,0.850534,1.42811,5.102254,5.15669,4.987046,4.58841,G9
11111,-0.788799,0.610598,0,0,0,0,G9
11111,0.653589,1.178239,3.961159,4.167908,4.034494,3.587493,G9
11111,0.904786,1.352818,4.483907,4.720399,4.584064,4.103108,G9
11111,0.522232,1.510261,5.240202,5.070769,4.699021,0,G9
0,-0.768864,0.635808,0,0,0,0,G1
0,-0.616738,0.778669,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,-0.553091,0.81432,0,0,0,0,G1
