@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,4,6,17-22'

@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,-0.299509,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,-0.364708,1,0,0,0,0,0,G1
0,-0.485387,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,-0.295764,1,0,0,0,0,0,G1
1101,0.238329,32.128532,0,2.63192,2.416847,0,0,G0
1101,0.397396,1,0,2.874119,0,0,0,G0
1101,0.493598,23.471453,0,2.783273,3.03,0,2.587216,G0
1101,0.355675,23.955109,0,3.05574,3.259898,0,2.818214,G0
1101,0.57835,23.617138,0,3.487468,3.669697,0,3.180849,G0
1101,0.724144,23.632465,0,2.98129,3.161629,0,2.710331,G0
1101,0.508686,23.944956,0,2.936894,3.16389,0,2.742073,G0
1101,0.530267,23.390223,0,3.430044,3.662693,0,3.202039,G0
1101,0.362851,31.454571,0,3.074636,2.818256,0,0,G0
1101,0.221858,31.916876,0,2.631731,2.418613,0,0,G0
1000,0,0,0,0,0,0,0,G2
1000,-0.10714,1,0,0.854355,0,0,0,G2
1000,-0.176397,1,0,0.93164,0,0,0,G2
1000,-0.180172,1,0,0.895883,0,0,0,G2
1000,-0.163734,1,0,1.561169,0,0,0,G2
1000,-0.147143,1,0,1.806269,0,0,0,G2
1000,-0.138131,1,0,1.290485,0,0,0,G2
1000,-0.20808,1,0,1.071057,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,-0.358454,1,0,0.478922,0,0,0,G2
1,0.541412,1,0,0,0,0,3.137535,G3
1,0,0,0,0,0,0,0,G3
1,0.462858,1,0,0,0,0,3.661253,G3
1,0.659998,1,0,0,0,0,3.471903,G3
1,0,0,0,0,0,0,0,G3
1,0.476256,1,0,0,0,0,3.61491,G3
1,0.392557,1,0,0,0,0,3.042249,G3
1,0.390461,1,0,0,0,0,3.268291,G3
1,0.306161,1,0,0,0,0,2.449478,G3
1,0.465563,1,0,0,0,0,3.606038,G3
11000,-0.308619,68.443039,1.955073,2.493204,0,0,0,G4
11000,-0.193841,73.717079,2.721886,3.170856,0,0,0,G4
11000,0.761958,1,1.400174,0,0,0,0,G4
11000,-0.870415,1,1.687941,0,0,0,0,G4
11000,-0.442109,36.890366,1.193801,0.556692,0,0,0,G4
11000,2.217399,99.374763,5.929871,6.226292,0,0,0,G4
11000,0.025788,54.74033,5.095947,3.985072,0,0,0,G4
11000,-0.216412,64.424599,2.639253,1.974227,0,0,0,G4
11000,-0.337742,69.695953,1.892025,2.613186,0,0,0,G4
11000,-0.201674,73.834328,1.015194,1.585306,0,0,0,G4
1100,0.057267,1,0,2.122289,0,0,0,G5
1100,0.064748,25.616379,0,1.586052,1.706897,0,0,G5
1100,-0.022499,25.629665,0,2.089303,2.175918,0,0,G5
1100,-0.009446,25.679893,0,2.076686,2.163668,0,0,G5
1100,0.006147,27.027773,0,2.077395,2.193389,0,0,G5
1100,0.019301,1,0,2.069059,0,0,0,G5
1100,0.039962,27.902817,0,3.18826,3.2916,0,0,G5
1100,0.032045,1,0,3.190281,0,0,0,G5
1100,0,0,0,0,0,0,0,G5
1100,0.08606,1,0,2.101639,0,0,0,G5
1110,0.139896,18.979395,0,2.324026,2.517935,2.306317,0,G6
1110,0.216966,1,0,3.054793,0,0,0,G6
1110,0.157546,18.622959,0,2.235231,2.490292,2.269758,0,G6
1110,0.14616,18.366129,0,2.162264,2.413261,2.189,0,G6
1110,0.141615,17.936562,0,2.120311,2.365904,2.140013,0,G6
1110,0.212588,17.76836,0,2.546532,2.750862,2.556167,0,G6
1110,0.417174,17.800419,0,2.380176,2.605932,2.410807,0,G6
1110,-0.166341,38.0121,0,2.747643,2.709472,0,0,G6
1110,-0.073798,18.599554,0,2.535672,2.753147,2.513848,0,G6
1110,0.082209,18.201717,0,3.225746,3.458158,3.232599,0,G6
10001,0.844688,69.908165,2.482913,0,0,0,2.585142,G7
10001,0.811327,77.238541,3.797475,0,0,0,3.898848,G7
10001,0.842655,79.161362,3.830956,0,0,0,3.925811,G7
10001,1.014016,83.083595,3.459963,0,0,0,3.379407,G7
10001,0.91576,78.348076,4.532323,0,0,0,4.741308,G7
10001,0.86249,44.688377,5.440592,0,0,0,4.877326,G7
10001,0.508107,78.815231,2.534494,0,0,0,2.779773,G7
10001,0.839336,75.410538,7.381264,0,0,0,8.375031,G7
10001,0.644728,79.038055,3.23059,0,0,0,3.456703,G7
10001,0.29487,70.284538,3.801165,0,0,0,4.002843,G7
11001,0.483445,31.84795,3.647359,4.541636,0,0,3.928185,G8
11001,0.829864,87.031273,5.400174,5.742901,0,0,0,G8
11001,0.567829,31.582924,3.655792,4.830408,0,0,4.076703,G8
11001,0.761607,88.510788,5.708855,6.109691,0,0,0,G8
11001,0.642846,34.360435,4.143015,5.293864,0,0,4.627994,G8
11001,0.283297,81.049911,4.522891,5.009287,0,0,0,G8
11001,0.607018,31.013523,3.672434,4.37043,0,0,3.820997,G8
11001,0.633312,71.723534,4.833115,5.031978,0,0,0,G8
11001,0.447865,32.058792,3.885646,4.664822,0,0,4.101339,G8
11001,0.622475,33.020748,3.950901,4.909639,0,0,4.212711,G8
11111,0.530258,16.910755,4.140366,5.090964,5.258568,4.605475,0,G9
11111,0.579419,13.740136,3.036631,4.029668,4.13579,4.052598,3.695958,G9
11111,0.695679,14.779031,2.651221,3.54582,3.685647,3.625459,3.334631,G9
11111,0.791347,11.713248,3.556464,4.680151,4.839375,4.706978,4.295236,G9
11111,-0.799085,1,1.899161,0,0,0,0,G9
11111,0.850534,11.588235,3.914217,5.102254,5.15669,4.987046,4.58841,G9
11111,-0.788799,1,2.414654,0,0,0,0,G9
11111,0.653589,11.072308,2.618071,3.961159,4.167908,4.034494,3.587493,G9
11111,0.904786,10.192496,3.132445,4.483907,4.720399,4.584064,4.103108,G9
11111,0.522232,16.426311,3.590008,5.240202,5.070769,4.699021,0,G9
0,-0.768864,1,0,0,0,0,0,G1
0,-0.616738,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,-0.553091,1,0,0,0,0,0,G1
0,-0.50255,1,0,0,0,0,0,G1
0,-0.617926,1,0,0,0,0,0,G1
0,-0.739105,1,0,0,0,0,0,G1
0,-0.698455,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1101,0.426401,19.429249,0,1.747296,1.937189,0,1.347058,G0
1101,0.588854,22.119347,0,1.956516,2.218632,0,1.700621,G0
1101,0.471281,22.894224,0,2.161407,2.43873,0,1.93843,G0
1101,0.58508,23.186516,0,2.057047,2.383836,0,1.730752,G0
1101,0.857719,19.955507,0,1.960845,2.540933,0,1.456636,G0
1101,0.270615,22.108004,0,1.945522,2.194056,0,1.710254,G0
1101,0.302741,22.267647,0,3.866393,3.99514,0,3.687164,G0
1101,0.347208,22.644402,0,3.266629,3.53889,0,3.087073,G0
1101,0.385278,21.962376,0,2.081799,2.343077,0,1.830847,G0
1101,0.543801,19.529358,0,1.955744,2.154966,0,1.429949,G0
1000,-0.215154,1,0,0.514539,0,0,0,G2
1000,0.795045,1,0,0.680598,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,-0.186899,1,0,0.651294,0,0,0,G2
1000,-0.122636,1,0,0.708041,0,0,0,G2
1000,0.024574,18.586517,0,1.044729,0,0,0,G2
1000,0.129716,18.952829,0,1.10383,0,0,0,G2
