@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,4,17-22'

@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,-0.299509,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,-0.364708,0,0,0,0,0,G1
0,-0.485387,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,-0.295764,0,0,0,0,0,G1
1101,0.238329,0,2.63192,2.416847,0,0,G0
1101,0.397396,0,2.874119,0,0,0,G0
1101,0.493598,0,2.783273,3.03,0,2.587216,G0
1101,0.355675,0,3.05574,3.259898,0,2.818214,G0
1101,0.57835,0,3.487468,3.669697,0,3.180849,G0
1101,0.724144,0,2.98129,3.161629,0,2.710331,G0
1101,0.508686,0,2.936894,3.16389,0,2.742073,G0
1101,0.530267,0,3.430044,3.662693,0,3.202039,G0
1101,0.362851,0,3.074636,2.818256,0,0,G0
1101,0.221858,0,2.631731,2.418613,0,0,G0
1000,0,0,0,0,0,0,G2
1000,-0.10714,0,0.854355,0,0,0,G2
1000,-0.176397,0,0.93164,0,0,0,G2
1000,-0.180172,0,0.895883,0,0,0,G2
1000,-0.163734,0,1.561169,0,0,0,G2
1000,-0.147143,0,1.806269,0,0,0,G2
1000,-0.138131,0,1.290485,0,0,0,G2
1000,-0.20808,0,1.071057,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,-0.358454,0,0.478922,0,0,0,G2
1,0.541412,0,0,0,0,3.137535,G3
1,0,0,0,0,0,0,G3
1,0.462858,0,0,0,0,3.661253,G3
1,0.659998,0,0,0,0,3.471903,G3
1,0,0,0,0,0,0,G3
1,0.476256,0,0,0,0,3.61491,G3
1,0.392557,0,0,0,0,3.042249,G3
1,0.390461,0,0,0,0,3.268291,G3
1,0.306161,0,0,0,0,2.449478,G3
1,0.465563,0,0,0,0,3.606038,G3
11000,-0.308619,1.955073,2.493204,0,0,0,G4
11000,-0.193841,2.721886,3.170856,0,0,0,G4
11000,0.761958,1.400174,0,0,0,0,G4
11000,-0.870415,1.687941,0,0,0,0,G4
11000,-0.442109,1.193801,0.556692,0,0,0,G4
11000,2.217399,5.929871,6.226292,0,0,0,G4
11000,0.025788,5.095947,3.985072,0,0,0,G4
11000,-0.216412,2.639253,1.974227,0,0,0,G4
11000,-0.337742,1.892025,2.613186,0,0,0,G4
11000,-0.201674,1.015194,1.585306,0,0,0,G4
1100,0.057267,0,2.122289,0,0,0,G5
1100,0.064748,0,1.586052,1.706897,0,0,G5
1100,-0.022499,0,2.089303,2.175918,0,0,G5
1100,-0.009446,0,2.076686,2.163668,0,0,G5
1100,0.006147,0,2.077395,2.193389,0,0,G5
1100,0.019301,0,2.069059,0,0,0,G5
1100,0.039962,0,3.18826,3.2916,0,0,G5
1100,0.032045,0,3.190281,0,0,0,G5
1100,0,0,0,0,0,0,G5
1100,0.08606,0,2.101639,0,0,0,G5
1110,0.139896,0,2.324026,2.517935,2.306317,0,G6
1110,0.216966,0,3.054793,0,0,0,G6
1110,0.157546,0,2.235231,2.490292,2.269758,0,G6
1110,0.14616,0,2.162264,2.413261,2.189,0,G6
1110,0.141615,0,2.120311,2.365904,2.140013,0,G6
1110,0.212588,0,2.546532,2.750862,2.556167,0,G6
1110,0.417174,0,2.380176,2.605932,2.410807,0,G6
1110,-0.166341,0,2.747643,2.709472,0,0,G6
