@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,4,22'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,1,-0.299509,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,1,-0.364708,G1
0,1,-0.485387,G1
0,0,0,G1
0,1,-0.295764,G1
1101,0.016534,0.238329,G0
1101,1,0.397396,G0
1101,0.011292,0.493598,G0
1101,0.010951,0.355675,G0
1101,0.011335,0.57835,G0
1101,0.011234,0.724144,G0
1101,0.011063,0.508686,G0
1101,0.011482,0.530267,G0
1101,0.017025,0.362851,G0
1101,0.016541,0.221858,G0
1000,0,0,G2
1000,1,-0.10714,G2
1000,1,-0.176397,G2
1000,1,-0.180172,G2
1000,1,-0.163734,G2
1000,1,-0.147143,G2
1000,1,-0.138131,G2
1000,1,-0.20808,G2
1000,0,0,G2
1000,1,-0.358454,G2
1,1,0.541412,G3
1,0,0,G3
1,1,0.462858,G3
1,1,0.659998,G3
1,0,0,G3
1,1,0.476256,G3
1,1,0.392557,G3
1,1,0.390461,G3
1,1,0.306161,G3
1,1,0.465563,G3
11000,0.00996,-0.308619,G4
11000,0.009741,-0.193841,G4
11000,1,0.761958,G4
11000,1,-0.870415,G4
11000,0.01593,-0.442109,G4
11000,0.026462,2.217399,G4
11000,0.020799,0.025788,G4
11000,0.010248,-0.216412,G4
11000,0.010268,-0.337742,G4
11000,0.010397,-0.201674,G4
1100,1,0.057267,G5
1100,0.020365,0.064748,G5
1100,0.020396,-0.022499,G5
1100,0.020314,-0.009446,G5
1100,0.019104,0.006147,G5
1100,1,0.019301,G5
1100,0.019072,0.039962,G5
1100,1,0.032045,G5
1100,0,0,G5
1100,1,0.08606,G5
1110,0.014228,0.139896,G6
1110,1,0.216966,G6
1110,0.014499,0.157546,G6
1110,0.014726,0.14616,G6
1110,0.015094,0.141615,G6
1110,0.015183,0.212588,G6
1110,0.015188,0.417174,G6
1110,0.014549,-0.166341,G6
1110,0.014668,-0.073798,G6
1110,0.01502,0.082209,G6
10001,0.010028,0.844688,G7
10001,0.009677,0.811327,G7
10001,0.009634,0.842655,G7
10001,0.009664,1.014016,G7
10001,0.010198,0.91576,G7
10001,0.012656,0.86249,G7
10001,0.009721,0.508107,G7
10001,0.012008,0.839336,G7
10001,0.009612,0.644728,G7
10001,0.010206,0.29487,G7
11001,0.009102,0.483445,G8
11001,0.010508,0.829864,G8
11001,0.009269,0.567829,G8
11001,0.010403,0.761607,G8
11001,0.008864,0.642846,G8
11001,0.010401,0.283297,G8
11001,0.009289,0.607018,G8
11001,0.010335,0.633312,G8
11001,0.008903,0.447865,G8
11001,0.008751,0.622475,G8
11111,0.009334,0.530258,G9
11111,0.007592,0.579419,G9
11111,0.007429,0.695679,G9
11111,0.008589,0.791347,G9
11111,1,-0.799085,G9
11111,0.008053,0.850534,G9
11111,1,-0.788799,G9
11111,0.008228,0.653589,G9
11111,0.008337,0.904786,G9
11111,0.008789,0.522232,G9
0,1,-0.768864,G1
0,1,-0.616738,G1
0,0,0,G1
0,1,-0.553091,G1
0,1,-0.50255,G1
0,1,-0.617926,G1
0,1,-0.739105,G1
0,1,-0.698455,G1
0,0,0,G1
0,0,0,G1
1101,0.01326,0.426401,G0
1101,0.012111,0.588854,G0
1101,0.011576,0.471281,G0
1101,0.011578,0.58508,G0
1101,0.013132,0.857719,G0
1101,0.01185,0.270615,G0
1101,0.011932,0.302741,G0
1101,0.011733,0.347208,G0
1101,0.012033,0.385278,G0
1101,0.013269,0.543801,G0
1000,1,-0.215154,G2
1000,1,0.795045,G2
1000,0,0,G2
1000,0,0,G2
1000,1,-0.186899,G2
1000,1,-0.122636,G2
1000,0.019961,0.024574,G2
1000,0.019659,0.129716,G2
1000,0.019598,0.138083,G2
1000,0.019374,0.035481,G2
1,1,-0.108901,G3
1,1,0.483535,G3
1,1,0.313593,G3
1,1,0.147303,G3
1,1,0.40733,G3
1,1,0.261888,G3
1,0.01554,0.72652,G3
1,1,0.20873,G3
1,1,0.04827,G3
1,1,0.102806,G3
11000,0.012328,-0.373879,G4
11000,0.011536,-0.434245,G4
11000,0.011128,-0.413022,G4
11000,0.016534,-0.037151,G4
11000,0.017193,-0.000103,G4
11000,0.015802,-0.060346,G4
11000,0.015629,-0.033475,G4
11000,0.015646,-0.013315,G4
11000,0.012082,-0.447857,G4
11000,0.01208,-0.45698,G4
1100,0.0152,0.264451,G5
1100,0.015219,0.30508,G5
1100,0.014849,0.161662,G5
1100,0.011702,1.997881,G5
1100,0.015345,0.207566,G5
1100,0.015076,0.263061,G5
1100,0.015137,0.295778,G5
1100,0.015417,0.302774,G5
1100,0.015915,0.291047,G5
1100,0.01531,0.345031,G5
1110,0.016703,0.054545,G6
1110,0.018297,0.341613,G6
1110,0.014526,0.183539,G6
1110,0.015055,0.132188,G6
1110,0.01664,0.299692,G6
1110,0.016096,0.177524,G6
1110,0.016718,0.124065,G6
1110,0.016642,0.15952,G6
1110,0.016364,0.093541,G6
1110,0.016364,0.025135,G6
10001,0.009295,1.095423,G7
10001,0.010929,1.109315,G7
10001,0.010705,0.911542,G7
10001,0.010597,0.83926,G7
10001,0.010411,1.004514,G7
10001,0.010765,0.944776,G7
10001,0.01063,1.053624,G7
10001,0.012277,1.353392,G7
10001,0.012637,1.458554,G7
10001,0.012722,1.367796,G7
11001,0.014992,1.775124,G8
11001,0.014084,0.288527,G8
11001,0.010925,0.32148,G8
11001,0.011431,0.155239,G8
11001,0.011112,0.274512,G8
11001,0.011275,0.31914,G8
11001,0.011513,0.479261,G8
11001,0.01142,0.500359,G8
11001,0.012065,0.446692,G8
11001,0.016023,2.231167,G8
11111,0.009365,0.912641,G9
11111,0.009064,0.795213,G9
11111,0.00898,0.66777,G9
11111,0.009104,0.777736,G9
11111,0.0092,0.782084,G9
11111,0.0099,0.792103,G9
11111,0.009947,0.642047,G9
11111,0.010154,-0.196212,G9
11111,0.010568,0.671083,G9
11111,0.009201,0.730756,G9
0,0,0,G1
0,1,0.734957,G1
0,0.084103,0.581342,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,1,-0.667931,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1101,0.012041,0.861251,G0
1101,0.013015,0.461436,G0
1101,0.013016,0.41388,G0
1101,0.02434,1.781367,G0
1101,0.012943,0.36219,G0
1101,0.01283,0.457707,G0
1101,0.013519,0.568438,G0
1101,0.023369,-0.014742,G0
1101,0.012594,0.961435,G0
1101,0.012185,0.910031,G0
1000,1,-0.303567,G2
1000,0,0,G2
1000,0,0,G2
1000,0,0,G2
1000,1,-0.315823,G2
1000,1,-0.111525,G2
1000,1,-0.210051,G2
1000,0,0,G2
1000,1,-0.267906,G2
1000,1,-0.291259,G2
1,0.021951,0.488662,G3
1,0,0,G3
1,0.016166,0.822483,G3
1,1,0.211315,G3
1,1,0.257286,G3
1,1,0.294008,G3
1,1,0.213918,G3
1,1,0.220521,G3
1,1,0.164169,G3
