@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,4,5,7-11,17-21,22'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,1,-0.299509,0.890207,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,1,-0.364708,0.785661,0,0,0,0,0,0,0,0,0,0,G1
0,1,-0.485387,0.869856,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,1,-0.295764,0.93356,0,0,0,0,0,0,0,0,0,0,G1
1101,0.016534,0.238329,1.058861,0,1.160427,0.920108,0,0,0,2.63192,2.416847,0,0,G0
1101,1,0.397396,0.832151,0,0.999997,0,0,0,0,2.874119,0,0,0,G0
1101,0.011292,0.493598,0.965314,0,1.173661,1.234522,0,0.942133,0,2.783273,3.03,0,2.587216,G0
1101,0.010951,0.355675,0.988549,0,1.196519,1.217923,0,0.939192,0,3.05574,3.259898,0,2.818214,G0
1101,0.011335,0.57835,0.895118,0,1.18299,1.232636,0,0.988413,0,3.487468,3.669697,0,3.180849,G0
