@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,12-16,22'

@attribute fingersExtended numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0,165.94075,170.04158,0,123.725075,G0
1101,0,172.187881,128.42746,0,128.42746,G0
1101,0,160.248077,175.221802,0,163.788162,G0
1101,0,162.538147,176.810699,0,165.316177,G0
1101,0,166.265427,173.450211,0,164.459503,G0
1101,0,162.707352,174.88089,0,162.41626,G0
1101,0,161.301956,176.001328,0,164.326782,G0
1101,0,166.359055,177.620682,0,165.832794,G0
1101,0,168.408493,172.227234,0,129.517105,G0
1101,0,165.927948,170.322205,0,123.692383,G0
1000,0,120.927055,0,0,0,G2
1000,0,91.379471,0,0,0,G2
1000,0,98.929314,0,0,0,G2
1000,0,95.270508,0,0,0,G2
1000,0,150.041885,0,0,0,G2
1000,0,161.043701,0,0,0,G2
1000,0,130.347443,0,0,0,G2
1000,0,112.966377,0,0,0,G2
1000,0,107.709633,0,0,0,G2
1000,0,47.264568,0,0,0,G2
1,0,0,0,0,171.153748,G3
1,0,0,0,0,144.837021,G3
1,0,0,0,0,172.400543,G3
1,0,0,0,0,171.456879,G3
1,0,0,0,0,139.062225,G3
1,0,0,0,0,172.304108,G3
1,0,0,0,0,172.732635,G3
1,0,0,0,0,171.895767,G3
1,0,0,0,0,170.648392,G3
1,0,0,0,0,171.617432,G3
11000,144.155319,153.658112,0,0,0,G4
11000,150.701721,158.119293,0,0,0,G4
