@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,7-11,18-22'

@attribute ratio numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0.890207,1,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0.785661,1,0,0,0,0,0,0,0,0,0,G1
1,0.869856,1,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0.93356,1,0,0,0,0,0,0,0,0,0,G1
0.016534,1.058861,32.128532,0,1.160427,0.920108,0,0,2.63192,2.416847,0,0,G0
1,0.832151,1,0,0.999997,0,0,0,2.874119,0,0,0,G0
0.011292,0.965314,23.471453,0,1.173661,1.234522,0,0.942133,2.783273,3.03,0,2.587216,G0
0.010951,0.988549,23.955109,0,1.196519,1.217923,0,0.939192,3.05574,3.259898,0,2.818214,G0
0.011335,0.895118,23.617138,0,1.18299,1.232636,0,0.988413,3.487468,3.669697,0,3.180849,G0
0.011234,0.870628,23.632465,0,1.191666,1.217141,0,0.975672,2.98129,3.161629,0,2.710331,G0
0.011063,0.998301,23.944956,0,1.186488,1.220379,0,0.961907,2.936894,3.16389,0,2.742073,G0
0.011482,1.068097,23.390223,0,1.158527,1.233534,0,0.983986,3.430044,3.662693,0,3.202039,G0
0.017025,1.121722,31.454571,0,1.190305,0.904634,0,0,3.074636,2.818256,0,0,G0
0.016541,1.068544,31.916876,0,1.158608,0.917696,0,0,2.631731,2.418613,0,0,G0
0,0,0,0,0,0,0,0,0,0,0,0,G2
1,0.827349,1,0,0.999999,0,0,0,0.854355,0,0,0,G2
1,0.885353,1,0,0.999996,0,0,0,0.93164,0,0,0,G2
1,0.929243,1,0,1.000003,0,0,0,0.895883,0,0,0,G2
1,0.943691,1,0,1.000005,0,0,0,1.561169,0,0,0,G2
1,0.935648,1,0,1.000003,0,0,0,1.806269,0,0,0,G2
1,0.873468,1,0,1.000003,0,0,0,1.290485,0,0,0,G2
1,0.727005,1,0,1.000001,0,0,0,1.071057,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,0,G2
1,0.729622,1,0,1,0,0,0,0.478922,0,0,0,G2
1,0.83058,1,0,0,0,0,1.000003,0,0,0,3.137535,G3
0,0,0,0,0,0,0,0,0,0,0,0,G3
1,0.841609,1,0,0,0,0,0.999997,0,0,0,3.661253,G3
1,0.728467,1,0,0,0,0,1.000007,0,0,0,3.471903,G3
0,0,0,0,0,0,0,0,0,0,0,0,G3
1,0.828946,1,0,0,0,0,1.000001,0,0,0,3.61491,G3
1,0.889354,1,0,0,0,0,0.999997,0,0,0,3.042249,G3
1,0.873453,1,0,0,0,0,1.000003,0,0,0,3.268291,G3
1,0.746036,1,0,0,0,0,1.000001,0,0,0,2.449478,G3
1,0.87375,1,0,0,0,0,1.000002,0,0,0,3.606038,G3
0.00996,1.28561,68.443039,1.145792,1.390461,0,0,0,2.493204,0,0,0,G4
0.009741,1.128605,73.717079,1.337237,1.440097,0,0,0,3.170856,0,0,0,G4
1,-0.644317,1,1.000008,0,0,0,0,0,0,0,0,G4
1,0.246019,1,0.999998,0,0,0,0,0,0,0,0,G4
0.01593,0.342575,36.890366,1.323784,0.890024,0,0,0,0.556692,0,0,0,G4
0.026462,3.957813,99.374763,4.375272,4.654198,0,0,0,6.226292,0,0,0,G4
0.020799,2.411074,54.74033,2.582871,2.650864,0,0,0,3.985072,0,0,0,G4
0.010248,1.204008,64.424599,1.264772,1.321828,0,0,0,1.974227,0,0,0,G4
0.010268,1.27062,69.695953,1.268483,1.443238,0,0,0,2.613186,0,0,0,G4
0.010397,1.357879,73.834328,1.361627,1.547966,0,0,0,1.585306,0,0,0,G4
1,0.972637,1,0,1.000006,0,0,0,2.122289,0,0,0,G5
0.020365,0.974128,25.616379,0,0.996102,1.052119,0,0,1.586052,1.706897,0,0,G5
0.020396,0.867764,25.629665,0,1.002487,1.05151,0,0,2.089303,2.175918,0,0,G5
0.020314,0.877682,25.679893,0,1.006217,1.047653,0,0,2.076686,2.163668,0,0,G5
0.019104,0.997972,27.027773,0,1.015902,1.033491,0,0,2.077395,2.193389,0,0,G5
1,0.960213,1,0,1.000003,0,0,0,2.069059,0,0,0,G5
0.019072,1.034228,27.902817,0,0.991394,1.079594,0,0,3.18826,3.2916,0,0,G5
1,0.996419,1,0,1.000001,0,0,0,3.190281,0,0,0,G5
0,0,0,0,0,0,0,0,0,0,0,0,G5
