@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R3,12-17,22'

@attribute ratio numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
0.016534,0,165.94075,170.04158,0,123.725075,0,G0
1,0,172.187881,128.42746,0,128.42746,0,G0
0.011292,0,160.248077,175.221802,0,163.788162,0,G0
0.010951,0,162.538147,176.810699,0,165.316177,0,G0
0.011335,0,166.265427,173.450211,0,164.459503,0,G0
0.011234,0,162.707352,174.88089,0,162.41626,0,G0
0.011063,0,161.301956,176.001328,0,164.326782,0,G0
0.011482,0,166.359055,177.620682,0,165.832794,0,G0
0.017025,0,168.408493,172.227234,0,129.517105,0,G0
0.016541,0,165.927948,170.322205,0,123.692383,0,G0
0,0,120.927055,0,0,0,0,G2
1,0,91.379471,0,0,0,0,G2
1,0,98.929314,0,0,0,0,G2
1,0,95.270508,0,0,0,0,G2
1,0,150.041885,0,0,0,0,G2
1,0,161.043701,0,0,0,0,G2
1,0,130.347443,0,0,0,0,G2
1,0,112.966377,0,0,0,0,G2
0,0,107.709633,0,0,0,0,G2
1,0,47.264568,0,0,0,0,G2
1,0,0,0,0,171.153748,0,G3
0,0,0,0,0,144.837021,0,G3
1,0,0,0,0,172.400543,0,G3
1,0,0,0,0,171.456879,0,G3
0,0,0,0,0,139.062225,0,G3
1,0,0,0,0,172.304108,0,G3
1,0,0,0,0,172.732635,0,G3
1,0,0,0,0,171.895767,0,G3
1,0,0,0,0,170.648392,0,G3
1,0,0,0,0,171.617432,0,G3
0.00996,144.155319,153.658112,0,0,0,1.955073,G4
0.009741,150.701721,158.119293,0,0,0,2.721886,G4
1,137.432404,103.332138,0,0,0,1.400174,G4
1,144.07576,119.915398,0,0,0,1.687941,G4
0.01593,90.996857,90.841606,0,0,0,1.193801,G4
0.026462,132.467941,131.626663,0,0,0,5.929871,G4
0.020799,155.962585,139.936996,0,0,0,5.095947,G4
0.010248,162.99614,140.126602,0,0,0,2.639253,G4
0.010268,139.200562,155.319244,0,0,0,1.892025,G4
0.010397,106.547577,110.663086,0,0,0,1.015194,G4
1,0,164.074326,121.83271,0,0,0,G5
0.020365,0,145.479355,152.739304,0,0,0,G5
0.020396,0,163.900574,170.32338,0,0,0,G5
0.020314,0,162.605179,169.970291,0,0,0,G5
0.019104,0,155.845551,163.895401,0,0,0,G5
1,0,165.836548,117.268494,0,0,0,G5
0.019072,0,172.524399,173.620392,0,0,0,G5
1,0,176.36644,132.990967,0,0,0,G5
0,0,125.737183,125.737183,0,0,0,G5
1,0,163.471024,121.620369,0,0,0,G5
0.014228,0,162.548111,171.519302,164.818192,0,0,G6
1,0,176.308212,138.512131,138.512131,0,0,G6
0.014499,0,159.927841,176.875122,164.071777,0,0,G6
0.014726,0,159.776962,175.001617,162.559204,0,0,G6
0.015094,0,159.760223,173.856689,162.611252,0,0,G6
0.015183,0,165.313492,172.76358,168.305649,0,0,G6
0.015188,0,163.474945,173.360367,165.86879,0,0,G6
0.014549,0,165.097717,166.641983,127.405434,0,0,G6
0.014668,0,164.282593,172.933884,166.22258,0,0,G6
0.01502,0,169.11496,173.774216,171.354416,0,0,G6
0.010028,147.085251,0,0,0,148.129181,2.482913,G7
0.009677,157.913773,0,0,0,159.994034,3.797475,G7
0.009634,157.507599,0,0,0,159.018936,3.830956,G7
0.009664,153.025574,0,0,0,153.746048,3.459963,G7
0.010198,161.066452,0,0,0,162.288223,4.532323,G7
0.012656,163.005173,0,0,0,173.747086,5.440592,G7
0.009721,142.965393,0,0,0,147.75795,2.534494,G7
0.012008,167.050568,0,0,0,170.811218,7.381264,G7
0.009612,152.067429,0,0,0,156.85112,3.23059,G7
0.010206,160.481659,0,0,0,162.284927,3.801165,G7
0.009102,158.821487,176.447128,0,0,163.072083,3.647359,G8
0.010508,161.688507,162.615356,0,0,139.254593,5.400174,G8
0.009269,158.159668,177.020065,0,0,161.198853,3.655792,G8
0.010403,161.941376,163.952332,0,0,140.021179,5.708855,G8
0.008864,159.03038,177.220047,0,0,162.234543,4.143015,G8
0.010401,159.653076,162.882004,0,0,140.35405,4.522891,G8
0.009289,160.37233,178.498825,0,0,161.39592,3.672434,G8
0.010335,164.474838,165.52327,0,0,141.323166,4.833115,G8
0.008903,160.407837,175.823914,0,0,161.995728,3.885646,G8
0.008751,158.70433,176.894485,0,0,161.318726,3.950901,G8
0.009334,162.803726,176.261475,172.393829,166.18251,148.512497,4.140366,G9
0.007592,159.451492,174.992706,175.693207,170.935547,165.446472,3.036631,G9
0.007429,156.939423,173.548355,173.992798,168.818237,164.833115,2.651221,G9
0.008589,160.515213,174.034134,176.175858,171.212189,166.561081,3.556464,G9
1,157.939636,116.752312,116.752312,116.752312,116.752312,1.899161,G9
