@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R4,5,6,7-11,12-17,18-22'

@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

-0.299509,0.890207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.364708,0.785661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.485387,0.869856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.295764,0.93356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0.238329,1.058861,32.128532,0,1.160427,0.920108,0,0,0,165.94075,170.04158,0,123.725075,0,2.63192,2.416847,0,0,G0
0.397396,0.832151,1,0,0.999997,0,0,0,0,172.187881,128.42746,0,128.42746,0,2.874119,0,0,0,G0
0.493598,0.965314,23.471453,0,1.173661,1.234522,0,0.942133,0,160.248077,175.221802,0,163.788162,0,2.783273,3.03,0,2.587216,G0
0.355675,0.988549,23.955109,0,1.196519,1.217923,0,0.939192,0,162.538147,176.810699,0,165.316177,0,3.05574,3.259898,0,2.818214,G0
0.57835,0.895118,23.617138,0,1.18299,1.232636,0,0.988413,0,166.265427,173.450211,0,164.459503,0,3.487468,3.669697,0,3.180849,G0
