@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R4,5,12-16,17-22'

@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

-0.299509,0.890207,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.364708,0.785661,0,0,0,0,0,0,0,0,0,0,G1
-0.485387,0.869856,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.295764,0.93356,0,0,0,0,0,0,0,0,0,0,G1
0.238329,1.058861,0,165.94075,170.04158,0,123.725075,0,2.63192,2.416847,0,0,G0
0.397396,0.832151,0,172.187881,128.42746,0,128.42746,0,2.874119,0,0,0,G0
0.493598,0.965314,0,160.248077,175.221802,0,163.788162,0,2.783273,3.03,0,2.587216,G0
0.355675,0.988549,0,162.538147,176.810699,0,165.316177,0,3.05574,3.259898,0,2.818214,G0
0.57835,0.895118,0,166.265427,173.450211,0,164.459503,0,3.487468,3.669697,0,3.180849,G0
0.724144,0.870628,0,162.707352,174.88089,0,162.41626,0,2.98129,3.161629,0,2.710331,G0
0.508686,0.998301,0,161.301956,176.001328,0,164.326782,0,2.936894,3.16389,0,2.742073,G0
0.530267,1.068097,0,166.359055,177.620682,0,165.832794,0,3.430044,3.662693,0,3.202039,G0
0.362851,1.121722,0,168.408493,172.227234,0,129.517105,0,3.074636,2.818256,0,0,G0
0.221858,1.068544,0,165.927948,170.322205,0,123.692383,0,2.631731,2.418613,0,0,G0
0,0,0,120.927055,0,0,0,0,0,0,0,0,G2
-0.10714,0.827349,0,91.379471,0,0,0,0,0.854355,0,0,0,G2
-0.176397,0.885353,0,98.929314,0,0,0,0,0.93164,0,0,0,G2
-0.180172,0.929243,0,95.270508,0,0,0,0,0.895883,0,0,0,G2
-0.163734,0.943691,0,150.041885,0,0,0,0,1.561169,0,0,0,G2
-0.147143,0.935648,0,161.043701,0,0,0,0,1.806269,0,0,0,G2
-0.138131,0.873468,0,130.347443,0,0,0,0,1.290485,0,0,0,G2
-0.20808,0.727005,0,112.966377,0,0,0,0,1.071057,0,0,0,G2
0,0,0,107.709633,0,0,0,0,0,0,0,0,G2
-0.358454,0.729622,0,47.264568,0,0,0,0,0.478922,0,0,0,G2
0.541412,0.83058,0,0,0,0,171.153748,0,0,0,0,3.137535,G3
0,0,0,0,0,0,144.837021,0,0,0,0,0,G3
0.462858,0.841609,0,0,0,0,172.400543,0,0,0,0,3.661253,G3
0.659998,0.728467,0,0,0,0,171.456879,0,0,0,0,3.471903,G3
0,0,0,0,0,0,139.062225,0,0,0,0,0,G3
0.476256,0.828946,0,0,0,0,172.304108,0,0,0,0,3.61491,G3
0.392557,0.889354,0,0,0,0,172.732635,0,0,0,0,3.042249,G3
0.390461,0.873453,0,0,0,0,171.895767,0,0,0,0,3.268291,G3
0.306161,0.746036,0,0,0,0,170.648392,0,0,0,0,2.449478,G3
0.465563,0.87375,0,0,0,0,171.617432,0,0,0,0,3.606038,G3
-0.308619,1.28561,144.155319,153.658112,0,0,0,1.955073,2.493204,0,0,0,G4
-0.193841,1.128605,150.701721,158.119293,0,0,0,2.721886,3.170856,0,0,0,G4
0.761958,-0.644317,137.432404,103.332138,0,0,0,1.400174,0,0,0,0,G4
-0.870415,0.246019,144.07576,119.915398,0,0,0,1.687941,0,0,0,0,G4
-0.442109,0.342575,90.996857,90.841606,0,0,0,1.193801,0.556692,0,0,0,G4
2.217399,3.957813,132.467941,131.626663,0,0,0,5.929871,6.226292,0,0,0,G4
0.025788,2.411074,155.962585,139.936996,0,0,0,5.095947,3.985072,0,0,0,G4
-0.216412,1.204008,162.99614,140.126602,0,0,0,2.639253,1.974227,0,0,0,G4
-0.337742,1.27062,139.200562,155.319244,0,0,0,1.892025,2.613186,0,0,0,G4
-0.201674,1.357879,106.547577,110.663086,0,0,0,1.015194,1.585306,0,0,0,G4
0.057267,0.972637,0,164.074326,121.83271,0,0,0,2.122289,0,0,0,G5
0.064748,0.974128,0,145.479355,152.739304,0,0,0,1.586052,1.706897,0,0,G5
-0.022499,0.867764,0,163.900574,170.32338,0,0,0,2.089303,2.175918,0,0,G5
-0.009446,0.877682,0,162.605179,169.970291,0,0,0,2.076686,2.163668,0,0,G5
0.006147,0.997972,0,155.845551,163.895401,0,0,0,2.077395,2.193389,0,0,G5
0.019301,0.960213,0,165.836548,117.268494,0,0,0,2.069059,0,0,0,G5
0.039962,1.034228,0,172.524399,173.620392,0,0,0,3.18826,3.2916,0,0,G5
