@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R4,7-11,12-16,22'

@attribute Max_X numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

-0.299509,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
-0.364708,0,0,0,0,0,0,0,0,0,0,G1
-0.485387,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
-0.295764,0,0,0,0,0,0,0,0,0,0,G1
0.238329,0,1.160427,0.920108,0,0,0,165.94075,170.04158,0,123.725075,G0
0.397396,0,0.999997,0,0,0,0,172.187881,128.42746,0,128.42746,G0
0.493598,0,1.173661,1.234522,0,0.942133,0,160.248077,175.221802,0,163.788162,G0
0.355675,0,1.196519,1.217923,0,0.939192,0,162.538147,176.810699,0,165.316177,G0
0.57835,0,1.18299,1.232636,0,0.988413,0,166.265427,173.450211,0,164.459503,G0
0.724144,0,1.191666,1.217141,0,0.975672,0,162.707352,174.88089,0,162.41626,G0
0.508686,0,1.186488,1.220379,0,0.961907,0,161.301956,176.001328,0,164.326782,G0
0.530267,0,1.158527,1.233534,0,0.983986,0,166.359055,177.620682,0,165.832794,G0
0.362851,0,1.190305,0.904634,0,0,0,168.408493,172.227234,0,129.517105,G0
0.221858,0,1.158608,0.917696,0,0,0,165.927948,170.322205,0,123.692383,G0
0,0,0,0,0,0,0,120.927055,0,0,0,G2
-0.10714,0,0.999999,0,0,0,0,91.379471,0,0,0,G2
-0.176397,0,0.999996,0,0,0,0,98.929314,0,0,0,G2
-0.180172,0,1.000003,0,0,0,0,95.270508,0,0,0,G2
-0.163734,0,1.000005,0,0,0,0,150.041885,0,0,0,G2
-0.147143,0,1.000003,0,0,0,0,161.043701,0,0,0,G2
-0.138131,0,1.000003,0,0,0,0,130.347443,0,0,0,G2
-0.20808,0,1.000001,0,0,0,0,112.966377,0,0,0,G2
0,0,0,0,0,0,0,107.709633,0,0,0,G2
-0.358454,0,1,0,0,0,0,47.264568,0,0,0,G2
0.541412,0,0,0,0,1.000003,0,0,0,0,171.153748,G3
0,0,0,0,0,0,0,0,0,0,144.837021,G3
0.462858,0,0,0,0,0.999997,0,0,0,0,172.400543,G3
0.659998,0,0,0,0,1.000007,0,0,0,0,171.456879,G3
0,0,0,0,0,0,0,0,0,0,139.062225,G3
0.476256,0,0,0,0,1.000001,0,0,0,0,172.304108,G3
0.392557,0,0,0,0,0.999997,0,0,0,0,172.732635,G3
0.390461,0,0,0,0,1.000003,0,0,0,0,171.895767,G3
0.306161,0,0,0,0,1.000001,0,0,0,0,170.648392,G3
0.465563,0,0,0,0,1.000002,0,0,0,0,171.617432,G3
-0.308619,1.145792,1.390461,0,0,0,144.155319,153.658112,0,0,0,G4
-0.193841,1.337237,1.440097,0,0,0,150.701721,158.119293,0,0,0,G4
0.761958,1.000008,0,0,0,0,137.432404,103.332138,0,0,0,G4
-0.870415,0.999998,0,0,0,0,144.07576,119.915398,0,0,0,G4
-0.442109,1.323784,0.890024,0,0,0,90.996857,90.841606,0,0,0,G4
2.217399,4.375272,4.654198,0,0,0,132.467941,131.626663,0,0,0,G4
0.025788,2.582871,2.650864,0,0,0,155.962585,139.936996,0,0,0,G4
-0.216412,1.264772,1.321828,0,0,0,162.99614,140.126602,0,0,0,G4
-0.337742,1.268483,1.443238,0,0,0,139.200562,155.319244,0,0,0,G4
-0.201674,1.361627,1.547966,0,0,0,106.547577,110.663086,0,0,0,G4
0.057267,0,1.000006,0,0,0,0,164.074326,121.83271,0,0,G5
0.064748,0,0.996102,1.052119,0,0,0,145.479355,152.739304,0,0,G5
-0.022499,0,1.002487,1.05151,0,0,0,163.900574,170.32338,0,0,G5
-0.009446,0,1.006217,1.047653,0,0,0,162.605179,169.970291,0,0,G5
0.006147,0,1.015902,1.033491,0,0,0,155.845551,163.895401,0,0,G5
0.019301,0,1.000003,0,0,0,0,165.836548,117.268494,0,0,G5
0.039962,0,0.991394,1.079594,0,0,0,172.524399,173.620392,0,0,G5
0.032045,0,1.000001,0,0,0,0,176.36644,132.990967,0,0,G5
0,0,0,0,0,0,0,125.737183,125.737183,0,0,G5
0.08606,0,0.999999,0,0,0,0,163.471024,121.620369,0,0,G5
0.139896,0,1.03676,1.153706,0.996826,0,0,162.548111,171.519302,164.818192,0,G6
0.216966,0,0.999998,0,0,0,0,176.308212,138.512131,138.512131,0,G6
0.157546,0,1.022139,1.155098,1.007376,0,0,159.927841,176.875122,164.071777,0,G6
0.14616,0,1.016173,1.160586,1.011489,0,0,159.776962,175.001617,162.559204,0,G6
0.141615,0,1.013224,1.162504,1.003669,0,0,159.760223,173.856689,162.611252,0,G6
0.212588,0,1.020718,1.151267,0.996078,0,0,165.313492,172.76358,168.305649,0,G6
0.417174,0,1.012118,1.152329,1.014069,0,0,163.474945,173.360367,165.86879,0,G6
-0.166341,0,1.108947,1.053854,0,0,0,165.097717,166.641983,127.405434,0,G6
-0.073798,0,1.037226,1.168654,0.993281,0,0,164.282593,172.933884,166.22258,0,G6
0.082209,0,1.02111,1.179349,0.990766,0,0,169.11496,173.774216,171.354416,0,G6
0.844688,1.362557,0,0,0,1.402702,147.085251,0,0,0,148.129181,G7
0.811327,1.49503,0,0,0,1.475383,157.913773,0,0,0,159.994034,G7
0.842655,1.525303,0,0,0,1.521094,157.507599,0,0,0,159.018936,G7
1.014016,1.608012,0,0,0,1.527633,153.025574,0,0,0,153.746048,G7
0.91576,1.533408,0,0,0,1.59939,161.066452,0,0,0,162.288223,G7
0.86249,1.742836,0,0,0,0.749623,163.005173,0,0,0,173.747086,G7
0.508107,1.527678,0,0,0,1.532306,142.965393,0,0,0,147.75795,G7
0.839336,1.655546,0,0,0,1.82029,167.050568,0,0,0,170.811218,G7
0.644728,1.520151,0,0,0,1.475261,152.067429,0,0,0,156.85112,G7
0.29487,1.364512,0,0,0,1.436626,160.481659,0,0,0,162.284927,G7
0.483445,1.323037,1.493186,0,0,1.272959,158.821487,176.447128,0,0,163.072083,G8
0.829864,1.71756,1.833586,0,0,0,161.688507,162.615356,0,0,139.254593,G8
0.567829,1.361092,1.63912,0,0,1.398472,158.159668,177.020065,0,0,161.198853,G8
0.761607,1.785503,1.842664,0,0,0,161.941376,163.952332,0,0,140.021179,G8
0.642846,1.48761,1.578832,0,0,1.496457,159.03038,177.220047,0,0,162.234543,G8
