@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R5,18-22'

@attribute Max_Y numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0.890207,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0.785661,0,0,0,0,G1
0.869856,0,0,0,0,G1
0,0,0,0,0,G1
0.93356,0,0,0,0,G1
1.058861,2.416847,0,0,0,G0
0.832151,0,0,0,0,G0
0.965314,3.03,2.587216,0,0,G0
0.988549,3.259898,2.818214,0,0,G0
0.895118,3.669697,3.180849,0,0,G0
0.870628,3.161629,2.710331,0,0,G0
0.998301,3.16389,2.742073,0,0,G0
1.068097,3.662693,3.202039,0,0,G0
1.121722,2.818256,0,0,0,G0
1.068544,2.418613,0,0,0,G0
0,0,0,0,0,G2
0.827349,0,0,0,0,G2
0.885353,0,0,0,0,G2
0.929243,0,0,0,0,G2
0.943691,0,0,0,0,G2
0.935648,0,0,0,0,G2
0.873468,0,0,0,0,G2
0.727005,0,0,0,0,G2
0,0,0,0,0,G2
0.729622,0,0,0,0,G2
0.83058,0,0,0,0,G3
0,0,0,0,0,G3
0.841609,0,0,0,0,G3
0.728467,0,0,0,0,G3
0,0,0,0,0,G3
0.828946,0,0,0,0,G3
0.889354,0,0,0,0,G3
0.873453,0,0,0,0,G3
0.746036,0,0,0,0,G3
0.87375,0,0,0,0,G3
1.28561,2.493204,0,0,0,G4
1.128605,3.170856,0,0,0,G4
-0.644317,0,0,0,0,G4
0.246019,0,0,0,0,G4
0.342575,0.556692,0,0,0,G4
3.957813,6.226292,1.330289,0,0,G4
2.411074,3.985072,2.221399,0,0,G4
1.204008,1.974227,0,0,0,G4
1.27062,2.613186,0,0,0,G4
1.357879,1.585306,0,0,0,G4
0.972637,0,0,0,0,G5
0.974128,1.706897,0,0,0,G5
0.867764,2.175918,0,0,0,G5
0.877682,2.163668,0,0,0,G5
0.997972,2.193389,0,0,0,G5
0.960213,0,0,0,0,G5
1.034228,3.2916,0,0,0,G5
0.996419,0,0,0,0,G5
0,0,0,0,0,G5
0.969423,0,0,0,0,G5
0.993641,2.517935,2.306317,0,0,G6
0.938215,0,0,0,0,G6
0.926696,2.490292,2.269758,0,0,G6
0.912681,2.413261,2.189,0,0,G6
0.922221,2.365904,2.140013,0,0,G6
1.078765,2.750862,2.556167,0,0,G6
1.005026,2.605932,2.410807,0,0,G6
0.745789,2.709472,0,0,0,G6
1.073336,2.753147,2.513848,0,0,G6
1.170329,3.458158,3.232599,0,0,G6
0.81088,2.585142,0,0,0,G7
1.022262,3.898848,0,0,0,G7
1.057828,3.925811,0,0,0,G7
1.037736,3.379407,0,0,0,G7
1.124422,4.741308,0,0,0,G7
1.360674,4.877326,5.511092,0,0,G7
0.776607,2.779773,0,0,0,G7
1.519801,8.375031,0,0,0,G7
0.944019,3.456703,0,0,0,G7
1.060393,4.002843,0,0,0,G7
1.367308,4.541636,3.928185,0,0,G8
1.373388,5.742901,0,0,0,G8
