@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R6,22'

@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1,G1
1,G1
0,G1
1,G1
32.128532,G0
1,G0
23.471453,G0
23.955109,G0
23.617138,G0
23.632465,G0
23.944956,G0
23.390223,G0
31.454571,G0
31.916876,G0
0,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
0,G2
1,G2
1,G3
0,G3
1,G3
1,G3
0,G3
1,G3
1,G3
1,G3
1,G3
1,G3
68.443039,G4
73.717079,G4
1,G4
1,G4
36.890366,G4
99.374763,G4
54.74033,G4
64.424599,G4
69.695953,G4
73.834328,G4
1,G5
25.616379,G5
25.629665,G5
25.679893,G5
27.027773,G5
1,G5
27.902817,G5
1,G5
0,G5
1,G5
18.979395,G6
1,G6
18.622959,G6
18.366129,G6
17.936562,G6
17.76836,G6
17.800419,G6
38.0121,G6
18.599554,G6
18.201717,G6
69.908165,G7
77.238541,G7
79.161362,G7
83.083595,G7
78.348076,G7
44.688377,G7
78.815231,G7
75.410538,G7
79.038055,G7
70.284538,G7
31.84795,G8
87.031273,G8
31.582924,G8
88.510788,G8
34.360435,G8
81.049911,G8
31.013523,G8
71.723534,G8
32.058792,G8
33.020748,G8
16.910755,G9
13.740136,G9
14.779031,G9
11.713248,G9
1,G9
11.588235,G9
1,G9
11.072308,G9
10.192496,G9
16.426311,G9
1,G1
1,G1
0,G1
1,G1
1,G1
1,G1
1,G1
1,G1
0,G1
0,G1
19.429249,G0
22.119347,G0
22.894224,G0
23.186516,G0
19.955507,G0
22.108004,G0
22.267647,G0
22.644402,G0
21.962376,G0
19.529358,G0
1,G2
1,G2
0,G2
0,G2
1,G2
1,G2
18.586517,G2
18.952829,G2
19.019991,G2
20.502623,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
43.806084,G3
1,G3
1,G3
1,G3
53.363533,G4
55.445675,G4
57.632858,G4
18.210123,G4
17.409941,G4
18.754187,G4
19.466267,G4
19.616816,G4
53.907883,G4
54.080479,G4
35.383423,G5
35.510876,G5
36.217762,G5
28.439514,G5
35.175339,G5
36.02306,G5
35.848511,G5
35.379021,G5
33.79295,G5
35.247337,G5
15.573933,G6
14.413544,G6
17.945267,G6
17.476412,G6
15.826111,G6
16.318581,G6
15.603787,G6
15.716647,G6
16.018442,G6
16.020119,G6
80.422737,G7
41.267994,G7
40.350845,G7
74.734032,G7
76.033142,G7
40.558052,G7
26.645836,G7
26.544914,G7
27.584511,G7
26.861992,G7
17.067598,G8
40.308922,G8
25.895041,G8
24.940514,G8
25.743473,G8
25.42441,G8
24.691273,G8
24.97603,G8
17.722002,G8
18.097288,G8
10.475904,G9
10.736491,G9
10.215485,G9
10.836102,G9
10.868353,G9
9.782095,G9
10.083056,G9
25.220232,G9
25.929398,G9
10.531284,G9
0,G1
1,G1
5.416896,G1
0,G1
0,G1
0,G1
1,G1
0,G1
0,G1
0,G1
4.915854,G0
19.595537,G0
19.243837,G0
7.804761,G0
19.793972,G0
20.028419,G0
19.043934,G0
22.023912,G0
1.973912,G0
4.449722,G0
1,G2
0,G2
0,G2
0,G2
1,G2
1,G2
1,G2
0,G2
1,G2
1,G2
49.595951,G3
0,G3
53.400436,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
50.252277,G4
48.429398,G4
14.786871,G4
50.12207,G4
1,G4
49.292255,G4
1,G4
77.524254,G4
50.425652,G4
34.100098,G4
30.171564,G5
9.168107,G5
11.501387,G5
26.184465,G5
18.09214,G5
26.263199,G5
27.691299,G5
27.695864,G5
28.322369,G5
31.533884,G5
19.914471,G6
7.737838,G6
19.64415,G6
7.008226,G6
19.759106,G6
19.387762,G6
5.810316,G6
3.458053,G6
20.15057,G6
20.21986,G6
53.090115,G7
28.018694,G7
1,G7
30.324524,G7
30.072052,G7
5.104064,G7
53.317043,G7
26.40741,G7
13.585074,G7
9.604671,G7
19.364756,G8
35.649731,G8
20.332781,G8
69.943497,G8
19.7327,G8
19.846165,G8
20.634821,G8
20.530083,G8
20.212069,G8
19.471188,G8
8.73686,G9
8.881664,G9
7.105643,G9
15.284383,G9
16.43553,G9
15.619578,G9
8.800071,G9
9.380643,G9
9.375968,G9
10.967755,G9
1,G1
1,G1
1,G1
1,G1
1,G1
1,G1
0,G1
0,G1
0,G1
1,G1
28.205624,G0
27.12533,G0
28.109241,G0
27.913639,G0
28.283398,G0
27.656107,G0
27.393061,G0
27.468975,G0
21.126677,G0
27.943962,G0
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G3
8.558611,G3
8.260798,G3
6.617039,G3
1,G3
1,G3
1,G3
6.362509,G3
1,G3
1,G3
16.562922,G4
50.63102,G4
55.133663,G4
17.029902,G4
16.374195,G4
15.88985,G4
16.279348,G4
16.642817,G4
16.67091,G4
55.099251,G4
27.466497,G5
27.646662,G5
27.798517,G5
27.890408,G5
27.676783,G5
27.788082,G5
27.94903,G5
28.034847,G5
27.223623,G5
27.652082,G5
17.168375,G6
17.378466,G6
17.14905,G6
17.237867,G6
16.897444,G6
16.801483,G6
16.922415,G6
16.54907,G6
18.471989,G6
17.622847,G6
72.201683,G7
72.33197,G7
73.953262,G7
72.239662,G7
72.002129,G7
71.816238,G7
72.34948,G7
72.178688,G7
70.320694,G7
71.736969,G7
29.699686,G8
28.802959,G8
21.44853,G8
21.427652,G8
28.632725,G8
28.429342,G8
28.363503,G8
29.338818,G8
29.090879,G8
21.3776,G8
7.51787,G9
10.037858,G9
10.449368,G9
9.683265,G9
9.851491,G9
10.246622,G9
9.076012,G9
9.387828,G9
9.189385,G9
9.54729,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
20.882399,G0
20.860098,G0
20.991903,G0
21.261385,G0
21.232153,G0
19.8237,G0
20.460182,G0
21.052015,G0
21.471386,G0
20.57741,G0
1,G2
0,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
0,G3
37.467548,G3
0,G3
0,G3
1,G3
0,G3
1,G3
1,G3
1,G3
0,G3
1,G4
43.335747,G4
32.805344,G4
44.423435,G4
39.716812,G4
47.848164,G4
55.99432,G4
47.99987,G4
45.919861,G4
1,G4
21.402111,G5
23.92918,G5
16.443775,G5
0,G5
22.162588,G5
22.216434,G5
21.863609,G5
15.804931,G5
0,G5
0,G5
17.562973,G6
13.202558,G6
1,G6
13.649017,G6
13.525636,G6
22.681602,G6
13.019904,G6
1,G6
1,G6
13.217293,G6
37.84771,G7
72.603188,G7
0,G7
1,G7
70.606186,G7
