@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R1,328'

@attribute numFingers numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1,G1
1,G1
0,G1
1,G1
2,G0
1,G0
3,G0
3,G0
3,G0
3,G0
3,G0
3,G0
2,G0
2,G0
0,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
0,G2
1,G2
1,G3
0,G3
1,G3
1,G3
0,G3
1,G3
1,G3
1,G3
1,G3
1,G3
2,G4
2,G4
1,G4
1,G4
2,G4
3,G4
3,G4
2,G4
2,G4
2,G4
1,G5
2,G5
2,G5
2,G5
2,G5
1,G5
2,G5
1,G5
0,G5
1,G5
3,G6
1,G6
3,G6
3,G6
3,G6
3,G6
3,G6
2,G6
3,G6
3,G6
2,G7
2,G7
2,G7
2,G7
2,G7
3,G7
2,G7
2,G7
2,G7
2,G7
3,G8
2,G8
3,G8
2,G8
3,G8
2,G8
3,G8
2,G8
3,G8
3,G8
4,G9
5,G9
5,G9
5,G9
1,G9
5,G9
1,G9
5,G9
5,G9
4,G9
1,G1
1,G1
0,G1
1,G1
1,G1
1,G1
1,G1
1,G1
0,G1
0,G1
3,G0
3,G0
3,G0
3,G0
4,G0
3,G0
3,G0
3,G0
3,G0
3,G0
1,G2
1,G2
0,G2
0,G2
1,G2
1,G2
2,G2
2,G2
2,G2
2,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
2,G3
1,G3
1,G3
1,G3
2,G4
2,G4
2,G4
3,G4
3,G4
3,G4
3,G4
3,G4
2,G4
2,G4
2,G5
2,G5
2,G5
3,G5
2,G5
2,G5
2,G5
2,G5
2,G5
2,G5
3,G6
4,G6
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
2,G7
3,G7
3,G7
2,G7
2,G7
3,G7
4,G7
4,G7
4,G7
4,G7
4,G8
2,G8
3,G8
3,G8
3,G8
3,G8
3,G8
3,G8
4,G8
4,G8
5,G9
5,G9
5,G9
5,G9
5,G9
5,G9
5,G9
3,G9
3,G9
5,G9
0,G1
1,G1
2,G1
0,G1
0,G1
0,G1
1,G1
0,G1
0,G1
0,G1
4,G0
3,G0
3,G0
5,G0
3,G0
3,G0
3,G0
2,G0
4,G0
4,G0
1,G2
0,G2
0,G2
0,G2
1,G2
1,G2
1,G2
0,G2
1,G2
1,G2
2,G3
0,G3
2,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
2,G4
2,G4
3,G4
2,G4
1,G4
2,G4
1,G4
3,G4
2,G4
3,G4
3,G5
3,G5
3,G5
2,G5
3,G5
2,G5
2,G5
2,G5
2,G5
3,G5
3,G6
3,G6
3,G6
4,G6
3,G6
3,G6
4,G6
4,G6
3,G6
3,G6
2,G7
2,G7
1,G7
3,G7
3,G7
4,G7
2,G7
4,G7
4,G7
3,G7
3,G8
2,G8
3,G8
4,G8
3,G8
3,G8
3,G8
3,G8
3,G8
3,G8
5,G9
5,G9
5,G9
4,G9
4,G9
4,G9
5,G9
5,G9
5,G9
5,G9
1,G1
1,G1
1,G1
1,G1
1,G1
1,G1
0,G1
0,G1
0,G1
1,G1
3,G0
3,G0
3,G0
3,G0
3,G0
3,G0
3,G0
3,G0
4,G0
3,G0
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G3
2,G3
2,G3
2,G3
1,G3
1,G3
1,G3
2,G3
1,G3
1,G3
3,G4
2,G4
2,G4
3,G4
3,G4
3,G4
3,G4
3,G4
3,G4
2,G4
2,G5
2,G5
2,G5
2,G5
2,G5
2,G5
2,G5
2,G5
2,G5
2,G5
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
2,G7
2,G7
2,G7
2,G7
2,G7
2,G7
2,G7
2,G7
2,G7
2,G7
3,G8
3,G8
4,G8
4,G8
3,G8
3,G8
3,G8
3,G8
3,G8
4,G8
5,G9
5,G9
5,G9
5,G9
5,G9
5,G9
5,G9
5,G9
5,G9
5,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
3,G0
3,G0
3,G0
3,G0
3,G0
2,G0
3,G0
3,G0
3,G0
3,G0
1,G2
0,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
0,G3
2,G3
0,G3
0,G3
1,G3
0,G3
1,G3
1,G3
1,G3
0,G3
1,G4
2,G4
2,G4
2,G4
2,G4
2,G4
2,G4
2,G4
2,G4
1,G4
2,G5
2,G5
2,G5
0,G5
2,G5
2,G5
2,G5
3,G5
0,G5
0,G5
2,G6
3,G6
1,G6
3,G6
3,G6
2,G6
3,G6
1,G6
1,G6
3,G6
2,G7
2,G7
0,G7
1,G7
2,G7
2,G7
0,G7
2,G7
2,G7
2,G7
3,G8
3,G8
2,G8
2,G8
3,G8
3,G8
3,G8
2,G8
3,G8
3,G8
5,G9
5,G9
5,G9
5,G9
5,G9
4,G9
5,G9
5,G9
5,G9
5,G9
0,G1
0,G1
0,G1
0,G1
0,G1
1,G1
0,G1
0,G1
0,G1
0,G1
3,G0
3,G0
3,G0
3,G0
3,G0
3,G0
3,G0
3,G0
3,G0
3,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
1,G3
1,G3
1,G3
1,G3
0,G3
0,G3
0,G3
1,G3
1,G3
1,G3
2,G4
2,G4
2,G4
1,G4
3,G4
1,G4
2,G4
2,G4
2,G4
2,G4
2,G5
1,G5
1,G5
0,G5
2,G5
2,G5
2,G5
2,G5
0,G5
2,G5
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
3,G6
2,G7
3,G7
3,G7
3,G7
2,G7
3,G7
2,G7
2,G7
2,G7
2,G7
4,G8
3,G8
3,G8
3,G8
3,G8
3,G8
3,G8
3,G8
3,G8
3,G8
5,G9
5,G9
5,G9
4,G9
5,G9
5,G9
5,G9
4,G9
5,G9
4,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
3,G0
3,G0
3,G0
2,G0
3,G0
3,G0
3,G0
3,G0
1,G0
3,G0
1,G2
1,G2
1,G2
1,G2
0,G2
1,G2
1,G2
0,G2
2,G2
1,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G4
3,G4
3,G4
2,G4
2,G4
2,G4
2,G4
2,G4
2,G4
2,G4
2,G5
