@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,6,194-199,328'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute fingersAreas numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,1,0.012762,0,0,0,0,0,G1
0,0,0,0.007035,0.014577,0.010296,0.006373,0,0,G1
0,0,0,0.009575,0.010385,0,0,0,0,G1
0,0,0,0.009365,0,0,0,0,0,G1
0,0,0,0.014088,0.00892,0.006244,0,0,0,G1
0,0,0,0.008434,0,0,0,0,0,G1
1,0,1,0.007413,0,0,0,0,0,G1
1,0,1,0.01195,0.006922,0.00727,0,0,0,G1
0,0,0,0.011012,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,0,G1
2,1101,32.128532,0.124692,0.074136,0.073255,0.072733,0,0,G0
1,1101,1,0.145977,0.118052,0.051122,0.041216,0,0,G0
3,1101,23.471453,0.173859,0.129458,0.082507,0.123899,0,0,G0
3,1101,23.955109,0.149135,0.109395,0.10735,0.105841,0,0,G0
3,1101,23.617138,0.169718,0.109388,0.054539,0.142032,0,0,G0
3,1101,23.632465,0.171346,0.097963,0.036352,0.067886,0,0,G0
3,1101,23.944956,0.162618,0.124563,0.083058,0.072478,0,0,G0
3,1101,23.390223,0.164187,0.099862,0.093679,0.088174,0,0,G0
2,1101,31.454571,0.127814,0.075727,0.066408,0.072443,0,0,G0
2,1101,31.916876,0.103931,0.056271,0.052802,0.103281,0,0,G0
0,1000,0,0.057495,0.076025,0.020197,0,0,0,G2
1,1000,1,0.015132,0.155957,0.125947,0.029168,0,0,G2
1,1000,1,0.119065,0.12577,0.012629,0.05132,0,0,G2
1,1000,1,0.110145,0.106031,0.049016,0,0,0,G2
1,1000,1,0.132636,0.083818,0.026107,0,0,0,G2
1,1000,1,0.150864,0.083676,0.024261,0,0,0,G2
1,1000,1,0.015197,0.134069,0.100815,0.029108,0,0,G2
1,1000,1,0.106864,0.089145,0.021939,0.065012,0,0,G2
0,1000,0,0.070459,0.073568,0.033311,0,0,0,G2
1,1000,1,0.011758,0.084522,0.134302,0.017631,0.073544,0,G2
1,1,1,0.0116,0.130924,0,0,0,0,G3
0,1,0,0.129087,0.007894,0,0,0,0,G3
1,1,1,0.155491,0,0,0,0,0,G3
1,1,1,0.142233,0,0,0,0,0,G3
0,1,0,0.009513,0.123307,0,0,0,0,G3
1,1,1,0.128014,0.008506,0,0,0,0,G3
1,1,1,0.008272,0.138489,0,0,0,0,G3
1,1,1,0.010841,0.152462,0,0,0,0,G3
1,1,1,0.007041,0.136775,0.010631,0,0,0,G3
1,1,1,0.132526,0,0,0,0,0,G3
2,11000,68.443039,0.04308,0.358627,0.015719,0,0,0,G4
2,11000,73.717079,0.173122,0.397162,0,0,0,0,G4
1,11000,1,0.197645,0.386167,0,0,0,0,G4
1,11000,1,0.179507,0.03626,0.01814,0.021025,0,0,G4
2,11000,36.890366,0.177901,0.332878,0.015976,0,0,0,G4
3,11000,99.374763,0.6086,0.019323,0.037715,0,0,0,G4
3,11000,54.74033,0.173765,0.425073,0,0,0,0,G4
2,11000,64.424599,0.136039,0.384642,0,0,0,0,G4
2,11000,69.695953,0.031681,0.065111,0.85783,0,0,0,G4
2,11000,73.834328,0.178761,0.287226,0.033448,0,0,0,G4
1,1100,1,0.104233,0.097247,0.072158,0.013314,0,0,G5
2,1100,25.616379,0.136918,0.119265,0.079905,0.028586,0,0,G5
2,1100,25.629665,0.119061,0.115479,0.087429,0.042242,0,0,G5
2,1100,25.679893,0.109824,0.121709,0.075418,0.041668,0,0,G5
2,1100,27.027773,0.115569,0.121238,0.077003,0.015418,0,0,G5
1,1100,1,0.10853,0.093604,0.065521,0.022649,0,0,G5
2,1100,27.902817,0.110383,0.138416,0.063834,0,0,0,G5
1,1100,1,0.070737,0.446364,0.014821,0,0,0,G5
0,1100,0,5.070341,0,0,0,0,0,G5
1,1100,1,0.081998,0.103293,0.081337,0,0,0,G5
3,1110,18.979395,0.070129,0.089135,0.189076,0.06539,0,0,G6
1,1110,1,0.029986,0.018855,0.111913,0.047883,0.020298,0,G6
3,1110,18.622959,0.119303,0.045671,0.080207,0.054959,0.043483,0,G6
3,1110,18.366129,0.115524,0.031475,0.083998,0.050002,0.045411,0,G6
3,1110,17.936562,0.041306,0.057525,0.191123,0.10808,0.013384,0,G6
3,1110,17.76836,0.101114,0.02695,0.120904,0.057596,0,0,G6
3,1110,17.800419,0.036556,0.093036,0.103619,0.01634,0.034482,0,G6
2,1110,38.0121,0.074672,0.076716,0.051683,0.0691,0,0,G6
3,1110,18.599554,0.091073,0.088069,0.050481,0.060475,0,0,G6
3,1110,18.201717,0.070088,0.117477,0.055,0,0,0,G6
2,10001,69.908165,0.031267,0.144009,0.087523,0.01354,0,0,G7
2,10001,77.238541,0.358552,0.016289,0,0,0,0,G7
2,10001,79.161362,0.413768,0,0,0,0,0,G7
2,10001,83.083595,0.027329,0.271192,0.021299,0,0,0,G7
2,10001,78.348076,0.371095,0,0,0,0,0,G7
3,10001,44.688377,0.291166,0,0,0,0,0,G7
2,10001,78.815231,0.280769,0,0,0,0,0,G7
2,10001,75.410538,0.257591,0,0,0,0,0,G7
2,10001,79.038055,0.133667,0.122543,0.014845,0,0,0,G7
2,10001,70.284538,0.296905,0.012863,0,0,0,0,G7
3,11001,31.84795,0.222429,0.337619,0,0,0,0,G8
2,11001,87.031273,0.028934,0.207811,0.316702,0,0,0,G8
3,11001,31.582924,0.243237,0.342531,0.022581,0,0,0,G8
2,11001,88.510788,0.016625,0.205132,0.3285,0,0,0,G8
3,11001,34.360435,0.015723,0.220172,0.326151,0.010029,0,0,G8
2,11001,81.049911,0.028643,0.147135,0.290536,0,0,0,G8
3,11001,31.013523,0.270724,0.228417,0.018513,0,0,0,G8
2,11001,71.723534,0.186615,0.273484,0.026332,0,0,0,G8
3,11001,32.058792,0.220489,0.32962,0.015082,0,0,0,G8
3,11001,33.020748,0.244527,0.324508,0.026338,0,0,0,G8
4,11111,16.910755,0.014116,0.00849,0.011527,0.060772,0.22572,0,G9
5,11111,13.740136,0.025507,0.02801,0.008478,0.05969,0.243613,0,G9
5,11111,14.779031,0.012229,0.030493,0.033575,0.072689,0.216022,0.010329,G9
5,11111,11.713248,0.014006,0.032132,0.020959,0.086645,0.230337,0,G9
1,11111,1,0.030373,0.070626,0.232652,0,0,0,G9
5,11111,11.588235,0.015546,0.031853,0.013586,0.077677,0.242484,0,G9
1,11111,1,0.029577,0.014631,0.009591,0.072841,0.233483,0,G9
5,11111,11.072308,0.029367,0.038814,0.025655,0.079549,0.255652,0,G9
5,11111,10.192496,0.038125,0.025238,0.077669,0.23401,0,0,G9
4,11111,16.426311,0.039314,0.031863,0.011758,0.070324,0.232123,0,G9
1,0,1,0.076449,0.014265,0.01532,0.018083,0,0,G1
1,0,1,0.011205,0.00807,0.008234,0.00853,0.014769,0.008183,G1
0,0,0,0.009885,0.067136,0,0,0,0,G1
1,0,1,0.008428,0.009388,0,0,0,0,G1
1,0,1,0.013081,0.007526,0,0,0,0,G1
1,0,1,0.013366,0.008601,0,0,0,0,G1
1,0,1,0.051608,0,0,0,0,0,G1
1,0,1,0.009241,0.008941,0.016333,0,0,0,G1
0,0,0,0.01023,0.013082,0.01621,0,0,0,G1
0,0,0,0.019969,0.022851,0,0,0,0,G1
3,1101,19.429249,0.164475,0.109173,0.069325,0.05588,0.030002,0,G0
3,1101,22.119347,0.025514,0.256983,0.170483,0.013567,0,0,G0
3,1101,22.894224,0.03773,0.263549,0.178753,0.038489,0,0,G0
3,1101,23.186516,0.028554,0.332258,0.25687,0.023468,0,0,G0
4,1101,19.955507,0.27848,0.236559,0.035139,0.054283,0,0,G0
3,1101,22.108004,0.202033,0.066552,0.098439,0.033651,0.021654,0,G0
3,1101,22.267647,0.265951,0.055664,0.055333,0.015224,0,0,G0
