@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R1,3,7-11,264-327,328'

@attribute numFingers numeric
@attribute ratio numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute cellOccupancyAvg1 numeric
@attribute cellOccupancyAvg2 numeric
@attribute cellOccupancyAvg3 numeric
@attribute cellOccupancyAvg4 numeric
@attribute cellOccupancyAvg5 numeric
@attribute cellOccupancyAvg6 numeric
@attribute cellOccupancyAvg7 numeric
@attribute cellOccupancyAvg8 numeric
@attribute cellOccupancyAvg9 numeric
@attribute cellOccupancyAvg10 numeric
@attribute cellOccupancyAvg11 numeric
@attribute cellOccupancyAvg12 numeric
@attribute cellOccupancyAvg13 numeric
@attribute cellOccupancyAvg14 numeric
@attribute cellOccupancyAvg15 numeric
@attribute cellOccupancyAvg16 numeric
@attribute cellOccupancyAvg17 numeric
@attribute cellOccupancyAvg18 numeric
@attribute cellOccupancyAvg19 numeric
@attribute cellOccupancyAvg20 numeric
@attribute cellOccupancyAvg21 numeric
@attribute cellOccupancyAvg22 numeric
@attribute cellOccupancyAvg23 numeric
@attribute cellOccupancyAvg24 numeric
@attribute cellOccupancyAvg25 numeric
@attribute cellOccupancyAvg26 numeric
@attribute cellOccupancyAvg27 numeric
@attribute cellOccupancyAvg28 numeric
@attribute cellOccupancyAvg29 numeric
@attribute cellOccupancyAvg30 numeric
@attribute cellOccupancyAvg31 numeric
@attribute cellOccupancyAvg32 numeric
@attribute cellOccupancyAvg33 numeric
@attribute cellOccupancyAvg34 numeric
@attribute cellOccupancyAvg35 numeric
@attribute cellOccupancyAvg36 numeric
@attribute cellOccupancyAvg37 numeric
@attribute cellOccupancyAvg38 numeric
@attribute cellOccupancyAvg39 numeric
@attribute cellOccupancyAvg40 numeric
@attribute cellOccupancyAvg41 numeric
@attribute cellOccupancyAvg42 numeric
@attribute cellOccupancyAvg43 numeric
@attribute cellOccupancyAvg44 numeric
@attribute cellOccupancyAvg45 numeric
@attribute cellOccupancyAvg46 numeric
@attribute cellOccupancyAvg47 numeric
@attribute cellOccupancyAvg48 numeric
@attribute cellOccupancyAvg49 numeric
@attribute cellOccupancyAvg50 numeric
@attribute cellOccupancyAvg51 numeric
@attribute cellOccupancyAvg52 numeric
@attribute cellOccupancyAvg53 numeric
@attribute cellOccupancyAvg54 numeric
@attribute cellOccupancyAvg55 numeric
@attribute cellOccupancyAvg56 numeric
@attribute cellOccupancyAvg57 numeric
@attribute cellOccupancyAvg58 numeric
@attribute cellOccupancyAvg59 numeric
@attribute cellOccupancyAvg60 numeric
@attribute cellOccupancyAvg61 numeric
@attribute cellOccupancyAvg62 numeric
@attribute cellOccupancyAvg63 numeric
@attribute cellOccupancyAvg64 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,1,0,0,0,0,0,0,2.074722,6.531111,10.656667,7.851666,1.904444,0,0,0,12.950556,18,18,18,17.136389,6.498055,0,2.906389,15.915277,18,18,18,18,17.894167,6.296389,2.0425,14.693334,18,18,18,18,18,7.5,4.269166,17.379999,18,18,18,18,18,7.5,0,14.2675,17.891388,17.78861,18,18,18,7.5,0,1.159444,14.853333,17.853611,18,18,17.978889,6.796667,0,0,1.999444,9.922222,11.474167,7.874444,2.7825,0.021667,G1
0,0,0,0,0,0,0,0,1.014167,3.193889,9.225833,5.495,0.449722,0,0,0,15.154166,17.598888,17.968889,17.421389,13.835278,1.706389,0,0,9.046389,17.143333,17.16,17.043612,17,14.1875,0,0,12.708889,17,17,17,17,16.15,0,0,11.949722,17,17,17,17,16.15,0,0,5.909444,17,17,17,17,16.15,0,0,2.311389,14.690278,17,17,17,16.15,0,0,0,1.596667,8.948334,9.761666,9.034445,5.066667,0,G1
0,0,0,0,0,0,0,0,0.758333,7.803611,9.2,5.580833,0.61,0,0,0,9.227777,16,16,16,12.033334,1.331667,0,0,10.594722,16,16,16,16,11.376667,0,0.054722,14.878889,16,16,16,16,16,0,0,14.360278,15.162222,15.834444,16,16,16,0,0,5.605,15,15.339167,16,15.951944,15.969722,0,0,0.774722,14.1,15.998055,15.710556,15.372222,15.909722,0,0,0,4.069445,10.23,10.645278,9.882222,6.528333,0,G1
0,0,0,0,0,0,0,0,0.428611,7.200278,8.148889,8.861944,2.659722,0,0,0.309722,9.786389,15.560555,16,16,14.731112,5.408889,0.006111,0.717222,13.488334,15.730833,16,16,16,15.952778,1.853333,0.000833,10.2825,15.229445,15.342222,16,16,16,2.133333,0.005,8.530556,15,15.035833,15.867778,16,15.946389,2.121389,0,5.126667,14.878889,15,15.353889,15.803889,15.095278,2,0,0,6.765,15.028889,15.703889,15.138333,15.188056,1.917222,0,0,0.124167,3.576111,9.932777,7.915555,3.282778,0,G1
0,0,0,0,0,0,0,0,0.336667,8.169167,8.050278,6.040278,0.430833,0,0,0,12.796667,16.931944,17,17,12.909722,2.977778,0,0.415556,13.796389,17,17,17,17,15.976666,1.054722,0.946389,16.815556,16.613611,16.665556,16.796389,17,17,2.266667,0.007222,12.674167,16,14.997222,15.079166,16.584167,16.240833,2.1675,0,1.368611,15.841389,14.073055,16.043612,16,16,2.133333,0,0.023333,13.815278,16,16,16,16.00639,2.149722,0,0,5.265555,8.88,7.855278,7.301389,3.352778,0.482222,G1
0,0,0,0,0,0,0,0,1.255556,9.876111,7.501667,7.244167,1.388889,0,0,1.062222,14.266945,16.644167,17,17,15.069445,3.534167,0,1.5775,14.392222,15.328333,17,17,17,15.59,2.480833,6.194167,17,17,17,17.006945,17,17,8.500556,4.809722,17,17,17,17.263611,17,17,8.5,0.688889,15.260278,17,17,17,17,17,8.5,0,4.856111,16.7875,17,17,17,17,8.5,0,0,4.622778,8.699445,10.764167,11.333333,9.643888,5.1925,G1
1,1,0,0,0,0,0,0,0.424722,1.68,3.933889,2.536389,0,0,0,0.054444,12.141666,17,17,16.7925,11.040833,4.661389,0,6.992778,14.167222,16.769167,17,17,17,16.817499,7.466111,6.900278,16.343611,17,16.925278,14.750278,17,17,11.333333,3.5225,17,17,16.956944,17.213612,17,17,11.333333,0.651111,12.309722,17,17,17.131666,17,17,11.333333,0,3.438889,15.604722,17.557222,17.0075,17,15.61,9.530556,0,0,0.926667,3.646667,3.638889,4.211667,1.017778,0.003889,G1
1,1,0,0,0,0,0,0,0.270556,8.8775,7.570556,6.042778,0.208611,0,0,0.242222,12.236111,19,19,19,12.453055,0.824167,0,0.000556,12.067223,19,19,19,19,14.024167,0.643611,1.762222,18.741112,19,19,19,19,19,2.533333,0.8025,18.891111,19,19,18.998333,18.577223,18.374166,2.48,0.003333,14.061111,18.698334,18.989445,18.440834,18,18,2.4,0,4.483889,17.057777,18.906944,18.002222,18,18.003334,2.4,0,0,3.633611,9.556666,10.468611,5.498611,4.937778,0.505,G1
0,0,0,0,0,0,0,0,0.074167,5.979445,10.729167,10.385834,1.550278,0,0,0.053056,12.364166,18.999722,19,19,15.829722,4.233333,0,0.0125,12.519444,19,19,19,19,18.072222,1.106944,0.107222,18.189167,19,19,19,19,19,1.583333,0.219444,17.522499,18.960278,18.929722,19,18.554722,18.184723,1.516667,0,8.833055,18.482222,18.749722,18.793612,18.021944,18,1.5,0,0.555278,13.595834,19,18.646667,18.242222,17.816668,1.296111,0,0,0.716667,9.402223,7.596667,6.498333,0.730833,0,G1
