@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R1,4,5,7-11,194-199,328'

@attribute numFingers numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,-0.299509,0.890207,0,0,0,0,0,0.012762,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0.007035,0.014577,0.010296,0.006373,0,0,G1
0,0,0,0,0,0,0,0,0.009575,0.010385,0,0,0,0,G1
0,0,0,0,0,0,0,0,0.009365,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0.014088,0.00892,0.006244,0,0,0,G1
0,0,0,0,0,0,0,0,0.008434,0,0,0,0,0,G1
1,-0.364708,0.785661,0,0,0,0,0,0.007413,0,0,0,0,0,G1
1,-0.485387,0.869856,0,0,0,0,0,0.01195,0.006922,0.00727,0,0,0,G1
0,0,0,0,0,0,0,0,0.011012,0,0,0,0,0,G1
1,-0.295764,0.93356,0,0,0,0,0,0,0,0,0,0,0,G1
2,0.238329,1.058861,0,1.160427,0.920108,0,0,0.124692,0.074136,0.073255,0.072733,0,0,G0
1,0.397396,0.832151,0,0.999997,0,0,0,0.145977,0.118052,0.051122,0.041216,0,0,G0
3,0.493598,0.965314,0,1.173661,1.234522,0,0.942133,0.173859,0.129458,0.082507,0.123899,0,0,G0
3,0.355675,0.988549,0,1.196519,1.217923,0,0.939192,0.149135,0.109395,0.10735,0.105841,0,0,G0
3,0.57835,0.895118,0,1.18299,1.232636,0,0.988413,0.169718,0.109388,0.054539,0.142032,0,0,G0
3,0.724144,0.870628,0,1.191666,1.217141,0,0.975672,0.171346,0.097963,0.036352,0.067886,0,0,G0
