@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R1,6,7-11,194-199,328'

@attribute numFingers numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,1,0,0,0,0,0,0.012762,0,0,0,0,0,G1
0,0,0,0,0,0,0,0.007035,0.014577,0.010296,0.006373,0,0,G1
0,0,0,0,0,0,0,0.009575,0.010385,0,0,0,0,G1
0,0,0,0,0,0,0,0.009365,0,0,0,0,0,G1
0,0,0,0,0,0,0,0.014088,0.00892,0.006244,0,0,0,G1
0,0,0,0,0,0,0,0.008434,0,0,0,0,0,G1
1,1,0,0,0,0,0,0.007413,0,0,0,0,0,G1
1,1,0,0,0,0,0,0.01195,0.006922,0.00727,0,0,0,G1
0,0,0,0,0,0,0,0.011012,0,0,0,0,0,G1
1,1,0,0,0,0,0,0,0,0,0,0,0,G1
2,32.128532,0,1.160427,0.920108,0,0,0.124692,0.074136,0.073255,0.072733,0,0,G0
1,1,0,0.999997,0,0,0,0.145977,0.118052,0.051122,0.041216,0,0,G0
3,23.471453,0,1.173661,1.234522,0,0.942133,0.173859,0.129458,0.082507,0.123899,0,0,G0
3,23.955109,0,1.196519,1.217923,0,0.939192,0.149135,0.109395,0.10735,0.105841,0,0,G0
3,23.617138,0,1.18299,1.232636,0,0.988413,0.169718,0.109388,0.054539,0.142032,0,0,G0
3,23.632465,0,1.191666,1.217141,0,0.975672,0.171346,0.097963,0.036352,0.067886,0,0,G0
3,23.944956,0,1.186488,1.220379,0,0.961907,0.162618,0.124563,0.083058,0.072478,0,0,G0
3,23.390223,0,1.158527,1.233534,0,0.983986,0.164187,0.099862,0.093679,0.088174,0,0,G0
2,31.454571,0,1.190305,0.904634,0,0,0.127814,0.075727,0.066408,0.072443,0,0,G0
2,31.916876,0,1.158608,0.917696,0,0,0.103931,0.056271,0.052802,0.103281,0,0,G0
0,0,0,0,0,0,0,0.057495,0.076025,0.020197,0,0,0,G2
1,1,0,0.999999,0,0,0,0.015132,0.155957,0.125947,0.029168,0,0,G2
1,1,0,0.999996,0,0,0,0.119065,0.12577,0.012629,0.05132,0,0,G2
1,1,0,1.000003,0,0,0,0.110145,0.106031,0.049016,0,0,0,G2
1,1,0,1.000005,0,0,0,0.132636,0.083818,0.026107,0,0,0,G2
1,1,0,1.000003,0,0,0,0.150864,0.083676,0.024261,0,0,0,G2
1,1,0,1.000003,0,0,0,0.015197,0.134069,0.100815,0.029108,0,0,G2
1,1,0,1.000001,0,0,0,0.106864,0.089145,0.021939,0.065012,0,0,G2
0,0,0,0,0,0,0,0.070459,0.073568,0.033311,0,0,0,G2
1,1,0,1,0,0,0,0.011758,0.084522,0.134302,0.017631,0.073544,0,G2
1,1,0,0,0,0,1.000003,0.0116,0.130924,0,0,0,0,G3
0,0,0,0,0,0,0,0.129087,0.007894,0,0,0,0,G3
1,1,0,0,0,0,0.999997,0.155491,0,0,0,0,0,G3
1,1,0,0,0,0,1.000007,0.142233,0,0,0,0,0,G3
0,0,0,0,0,0,0,0.009513,0.123307,0,0,0,0,G3
1,1,0,0,0,0,1.000001,0.128014,0.008506,0,0,0,0,G3
1,1,0,0,0,0,0.999997,0.008272,0.138489,0,0,0,0,G3
1,1,0,0,0,0,1.000003,0.010841,0.152462,0,0,0,0,G3
1,1,0,0,0,0,1.000001,0.007041,0.136775,0.010631,0,0,0,G3
1,1,0,0,0,0,1.000002,0.132526,0,0,0,0,0,G3
2,68.443039,1.145792,1.390461,0,0,0,0.04308,0.358627,0.015719,0,0,0,G4
2,73.717079,1.337237,1.440097,0,0,0,0.173122,0.397162,0,0,0,0,G4
1,1,1.000008,0,0,0,0,0.197645,0.386167,0,0,0,0,G4
1,1,0.999998,0,0,0,0,0.179507,0.03626,0.01814,0.021025,0,0,G4
2,36.890366,1.323784,0.890024,0,0,0,0.177901,0.332878,0.015976,0,0,0,G4
3,99.374763,4.375272,4.654198,0,0,0,0.6086,0.019323,0.037715,0,0,0,G4
3,54.74033,2.582871,2.650864,0,0,0,0.173765,0.425073,0,0,0,0,G4
2,64.424599,1.264772,1.321828,0,0,0,0.136039,0.384642,0,0,0,0,G4
2,69.695953,1.268483,1.443238,0,0,0,0.031681,0.065111,0.85783,0,0,0,G4
2,73.834328,1.361627,1.547966,0,0,0,0.178761,0.287226,0.033448,0,0,0,G4
1,1,0,1.000006,0,0,0,0.104233,0.097247,0.072158,0.013314,0,0,G5
2,25.616379,0,0.996102,1.052119,0,0,0.136918,0.119265,0.079905,0.028586,0,0,G5
2,25.629665,0,1.002487,1.05151,0,0,0.119061,0.115479,0.087429,0.042242,0,0,G5
2,25.679893,0,1.006217,1.047653,0,0,0.109824,0.121709,0.075418,0.041668,0,0,G5
2,27.027773,0,1.015902,1.033491,0,0,0.115569,0.121238,0.077003,0.015418,0,0,G5
1,1,0,1.000003,0,0,0,0.10853,0.093604,0.065521,0.022649,0,0,G5
2,27.902817,0,0.991394,1.079594,0,0,0.110383,0.138416,0.063834,0,0,0,G5
1,1,0,1.000001,0,0,0,0.070737,0.446364,0.014821,0,0,0,G5
0,0,0,0,0,0,0,5.070341,0,0,0,0,0,G5
1,1,0,0.999999,0,0,0,0.081998,0.103293,0.081337,0,0,0,G5
3,18.979395,0,1.03676,1.153706,0.996826,0,0.070129,0.089135,0.189076,0.06539,0,0,G6
1,1,0,0.999998,0,0,0,0.029986,0.018855,0.111913,0.047883,0.020298,0,G6
3,18.622959,0,1.022139,1.155098,1.007376,0,0.119303,0.045671,0.080207,0.054959,0.043483,0,G6
3,18.366129,0,1.016173,1.160586,1.011489,0,0.115524,0.031475,0.083998,0.050002,0.045411,0,G6
3,17.936562,0,1.013224,1.162504,1.003669,0,0.041306,0.057525,0.191123,0.10808,0.013384,0,G6
3,17.76836,0,1.020718,1.151267,0.996078,0,0.101114,0.02695,0.120904,0.057596,0,0,G6
