@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,4,5,6,7-11,328'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,1,-0.299509,0.890207,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,1,-0.364708,0.785661,1,0,0,0,0,0,G1
0,1,-0.485387,0.869856,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,1,-0.295764,0.93356,1,0,0,0,0,0,G1
1101,0.016534,0.238329,1.058861,32.128532,0,1.160427,0.920108,0,0,G0
1101,1,0.397396,0.832151,1,0,0.999997,0,0,0,G0
1101,0.011292,0.493598,0.965314,23.471453,0,1.173661,1.234522,0,0.942133,G0
1101,0.010951,0.355675,0.988549,23.955109,0,1.196519,1.217923,0,0.939192,G0
1101,0.011335,0.57835,0.895118,23.617138,0,1.18299,1.232636,0,0.988413,G0
1101,0.011234,0.724144,0.870628,23.632465,0,1.191666,1.217141,0,0.975672,G0
1101,0.011063,0.508686,0.998301,23.944956,0,1.186488,1.220379,0,0.961907,G0
1101,0.011482,0.530267,1.068097,23.390223,0,1.158527,1.233534,0,0.983986,G0
1101,0.017025,0.362851,1.121722,31.454571,0,1.190305,0.904634,0,0,G0
1101,0.016541,0.221858,1.068544,31.916876,0,1.158608,0.917696,0,0,G0
1000,0,0,0,0,0,0,0,0,0,G2
1000,1,-0.10714,0.827349,1,0,0.999999,0,0,0,G2
1000,1,-0.176397,0.885353,1,0,0.999996,0,0,0,G2
1000,1,-0.180172,0.929243,1,0,1.000003,0,0,0,G2
1000,1,-0.163734,0.943691,1,0,1.000005,0,0,0,G2
1000,1,-0.147143,0.935648,1,0,1.000003,0,0,0,G2
