@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,6,7-11,328'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,1,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,1,1,0,0,0,0,0,G1
0,1,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,1,1,0,0,0,0,0,G1
1101,0.016534,32.128532,0,1.160427,0.920108,0,0,G0
1101,1,1,0,0.999997,0,0,0,G0
1101,0.011292,23.471453,0,1.173661,1.234522,0,0.942133,G0
1101,0.010951,23.955109,0,1.196519,1.217923,0,0.939192,G0
1101,0.011335,23.617138,0,1.18299,1.232636,0,0.988413,G0
1101,0.011234,23.632465,0,1.191666,1.217141,0,0.975672,G0
1101,0.011063,23.944956,0,1.186488,1.220379,0,0.961907,G0
1101,0.011482,23.390223,0,1.158527,1.233534,0,0.983986,G0
1101,0.017025,31.454571,0,1.190305,0.904634,0,0,G0
1101,0.016541,31.916876,0,1.158608,0.917696,0,0,G0
1000,0,0,0,0,0,0,0,G2
1000,1,1,0,0.999999,0,0,0,G2
1000,1,1,0,0.999996,0,0,0,G2
1000,1,1,0,1.000003,0,0,0,G2
1000,1,1,0,1.000005,0,0,0,G2
1000,1,1,0,1.000003,0,0,0,G2
1000,1,1,0,1.000003,0,0,0,G2
1000,1,1,0,1.000001,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,1,1,0,1,0,0,0,G2
1,1,1,0,0,0,0,1.000003,G3
1,0,0,0,0,0,0,0,G3
1,1,1,0,0,0,0,0.999997,G3
1,1,1,0,0,0,0,1.000007,G3
1,0,0,0,0,0,0,0,G3
1,1,1,0,0,0,0,1.000001,G3
1,1,1,0,0,0,0,0.999997,G3
1,1,1,0,0,0,0,1.000003,G3
1,1,1,0,0,0,0,1.000001,G3
1,1,1,0,0,0,0,1.000002,G3
11000,0.00996,68.443039,1.145792,1.390461,0,0,0,G4
11000,0.009741,73.717079,1.337237,1.440097,0,0,0,G4
11000,1,1,1.000008,0,0,0,0,G4
11000,1,1,0.999998,0,0,0,0,G4
11000,0.01593,36.890366,1.323784,0.890024,0,0,0,G4
11000,0.026462,99.374763,4.375272,4.654198,0,0,0,G4
11000,0.020799,54.74033,2.582871,2.650864,0,0,0,G4
11000,0.010248,64.424599,1.264772,1.321828,0,0,0,G4
11000,0.010268,69.695953,1.268483,1.443238,0,0,0,G4
11000,0.010397,73.834328,1.361627,1.547966,0,0,0,G4
1100,1,1,0,1.000006,0,0,0,G5
1100,0.020365,25.616379,0,0.996102,1.052119,0,0,G5
1100,0.020396,25.629665,0,1.002487,1.05151,0,0,G5
1100,0.020314,25.679893,0,1.006217,1.047653,0,0,G5
1100,0.019104,27.027773,0,1.015902,1.033491,0,0,G5
1100,1,1,0,1.000003,0,0,0,G5
1100,0.019072,27.902817,0,0.991394,1.079594,0,0,G5
1100,1,1,0,1.000001,0,0,0,G5
1100,0,0,0,0,0,0,0,G5
1100,1,1,0,0.999999,0,0,0,G5
1110,0.014228,18.979395,0,1.03676,1.153706,0.996826,0,G6
1110,1,1,0,0.999998,0,0,0,G6
1110,0.014499,18.622959,0,1.022139,1.155098,1.007376,0,G6
1110,0.014726,18.366129,0,1.016173,1.160586,1.011489,0,G6
1110,0.015094,17.936562,0,1.013224,1.162504,1.003669,0,G6
1110,0.015183,17.76836,0,1.020718,1.151267,0.996078,0,G6
1110,0.015188,17.800419,0,1.012118,1.152329,1.014069,0,G6
1110,0.014549,38.0121,0,1.108947,1.053854,0,0,G6
1110,0.014668,18.599554,0,1.037226,1.168654,0.993281,0,G6
1110,0.01502,18.201717,0,1.02111,1.179349,0.990766,0,G6
10001,0.010028,69.908165,1.362557,0,0,0,1.402702,G7
10001,0.009677,77.238541,1.49503,0,0,0,1.475383,G7
10001,0.009634,79.161362,1.525303,0,0,0,1.521094,G7
10001,0.009664,83.083595,1.608012,0,0,0,1.527633,G7
10001,0.010198,78.348076,1.533408,0,0,0,1.59939,G7
10001,0.012656,44.688377,1.742836,0,0,0,0.749623,G7
10001,0.009721,78.815231,1.527678,0,0,0,1.532306,G7
10001,0.012008,75.410538,1.655546,0,0,0,1.82029,G7
10001,0.009612,79.038055,1.520151,0,0,0,1.475261,G7
10001,0.010206,70.284538,1.364512,0,0,0,1.436626,G7
11001,0.009102,31.84795,1.323037,1.493186,0,0,1.272959,G8
11001,0.010508,87.031273,1.71756,1.833586,0,0,0,G8
11001,0.009269,31.582924,1.361092,1.63912,0,0,1.398472,G8
11001,0.010403,88.510788,1.785503,1.842664,0,0,0,G8
11001,0.008864,34.360435,1.48761,1.578832,0,0,1.496457,G8
11001,0.010401,81.049911,1.585537,1.689582,0,0,0,G8
11001,0.009289,31.013523,1.26745,1.388645,0,0,1.307492,G8
11001,0.010335,71.723534,1.406872,1.484627,0,0,0,G8
11001,0.008903,32.058792,1.319997,1.435065,0,0,1.356813,G8
11001,0.008751,33.020748,1.435508,1.530495,0,0,1.41083,G8
11111,0.009334,16.910755,1.224136,1.324927,1.553876,1.238791,0,G9
11111,0.007592,13.740136,1.074618,1.262787,1.361333,1.338076,1.159443,G9
11111,0.007429,14.779031,1.047285,1.206853,1.33998,1.340826,1.159624,G9
11111,0.008589,11.713248,1.217972,1.308934,1.436707,1.390488,1.196891,G9
11111,1,1,0.999997,0,0,0,0,G9
11111,0.008053,11.588235,1.247905,1.352915,1.45647,1.431388,1.293315,G9
11111,1,1,1.000001,0,0,0,0,G9
11111,0.008228,11.072308,1.33949,1.335647,1.51667,1.479029,1.277968,G9
11111,0.008337,10.192496,1.382982,1.337295,1.551566,1.540406,1.369454,G9
11111,0.008789,16.426311,1.243544,1.592666,1.479567,1.313366,0,G9
0,1,1,0,0,0,0,0,G1
0,1,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,1,1,0,0,0,0,0,G1
0,1,1,0,0,0,0,0,G1
0,1,1,0,0,0,0,0,G1
0,1,1,0,0,0,0,0,G1
0,1,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1101,0.01326,19.429249,0,1.231878,1.262241,0,0.879664,G0
1101,0.012111,22.119347,0,1.213938,1.259384,0,0.978552,G0
1101,0.011576,22.894224,0,1.223794,1.256832,0,0.950819,G0
1101,0.011578,23.186516,0,1.295857,1.321249,0,0.995977,G0
1101,0.013132,19.955507,0,1.549778,1.569884,0,0.60851,G0
1101,0.01185,22.108004,0,1.221951,1.242878,0,0.906979,G0
1101,0.011932,22.267647,0,1.179179,1.158923,0,0.969525,G0
1101,0.011733,22.644402,0,1.218788,1.236561,0,0.961814,G0
1101,0.012033,21.962376,0,1.226584,1.255798,0,0.934295,G0
1101,0.013269,19.529358,0,1.31894,1.312376,0,0.900717,G0
1000,1,1,0,0.999997,0,0,0,G2
1000,1,1,0,1.000006,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,1,1,0,1.000004,0,0,0,G2
1000,1,1,0,0.999998,0,0,0,G2
1000,0.019961,18.586517,0,1.390463,0,0,0,G2
1000,0.019659,18.952829,0,1.409498,0,0,0,G2
1000,0.019598,19.019991,0,1.402402,0,0,0,G2
1000,0.019374,20.502623,0,1.410377,0,0,0,G2
1,1,1,0,0,0,0,1,G3
1,1,1,0,0,0,0,0.999993,G3
1,1,1,0,0,0,0,0.999995,G3
1,1,1,0,0,0,0,0.999996,G3
1,1,1,0,0,0,0,1.000003,G3
1,1,1,0,0,0,0,0.999998,G3
1,0.01554,43.806084,0,0,0,0,0.958515,G3
1,1,1,0,0,0,0,1,G3
1,1,1,0,0,0,0,0.999993,G3
1,1,1,0,0,0,0,0.999996,G3
11000,0.012328,53.363533,1.044876,1.371887,0,0,0,G4
11000,0.011536,55.445675,1.033141,1.32875,0,0,0,G4
11000,0.011128,57.632858,1.035887,1.331885,0,0,0,G4
11000,0.016534,18.210123,1.251108,1.613654,0,0,0,G4
11000,0.017193,17.409941,1.24083,1.683763,0,0,0,G4
11000,0.015802,18.754187,1.275016,1.635225,0,0,0,G4
11000,0.015629,19.466267,1.28149,1.620566,0,0,0,G4
11000,0.015646,19.616816,1.297518,1.662786,0,0,0,G4
11000,0.012082,53.907883,1.055297,1.348256,0,0,0,G4
11000,0.01208,54.080479,1.05845,1.351984,0,0,0,G4
1100,0.0152,35.383423,0,1.075698,1.07374,0,0,G5
1100,0.015219,35.510876,0,1.043374,1.082661,0,0,G5
1100,0.014849,36.217762,0,1.0362,1.077833,0,0,G5
1100,0.011702,28.439514,0,2.48581,2.645688,0,0,G5
1100,0.015345,35.175339,0,1.021521,1.085006,0,0,G5
1100,0.015076,36.02306,0,1.035018,1.089704,0,0,G5
1100,0.015137,35.848511,0,1.045831,1.087224,0,0,G5
1100,0.015417,35.379021,0,1.072834,1.091221,0,0,G5
1100,0.015915,33.79295,0,1.047691,1.07664,0,0,G5
1100,0.01531,35.247337,0,1.062924,1.079592,0,0,G5
1110,0.016703,15.573933,0,1.039738,1.102574,0.968234,0,G6
1110,0.018297,14.413544,0,1.289743,1.354535,0.600769,0,G6
1110,0.014526,17.945267,0,1.053252,1.096192,1.002217,0,G6
1110,0.015055,17.476412,0,1.104144,1.13758,0.98187,0,G6
1110,0.01664,15.826111,0,1.061707,1.123517,1.003842,0,G6
1110,0.016096,16.318581,0,1.039276,1.114566,1.001763,0,G6
1110,0.016718,15.603787,0,1.032271,1.097488,0.996239,0,G6
1110,0.016642,15.716647,0,1.040026,1.105346,0.986661,0,G6
1110,0.016364,16.018442,0,1.030374,1.105451,0.998874,0,G6
1110,0.016364,16.020119,0,1.016862,1.106096,0.989152,0,G6
10001,0.009295,80.422737,1.48451,0,0,0,1.49518,G7
10001,0.010929,41.267994,1.559991,0,0,0,0.991848,G7
10001,0.010705,40.350845,1.528112,0,0,0,1.00054,G7
10001,0.010597,74.734032,1.426544,0,0,0,1.593801,G7
10001,0.010411,76.033142,1.483248,0,0,0,1.586852,G7
10001,0.010765,40.558052,1.558043,0,0,0,0.992799,G7
10001,0.01063,26.645836,1.539908,0,0,0,1.049828,G7
10001,0.012277,26.544914,1.785498,0,0,0,1.063711,G7
10001,0.012637,27.584511,1.8943,0,0,0,1.034967,G7
10001,0.012722,26.861992,1.846189,0,0,0,1.083256,G7
11001,0.014992,17.067598,2.000286,2.868088,0,0,2.240181,G8
11001,0.014084,40.308922,1.181476,0.970399,0,0,0,G8
11001,0.010925,25.895041,1.08657,1.429004,0,0,1.213702,G8
11001,0.011431,24.940514,1.07441,1.459263,0,0,1.144318,G8
11001,0.011112,25.743473,1.064701,1.444367,0,0,1.169844,G8
11001,0.011275,25.42441,1.079627,1.438079,0,0,1.13037,G8
11001,0.011513,24.691273,1.028129,1.474874,0,0,1.198355,G8
11001,0.01142,24.97603,1.024393,1.477353,0,0,1.210169,G8
11001,0.012065,17.722002,1.139236,1.58053,0,0,0.867405,G8
11001,0.016023,18.097288,2.261702,3.207307,0,0,2.541826,G8
11111,0.009365,10.475904,0.987534,1.232345,1.450273,1.37026,1.241736,G9
11111,0.009064,10.736491,0.980029,1.238618,1.403978,1.339413,1.234226,G9
11111,0.00898,10.215485,1.012862,1.358075,1.392547,1.319458,1.194364,G9
11111,0.009104,10.836102,0.963031,1.214734,1.409902,1.352957,1.209856,G9
11111,0.0092,10.868353,0.994655,1.250605,1.382166,1.337317,1.207755,G9
11111,0.0099,9.782095,1.013144,1.311636,1.397076,1.348434,1.1699,G9
11111,0.009947,10.083056,1.022283,1.340071,1.405765,1.300771,1.113184,G9
11111,0.010154,25.220232,0.856836,1.26107,1.239719,0,0,G9
11111,0.010568,25.929398,1.120799,1.566854,1.446449,0,0,G9
11111,0.009201,10.531284,0.97992,1.245702,1.405805,1.372911,1.222945,G9
0,0,0,0,0,0,0,0,G1
0,1,1,0,0,0,0,0,G1
0,0.084103,5.416896,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,1,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1101,0.012041,4.915854,0,1.957854,2.010384,0,1.364175,G0
1101,0.013015,19.595537,0,1.224617,1.244116,0,0.864754,G0
1101,0.013016,19.243837,0,1.229299,1.240213,0,0.836934,G0
1101,0.02434,7.804761,0,4.023008,4.10746,0,3.410824,G0
1101,0.012943,19.793972,0,1.190412,1.207986,0,0.880788,G0
1101,0.01283,20.028419,0,1.208405,1.229555,0,0.881295,G0
1101,0.013519,19.043934,0,1.226237,1.254268,0,0.87878,G0
1101,0.023369,22.023912,0,1.026995,1.029347,0,0,G0
1101,0.012594,1.973912,0,2.166436,2.158539,0,1.457891,G0
1101,0.012185,4.449722,0,2.065204,2.078488,0,1.363215,G0
1000,1,1,0,1.000004,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,1,1,0,0.999996,0,0,0,G2
1000,1,1,0,1.000002,0,0,0,G2
1000,1,1,0,1.000004,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,1,1,0,1.000001,0,0,0,G2
1000,1,1,0,1.000002,0,0,0,G2
1,0.021951,49.595951,0,0,0,0,1.767377,G3
1,0,0,0,0,0,0,0,G3
1,0.016166,53.400436,0,0,0,0,2.123707,G3
1,1,1,0,0,0,0,0.999996,G3
1,1,1,0,0,0,0,1,G3
1,1,1,0,0,0,0,0.999998,G3
1,1,1,0,0,0,0,1,G3
1,1,1,0,0,0,0,1.000006,G3
1,1,1,0,0,0,0,1.000002,G3
1,1,1,0,0,0,0,0.999999,G3
11000,0.012878,50.252277,1.044579,1.342763,0,0,0,G4
11000,0.01306,48.429398,1.02026,1.317112,0,0,0,G4
11000,0.01925,14.786871,1.321736,1.651423,0,0,0,G4
11000,0.012842,50.12207,1.062853,1.324382,0,0,0,G4
11000,1,1,0.999999,0,0,0,0,G4
11000,0.012948,49.292255,1.073794,1.305825,0,0,0,G4
11000,1,1,1,0,0,0,0,G4
11000,0.022598,77.524254,2.426124,3.016753,0,0,0,G4
11000,0.012736,50.425652,1.064021,1.320108,0,0,0,G4
11000,0.024596,34.100098,2.693211,3.576104,0,0,0,G4
1100,0.038341,30.171564,0,2.199013,1.639511,0,0,G5
1100,0.012941,9.168107,0,2.141881,2.164818,0,0,G5
1100,0.013449,11.501387,0,2.333805,2.369005,0,0,G5
1100,0.019839,26.184465,0,1.039329,1.026227,0,0,G5
1100,0.012127,18.09214,0,2.224451,2.196905,0,0,G5
1100,0.019658,26.263199,0,1.031068,1.032578,0,0,G5
1100,0.018716,27.691299,0,1.036524,1.036543,0,0,G5
1100,0.018838,27.695864,0,1.043691,1.033134,0,0,G5
1100,0.018583,28.322369,0,1.053787,1.028065,0,0,G5
1100,0.039843,31.533884,0,2.297198,1.865203,0,0,G5
1110,0.013051,19.914471,0,1.077399,1.096178,0.999451,0,G6
1110,0.012564,7.737838,0,2.026054,2.017691,1.018541,0,G6
1110,0.01325,19.64415,0,1.049706,1.090622,1.000589,0,G6
1110,0.009914,7.008226,0,1.657774,1.69472,1.652385,0,G6
1110,0.013093,19.759106,0,1.060436,1.085205,0.994053,0,G6
1110,0.013391,19.387762,0,1.053888,1.09321,0.987669,0,G6
1110,0.010097,5.810316,0,1.63105,1.675169,1.546914,0,G6
1110,0.012,3.458053,0,1.930304,1.973412,1.798294,0,G6
1110,0.012938,20.15057,0,1.092186,1.095433,1.04096,0,G6
1110,0.013074,20.21986,0,1.102524,1.072247,1.014559,0,G6
