@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R2,4,5,7-11,328'

@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,-0.299509,0.890207,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,-0.364708,0.785661,0,0,0,0,0,G1
0,-0.485387,0.869856,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,-0.295764,0.93356,0,0,0,0,0,G1
1101,0.238329,1.058861,0,1.160427,0.920108,0,0,G0
1101,0.397396,0.832151,0,0.999997,0,0,0,G0
1101,0.493598,0.965314,0,1.173661,1.234522,0,0.942133,G0
1101,0.355675,0.988549,0,1.196519,1.217923,0,0.939192,G0
1101,0.57835,0.895118,0,1.18299,1.232636,0,0.988413,G0
1101,0.724144,0.870628,0,1.191666,1.217141,0,0.975672,G0
1101,0.508686,0.998301,0,1.186488,1.220379,0,0.961907,G0
1101,0.530267,1.068097,0,1.158527,1.233534,0,0.983986,G0
1101,0.362851,1.121722,0,1.190305,0.904634,0,0,G0
1101,0.221858,1.068544,0,1.158608,0.917696,0,0,G0
1000,0,0,0,0,0,0,0,G2
1000,-0.10714,0.827349,0,0.999999,0,0,0,G2
1000,-0.176397,0.885353,0,0.999996,0,0,0,G2
1000,-0.180172,0.929243,0,1.000003,0,0,0,G2
1000,-0.163734,0.943691,0,1.000005,0,0,0,G2
1000,-0.147143,0.935648,0,1.000003,0,0,0,G2
1000,-0.138131,0.873468,0,1.000003,0,0,0,G2
1000,-0.20808,0.727005,0,1.000001,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,-0.358454,0.729622,0,1,0,0,0,G2
1,0.541412,0.83058,0,0,0,0,1.000003,G3
1,0,0,0,0,0,0,0,G3
1,0.462858,0.841609,0,0,0,0,0.999997,G3
1,0.659998,0.728467,0,0,0,0,1.000007,G3
1,0,0,0,0,0,0,0,G3
1,0.476256,0.828946,0,0,0,0,1.000001,G3
1,0.392557,0.889354,0,0,0,0,0.999997,G3
1,0.390461,0.873453,0,0,0,0,1.000003,G3
1,0.306161,0.746036,0,0,0,0,1.000001,G3
1,0.465563,0.87375,0,0,0,0,1.000002,G3
11000,-0.308619,1.28561,1.145792,1.390461,0,0,0,G4
11000,-0.193841,1.128605,1.337237,1.440097,0,0,0,G4
11000,0.761958,-0.644317,1.000008,0,0,0,0,G4
11000,-0.870415,0.246019,0.999998,0,0,0,0,G4
11000,-0.442109,0.342575,1.323784,0.890024,0,0,0,G4
11000,2.217399,3.957813,4.375272,4.654198,0,0,0,G4
11000,0.025788,2.411074,2.582871,2.650864,0,0,0,G4
11000,-0.216412,1.204008,1.264772,1.321828,0,0,0,G4
11000,-0.337742,1.27062,1.268483,1.443238,0,0,0,G4
11000,-0.201674,1.357879,1.361627,1.547966,0,0,0,G4
1100,0.057267,0.972637,0,1.000006,0,0,0,G5
1100,0.064748,0.974128,0,0.996102,1.052119,0,0,G5
1100,-0.022499,0.867764,0,1.002487,1.05151,0,0,G5
1100,-0.009446,0.877682,0,1.006217,1.047653,0,0,G5
1100,0.006147,0.997972,0,1.015902,1.033491,0,0,G5
1100,0.019301,0.960213,0,1.000003,0,0,0,G5
1100,0.039962,1.034228,0,0.991394,1.079594,0,0,G5
1100,0.032045,0.996419,0,1.000001,0,0,0,G5
1100,0,0,0,0,0,0,0,G5
1100,0.08606,0.969423,0,0.999999,0,0,0,G5
