@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R2,5,6,7-11,12-43,328'

@attribute fingersExtended numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute silhouette1 numeric
@attribute silhouette2 numeric
@attribute silhouette3 numeric
@attribute silhouette4 numeric
@attribute silhouette5 numeric
@attribute silhouette6 numeric
@attribute silhouette7 numeric
@attribute silhouette8 numeric
@attribute silhouette9 numeric
@attribute silhouette10 numeric
@attribute silhouette11 numeric
@attribute silhouette12 numeric
@attribute silhouette13 numeric
@attribute silhouette14 numeric
@attribute silhouette15 numeric
@attribute silhouette16 numeric
@attribute silhouette17 numeric
@attribute silhouette18 numeric
@attribute silhouette19 numeric
@attribute silhouette20 numeric
@attribute silhouette21 numeric
@attribute silhouette22 numeric
@attribute silhouette23 numeric
@attribute silhouette24 numeric
@attribute silhouette25 numeric
@attribute silhouette26 numeric
@attribute silhouette27 numeric
@attribute silhouette28 numeric
@attribute silhouette29 numeric
@attribute silhouette30 numeric
@attribute silhouette31 numeric
@attribute silhouette32 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,0.890207,1,0,0,0,0,0,216.352539,213.129135,200.005875,189.60788,187.638229,195.297272,185.047409,202.438599,186.210281,185.247177,192.042984,218.628052,235.255356,232.353775,214.777405,220.093811,213.247772,203.859604,208.531662,204.015411,210.848877,223.05983,213.704544,205.348709,205.315781,213.704575,232.380264,257.441223,244.666992,226.148132,225.407379,220.448059,G1
0,0,0,0,0,0,0,0,217.479568,206.936005,199.826782,195.369293,180.362045,161.884964,173.744614,160.663681,172.104126,167.179901,174.855789,219.68161,240.086304,215.177643,210.908905,216.868881,202.393204,202.221207,194.452271,188.41629,193.968994,194.495743,184.380524,177.202911,177.16954,184.380524,200.329086,229.687637,255.955872,234.090607,227.70546,213.534103,G1
0,0,0,0,0,0,0,0,220.170135,220.861969,210.42894,190.72876,176.957092,162.146362,182.404282,178.768417,179.014313,182.024261,182.676346,203.647003,234.690781,229.418121,228.182388,216.303757,207.466812,200.206055,190.421555,186.818024,187.946747,186.460876,186.627197,180.183044,180.150177,187.567917,203.913025,233.59906,259.325928,240.747711,229.01004,220.448059,G1
0,0,0,0,0,0,0,0,198.086151,195.077408,178.898346,163.724548,169.094147,168.654205,155.329193,162.656891,162.73027,169.29216,197.92009,224.770218,219.426987,233.484985,218.186768,213.238129,217.565811,215.500259,202.813889,204.140701,210.17067,210.939758,195.951477,188.262497,188.229279,195.951477,212.867584,241.763412,245.763245,233.123947,224.978043,218.881393,G1
0,0,0,0,0,0,0,0,214.353561,224.532852,212.643356,183.573151,158.799255,150.876465,170.023453,173.979492,183.581848,194.16185,197.330078,211.175446,233.56752,225.204193,228.320648,208.619644,204.32222,203.657837,189.813156,193.610703,198.83075,203.463821,195.951477,188.262497,188.229279,195.951477,212.867584,243.927567,250.319458,230.705688,219.05513,212.678619,G1
0,0,0,0,0,0,0,0,210.502701,220.422684,214.997437,205.734146,201.903275,199.451569,203.36676,197.84256,200.932983,212.708298,201.350433,233.749146,232.480682,240.470032,221.009262,210.55545,207.987793,208.814484,201.277924,198.343964,197.516815,204.521255,215.160202,210.381805,210.348907,218.931946,237.973251,272.71344,280.557495,248.209946,229.386642,218.076462,G1
0,0.785661,1,0,0,0,0,0,194.969589,198.041016,201.770111,198.980438,191.38443,189.593903,199.259857,195.258469,209.552338,217.115417,229.633591,222.159271,227.422226,212.858582,201.440399,196.416397,195.236465,187.868591,184.897675,190.174088,208.925232,223.703018,228.56633,220.448059,220.415222,229.386642,249.410431,264.05423,232.936661,219.090164,204.699493,194.059265,G1
0,0.869856,1,0,0,0,0,0,208.770615,220.804276,203.268539,198.021042,203.611343,184.903976,189.703171,185.042007,188.615082,184.346954,185.956757,214.133865,219.268921,233.233337,218.626526,207.537796,206.315125,197.742828,185.449722,181.406845,185.059235,190.568665,195.932373,188.262497,188.229279,195.951477,212.867584,243.927567,254.249634,226.070313,215.289658,216.182922,G1
0,0,0,0,0,0,0,0,214.703537,205.60704,190.495895,181.800385,178.085602,173.419724,178.135345,182.819885,181.846939,183.57373,186.615402,204.971588,220.078644,221.79332,216.560211,219.156265,216.279144,212.981506,197.566437,195.383911,201.319641,205.675049,192.795242,185.216156,185.183304,192.795242,209.505966,237.790192,234.726349,224.281479,214.298874,204.517776,G1
