@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,4,6,194-199,200-263,328'

@attribute ratio numeric
@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute cellOccupancyNonZ1 numeric
@attribute cellOccupancyNonZ2 numeric
@attribute cellOccupancyNonZ3 numeric
@attribute cellOccupancyNonZ4 numeric
@attribute cellOccupancyNonZ5 numeric
@attribute cellOccupancyNonZ6 numeric
@attribute cellOccupancyNonZ7 numeric
@attribute cellOccupancyNonZ8 numeric
@attribute cellOccupancyNonZ9 numeric
@attribute cellOccupancyNonZ10 numeric
@attribute cellOccupancyNonZ11 numeric
@attribute cellOccupancyNonZ12 numeric
@attribute cellOccupancyNonZ13 numeric
@attribute cellOccupancyNonZ14 numeric
@attribute cellOccupancyNonZ15 numeric
@attribute cellOccupancyNonZ16 numeric
@attribute cellOccupancyNonZ17 numeric
@attribute cellOccupancyNonZ18 numeric
@attribute cellOccupancyNonZ19 numeric
@attribute cellOccupancyNonZ20 numeric
@attribute cellOccupancyNonZ21 numeric
@attribute cellOccupancyNonZ22 numeric
@attribute cellOccupancyNonZ23 numeric
@attribute cellOccupancyNonZ24 numeric
@attribute cellOccupancyNonZ25 numeric
@attribute cellOccupancyNonZ26 numeric
@attribute cellOccupancyNonZ27 numeric
@attribute cellOccupancyNonZ28 numeric
@attribute cellOccupancyNonZ29 numeric
@attribute cellOccupancyNonZ30 numeric
@attribute cellOccupancyNonZ31 numeric
@attribute cellOccupancyNonZ32 numeric
@attribute cellOccupancyNonZ33 numeric
@attribute cellOccupancyNonZ34 numeric
@attribute cellOccupancyNonZ35 numeric
@attribute cellOccupancyNonZ36 numeric
@attribute cellOccupancyNonZ37 numeric
@attribute cellOccupancyNonZ38 numeric
@attribute cellOccupancyNonZ39 numeric
@attribute cellOccupancyNonZ40 numeric
@attribute cellOccupancyNonZ41 numeric
@attribute cellOccupancyNonZ42 numeric
@attribute cellOccupancyNonZ43 numeric
@attribute cellOccupancyNonZ44 numeric
@attribute cellOccupancyNonZ45 numeric
@attribute cellOccupancyNonZ46 numeric
@attribute cellOccupancyNonZ47 numeric
@attribute cellOccupancyNonZ48 numeric
@attribute cellOccupancyNonZ49 numeric
@attribute cellOccupancyNonZ50 numeric
@attribute cellOccupancyNonZ51 numeric
@attribute cellOccupancyNonZ52 numeric
@attribute cellOccupancyNonZ53 numeric
@attribute cellOccupancyNonZ54 numeric
@attribute cellOccupancyNonZ55 numeric
@attribute cellOccupancyNonZ56 numeric
@attribute cellOccupancyNonZ57 numeric
@attribute cellOccupancyNonZ58 numeric
@attribute cellOccupancyNonZ59 numeric
@attribute cellOccupancyNonZ60 numeric
@attribute cellOccupancyNonZ61 numeric
@attribute cellOccupancyNonZ62 numeric
@attribute cellOccupancyNonZ63 numeric
@attribute cellOccupancyNonZ64 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,-0.299509,1,0.012762,0,0,0,0,0,0,563,1501,2225,1764,526,0,0,0,2772,3600,3600,3600,3495,1511,0,829,3441,3600,3600,3600,3600,3596,1342,499,3186,3600,3600,3600,3600,3600,1500,946,3536,3600,3600,3600,3600,3600,1500,0,3087,3600,3600,3600,3600,3600,1500,0,349,3226,3600,3600,3600,3600,1425,0,0,530,2138,2339,1770,763,20,G1
0,0,0,0.007035,0.014577,0.010296,0.006373,0,0,0,358,828,1995,1271,158,0,0,0,3227,3600,3600,3600,3101,479,0,0,2080,3600,3600,3600,3600,3108,0,0,2883,3600,3600,3600,3600,3420,0,0,2771,3600,3600,3600,3600,3420,0,0,1484,3600,3600,3600,3600,3420,0,0,605,3213,3600,3600,3600,3420,0,0,0,439,2038,2213,2046,1255,0,G1
0,0,0,0.009575,0.010385,0,0,0,0,0,286,1922,2209,1410,202,0,0,0,2284,3600,3600,3600,2845,395,0,0,2575,3600,3600,3600,3600,2736,0,16,3476,3600,3600,3600,3600,3600,0,0,3529,3600,3600,3600,3600,3600,0,0,1553,3600,3600,3600,3600,3600,0,0,274,3393,3600,3600,3600,3600,0,0,0,1058,2369,2400,2334,1694,0,G1
0,0,0,0.009365,0,0,0,0,0,0,152,1795,1992,2093,716,0,0,131,2515,3600,3600,3600,3385,1433,10,213,3302,3600,3600,3600,3600,3600,444,2,2616,3600,3600,3600,3600,3600,480,7,2257,3600,3600,3600,3600,3600,480,0,1397,3592,3600,3600,3600,3600,480,0,0,1837,3600,3600,3600,3600,467,0,0,70,1011,2338,1934,903,0,G1
0,0,0,0.014088,0.00892,0.006244,0,0,0,0,150,1902,1864,1440,151,0,0,0,2965,3600,3600,3600,2880,785,0,163,3067,3600,3600,3600,3600,3468,264,357,3600,3600,3600,3595,3600,3600,480,16,3113,3600,3531,3420,3600,3600,480,0,540,3598,3414,3600,3600,3600,480,0,22,3249,3600,3600,3600,3600,480,0,0,1341,2166,1939,1808,904,120,G1
0,0,0,0.008434,0,0,0,0,0,0,381,2214,1760,1708,446,0,0,337,3158,3600,3600,3600,3294,912,0,475,3305,3407,3600,3600,3600,3398,666,1440,3600,3600,3600,3600,3600,3600,1800,1218,3600,3600,3600,3600,3600,3600,1800,269,3374,3600,3600,3600,3600,3600,1800,0,1230,3586,3600,3600,3600,3600,1800,0,0,1177,2017,2327,2400,2184,1146,G1
1,-0.364708,1,0.007413,0,0,0,0,0,0,160,545,948,671,0,0,0,34,2766,3600,3600,3580,2539,1173,0,1816,3428,3600,3600,3600,3600,3588,1776,1738,3572,3600,3600,3447,3600,3600,2400,919,3600,3600,3600,3600,3600,3600,2400,228,2790,3600,3600,3600,3600,3600,2400,0,892,3375,3600,3600,3600,3400,2148,0,0,295,885,918,962,312,6,G1
1,-0.485387,1,0.01195,0.006922,0.00727,0,0,0,0,135,1915,1695,1375,77,0,0,102,2550,3600,3600,3600,2554,237,0,2,2600,3600,3600,3600,3600,2828,151,394,3583,3600,3600,3600,3600,3600,480,281,3600,3600,3600,3600,3600,3600,480,12,2972,3600,3600,3600,3600,3600,480,0,1061,3341,3600,3600,3600,3600,480,0,0,849,1989,2169,1302,1152,128,G1
0,0,0,0.011012,0,0,0,0,0,0,52,1307,2137,2144,415,0,0,36,2560,3600,3600,3600,3128,963,0,12,2667,3600,3600,3600,3600,3499,228,68,3523,3600,3600,3600,3600,3600,300,98,3426,3600,3600,3600,3600,3600,300,0,1937,3600,3600,3600,3600,3600,300,0,174,2759,3600,3600,3600,3550,265,0,0,225,1930,1711,1436,265,0,G1
