@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,4,7-11,200-263,264-327,328'

@attribute ratio numeric
@attribute Max_X numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute cellOccupancyNonZ1 numeric
@attribute cellOccupancyNonZ2 numeric
@attribute cellOccupancyNonZ3 numeric
@attribute cellOccupancyNonZ4 numeric
@attribute cellOccupancyNonZ5 numeric
@attribute cellOccupancyNonZ6 numeric
@attribute cellOccupancyNonZ7 numeric
@attribute cellOccupancyNonZ8 numeric
@attribute cellOccupancyNonZ9 numeric
@attribute cellOccupancyNonZ10 numeric
@attribute cellOccupancyNonZ11 numeric
@attribute cellOccupancyNonZ12 numeric
@attribute cellOccupancyNonZ13 numeric
@attribute cellOccupancyNonZ14 numeric
@attribute cellOccupancyNonZ15 numeric
@attribute cellOccupancyNonZ16 numeric
@attribute cellOccupancyNonZ17 numeric
@attribute cellOccupancyNonZ18 numeric
@attribute cellOccupancyNonZ19 numeric
@attribute cellOccupancyNonZ20 numeric
@attribute cellOccupancyNonZ21 numeric
@attribute cellOccupancyNonZ22 numeric
@attribute cellOccupancyNonZ23 numeric
@attribute cellOccupancyNonZ24 numeric
@attribute cellOccupancyNonZ25 numeric
@attribute cellOccupancyNonZ26 numeric
@attribute cellOccupancyNonZ27 numeric
@attribute cellOccupancyNonZ28 numeric
@attribute cellOccupancyNonZ29 numeric
@attribute cellOccupancyNonZ30 numeric
@attribute cellOccupancyNonZ31 numeric
@attribute cellOccupancyNonZ32 numeric
@attribute cellOccupancyNonZ33 numeric
@attribute cellOccupancyNonZ34 numeric
@attribute cellOccupancyNonZ35 numeric
@attribute cellOccupancyNonZ36 numeric
@attribute cellOccupancyNonZ37 numeric
@attribute cellOccupancyNonZ38 numeric
@attribute cellOccupancyNonZ39 numeric
@attribute cellOccupancyNonZ40 numeric
@attribute cellOccupancyNonZ41 numeric
@attribute cellOccupancyNonZ42 numeric
@attribute cellOccupancyNonZ43 numeric
@attribute cellOccupancyNonZ44 numeric
@attribute cellOccupancyNonZ45 numeric
@attribute cellOccupancyNonZ46 numeric
@attribute cellOccupancyNonZ47 numeric
@attribute cellOccupancyNonZ48 numeric
@attribute cellOccupancyNonZ49 numeric
@attribute cellOccupancyNonZ50 numeric
@attribute cellOccupancyNonZ51 numeric
@attribute cellOccupancyNonZ52 numeric
@attribute cellOccupancyNonZ53 numeric
@attribute cellOccupancyNonZ54 numeric
@attribute cellOccupancyNonZ55 numeric
@attribute cellOccupancyNonZ56 numeric
@attribute cellOccupancyNonZ57 numeric
@attribute cellOccupancyNonZ58 numeric
@attribute cellOccupancyNonZ59 numeric
@attribute cellOccupancyNonZ60 numeric
@attribute cellOccupancyNonZ61 numeric
@attribute cellOccupancyNonZ62 numeric
@attribute cellOccupancyNonZ63 numeric
@attribute cellOccupancyNonZ64 numeric
@attribute cellOccupancyAvg1 numeric
@attribute cellOccupancyAvg2 numeric
@attribute cellOccupancyAvg3 numeric
@attribute cellOccupancyAvg4 numeric
@attribute cellOccupancyAvg5 numeric
@attribute cellOccupancyAvg6 numeric
@attribute cellOccupancyAvg7 numeric
@attribute cellOccupancyAvg8 numeric
@attribute cellOccupancyAvg9 numeric
@attribute cellOccupancyAvg10 numeric
@attribute cellOccupancyAvg11 numeric
@attribute cellOccupancyAvg12 numeric
@attribute cellOccupancyAvg13 numeric
@attribute cellOccupancyAvg14 numeric
@attribute cellOccupancyAvg15 numeric
@attribute cellOccupancyAvg16 numeric
@attribute cellOccupancyAvg17 numeric
@attribute cellOccupancyAvg18 numeric
@attribute cellOccupancyAvg19 numeric
@attribute cellOccupancyAvg20 numeric
@attribute cellOccupancyAvg21 numeric
@attribute cellOccupancyAvg22 numeric
@attribute cellOccupancyAvg23 numeric
@attribute cellOccupancyAvg24 numeric
@attribute cellOccupancyAvg25 numeric
@attribute cellOccupancyAvg26 numeric
@attribute cellOccupancyAvg27 numeric
@attribute cellOccupancyAvg28 numeric
@attribute cellOccupancyAvg29 numeric
@attribute cellOccupancyAvg30 numeric
@attribute cellOccupancyAvg31 numeric
@attribute cellOccupancyAvg32 numeric
@attribute cellOccupancyAvg33 numeric
@attribute cellOccupancyAvg34 numeric
@attribute cellOccupancyAvg35 numeric
@attribute cellOccupancyAvg36 numeric
@attribute cellOccupancyAvg37 numeric
@attribute cellOccupancyAvg38 numeric
@attribute cellOccupancyAvg39 numeric
@attribute cellOccupancyAvg40 numeric
@attribute cellOccupancyAvg41 numeric
@attribute cellOccupancyAvg42 numeric
@attribute cellOccupancyAvg43 numeric
@attribute cellOccupancyAvg44 numeric
@attribute cellOccupancyAvg45 numeric
@attribute cellOccupancyAvg46 numeric
@attribute cellOccupancyAvg47 numeric
@attribute cellOccupancyAvg48 numeric
@attribute cellOccupancyAvg49 numeric
@attribute cellOccupancyAvg50 numeric
@attribute cellOccupancyAvg51 numeric
@attribute cellOccupancyAvg52 numeric
@attribute cellOccupancyAvg53 numeric
@attribute cellOccupancyAvg54 numeric
@attribute cellOccupancyAvg55 numeric
@attribute cellOccupancyAvg56 numeric
@attribute cellOccupancyAvg57 numeric
@attribute cellOccupancyAvg58 numeric
@attribute cellOccupancyAvg59 numeric
@attribute cellOccupancyAvg60 numeric
@attribute cellOccupancyAvg61 numeric
@attribute cellOccupancyAvg62 numeric
@attribute cellOccupancyAvg63 numeric
@attribute cellOccupancyAvg64 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,-0.299509,0,0,0,0,0,0,563,1501,2225,1764,526,0,0,0,2772,3600,3600,3600,3495,1511,0,829,3441,3600,3600,3600,3600,3596,1342,499,3186,3600,3600,3600,3600,3600,1500,946,3536,3600,3600,3600,3600,3600,1500,0,3087,3600,3600,3600,3600,3600,1500,0,349,3226,3600,3600,3600,3600,1425,0,0,530,2138,2339,1770,763,20,0,2.074722,6.531111,10.656667,7.851666,1.904444,0,0,0,12.950556,18,18,18,17.136389,6.498055,0,2.906389,15.915277,18,18,18,18,17.894167,6.296389,2.0425,14.693334,18,18,18,18,18,7.5,4.269166,17.379999,18,18,18,18,18,7.5,0,14.2675,17.891388,17.78861,18,18,18,7.5,0,1.159444,14.853333,17.853611,18,18,17.978889,6.796667,0,0,1.999444,9.922222,11.474167,7.874444,2.7825,0.021667,G1
0,0,0,0,0,0,0,0,358,828,1995,1271,158,0,0,0,3227,3600,3600,3600,3101,479,0,0,2080,3600,3600,3600,3600,3108,0,0,2883,3600,3600,3600,3600,3420,0,0,2771,3600,3600,3600,3600,3420,0,0,1484,3600,3600,3600,3600,3420,0,0,605,3213,3600,3600,3600,3420,0,0,0,439,2038,2213,2046,1255,0,0,1.014167,3.193889,9.225833,5.495,0.449722,0,0,0,15.154166,17.598888,17.968889,17.421389,13.835278,1.706389,0,0,9.046389,17.143333,17.16,17.043612,17,14.1875,0,0,12.708889,17,17,17,17,16.15,0,0,11.949722,17,17,17,17,16.15,0,0,5.909444,17,17,17,17,16.15,0,0,2.311389,14.690278,17,17,17,16.15,0,0,0,1.596667,8.948334,9.761666,9.034445,5.066667,0,G1
0,0,0,0,0,0,0,0,286,1922,2209,1410,202,0,0,0,2284,3600,3600,3600,2845,395,0,0,2575,3600,3600,3600,3600,2736,0,16,3476,3600,3600,3600,3600,3600,0,0,3529,3600,3600,3600,3600,3600,0,0,1553,3600,3600,3600,3600,3600,0,0,274,3393,3600,3600,3600,3600,0,0,0,1058,2369,2400,2334,1694,0,0,0.758333,7.803611,9.2,5.580833,0.61,0,0,0,9.227777,16,16,16,12.033334,1.331667,0,0,10.594722,16,16,16,16,11.376667,0,0.054722,14.878889,16,16,16,16,16,0,0,14.360278,15.162222,15.834444,16,16,16,0,0,5.605,15,15.339167,16,15.951944,15.969722,0,0,0.774722,14.1,15.998055,15.710556,15.372222,15.909722,0,0,0,4.069445,10.23,10.645278,9.882222,6.528333,0,G1
0,0,0,0,0,0,0,0,152,1795,1992,2093,716,0,0,131,2515,3600,3600,3600,3385,1433,10,213,3302,3600,3600,3600,3600,3600,444,2,2616,3600,3600,3600,3600,3600,480,7,2257,3600,3600,3600,3600,3600,480,0,1397,3592,3600,3600,3600,3600,480,0,0,1837,3600,3600,3600,3600,467,0,0,70,1011,2338,1934,903,0,0,0.428611,7.200278,8.148889,8.861944,2.659722,0,0,0.309722,9.786389,15.560555,16,16,14.731112,5.408889,0.006111,0.717222,13.488334,15.730833,16,16,16,15.952778,1.853333,0.000833,10.2825,15.229445,15.342222,16,16,16,2.133333,0.005,8.530556,15,15.035833,15.867778,16,15.946389,2.121389,0,5.126667,14.878889,15,15.353889,15.803889,15.095278,2,0,0,6.765,15.028889,15.703889,15.138333,15.188056,1.917222,0,0,0.124167,3.576111,9.932777,7.915555,3.282778,0,G1
0,0,0,0,0,0,0,0,150,1902,1864,1440,151,0,0,0,2965,3600,3600,3600,2880,785,0,163,3067,3600,3600,3600,3600,3468,264,357,3600,3600,3600,3595,3600,3600,480,16,3113,3600,3531,3420,3600,3600,480,0,540,3598,3414,3600,3600,3600,480,0,22,3249,3600,3600,3600,3600,480,0,0,1341,2166,1939,1808,904,120,0,0.336667,8.169167,8.050278,6.040278,0.430833,0,0,0,12.796667,16.931944,17,17,12.909722,2.977778,0,0.415556,13.796389,17,17,17,17,15.976666,1.054722,0.946389,16.815556,16.613611,16.665556,16.796389,17,17,2.266667,0.007222,12.674167,16,14.997222,15.079166,16.584167,16.240833,2.1675,0,1.368611,15.841389,14.073055,16.043612,16,16,2.133333,0,0.023333,13.815278,16,16,16,16.00639,2.149722,0,0,5.265555,8.88,7.855278,7.301389,3.352778,0.482222,G1
0,0,0,0,0,0,0,0,381,2214,1760,1708,446,0,0,337,3158,3600,3600,3600,3294,912,0,475,3305,3407,3600,3600,3600,3398,666,1440,3600,3600,3600,3600,3600,3600,1800,1218,3600,3600,3600,3600,3600,3600,1800,269,3374,3600,3600,3600,3600,3600,1800,0,1230,3586,3600,3600,3600,3600,1800,0,0,1177,2017,2327,2400,2184,1146,0,1.255556,9.876111,7.501667,7.244167,1.388889,0,0,1.062222,14.266945,16.644167,17,17,15.069445,3.534167,0,1.5775,14.392222,15.328333,17,17,17,15.59,2.480833,6.194167,17,17,17,17.006945,17,17,8.500556,4.809722,17,17,17,17.263611,17,17,8.5,0.688889,15.260278,17,17,17,17,17,8.5,0,4.856111,16.7875,17,17,17,17,8.5,0,0,4.622778,8.699445,10.764167,11.333333,9.643888,5.1925,G1
1,-0.364708,0,0,0,0,0,0,160,545,948,671,0,0,0,34,2766,3600,3600,3580,2539,1173,0,1816,3428,3600,3600,3600,3600,3588,1776,1738,3572,3600,3600,3447,3600,3600,2400,919,3600,3600,3600,3600,3600,3600,2400,228,2790,3600,3600,3600,3600,3600,2400,0,892,3375,3600,3600,3600,3400,2148,0,0,295,885,918,962,312,6,0,0.424722,1.68,3.933889,2.536389,0,0,0,0.054444,12.141666,17,17,16.7925,11.040833,4.661389,0,6.992778,14.167222,16.769167,17,17,17,16.817499,7.466111,6.900278,16.343611,17,16.925278,14.750278,17,17,11.333333,3.5225,17,17,16.956944,17.213612,17,17,11.333333,0.651111,12.309722,17,17,17.131666,17,17,11.333333,0,3.438889,15.604722,17.557222,17.0075,17,15.61,9.530556,0,0,0.926667,3.646667,3.638889,4.211667,1.017778,0.003889,G1
1,-0.485387,0,0,0,0,0,0,135,1915,1695,1375,77,0,0,102,2550,3600,3600,3600,2554,237,0,2,2600,3600,3600,3600,3600,2828,151,394,3583,3600,3600,3600,3600,3600,480,281,3600,3600,3600,3600,3600,3600,480,12,2972,3600,3600,3600,3600,3600,480,0,1061,3341,3600,3600,3600,3600,480,0,0,849,1989,2169,1302,1152,128,0,0.270556,8.8775,7.570556,6.042778,0.208611,0,0,0.242222,12.236111,19,19,19,12.453055,0.824167,0,0.000556,12.067223,19,19,19,19,14.024167,0.643611,1.762222,18.741112,19,19,19,19,19,2.533333,0.8025,18.891111,19,19,18.998333,18.577223,18.374166,2.48,0.003333,14.061111,18.698334,18.989445,18.440834,18,18,2.4,0,4.483889,17.057777,18.906944,18.002222,18,18.003334,2.4,0,0,3.633611,9.556666,10.468611,5.498611,4.937778,0.505,G1
0,0,0,0,0,0,0,0,52,1307,2137,2144,415,0,0,36,2560,3600,3600,3600,3128,963,0,12,2667,3600,3600,3600,3600,3499,228,68,3523,3600,3600,3600,3600,3600,300,98,3426,3600,3600,3600,3600,3600,300,0,1937,3600,3600,3600,3600,3600,300,0,174,2759,3600,3600,3600,3550,265,0,0,225,1930,1711,1436,265,0,0,0.074167,5.979445,10.729167,10.385834,1.550278,0,0,0.053056,12.364166,18.999722,19,19,15.829722,4.233333,0,0.0125,12.519444,19,19,19,19,18.072222,1.106944,0.107222,18.189167,19,19,19,19,19,1.583333,0.219444,17.522499,18.960278,18.929722,19,18.554722,18.184723,1.516667,0,8.833055,18.482222,18.749722,18.793612,18.021944,18,1.5,0,0.555278,13.595834,19,18.646667,18.242222,17.816668,1.296111,0,0,0.716667,9.402223,7.596667,6.498333,0.730833,0,G1
