@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,194-199,328'

@attribute ratio numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0.890207,1,0.012762,0,0,0,0,0,G1
0,0,0,0.007035,0.014577,0.010296,0.006373,0,0,G1
0,0,0,0.009575,0.010385,0,0,0,0,G1
0,0,0,0.009365,0,0,0,0,0,G1
0,0,0,0.014088,0.00892,0.006244,0,0,0,G1
0,0,0,0.008434,0,0,0,0,0,G1
1,0.785661,1,0.007413,0,0,0,0,0,G1
1,0.869856,1,0.01195,0.006922,0.00727,0,0,0,G1
0,0,0,0.011012,0,0,0,0,0,G1
1,0.93356,1,0,0,0,0,0,0,G1
0.016534,1.058861,32.128532,0.124692,0.074136,0.073255,0.072733,0,0,G0
1,0.832151,1,0.145977,0.118052,0.051122,0.041216,0,0,G0
0.011292,0.965314,23.471453,0.173859,0.129458,0.082507,0.123899,0,0,G0
0.010951,0.988549,23.955109,0.149135,0.109395,0.10735,0.105841,0,0,G0
0.011335,0.895118,23.617138,0.169718,0.109388,0.054539,0.142032,0,0,G0
0.011234,0.870628,23.632465,0.171346,0.097963,0.036352,0.067886,0,0,G0
0.011063,0.998301,23.944956,0.162618,0.124563,0.083058,0.072478,0,0,G0
0.011482,1.068097,23.390223,0.164187,0.099862,0.093679,0.088174,0,0,G0
0.017025,1.121722,31.454571,0.127814,0.075727,0.066408,0.072443,0,0,G0
0.016541,1.068544,31.916876,0.103931,0.056271,0.052802,0.103281,0,0,G0
0,0,0,0.057495,0.076025,0.020197,0,0,0,G2
1,0.827349,1,0.015132,0.155957,0.125947,0.029168,0,0,G2
1,0.885353,1,0.119065,0.12577,0.012629,0.05132,0,0,G2
1,0.929243,1,0.110145,0.106031,0.049016,0,0,0,G2
1,0.943691,1,0.132636,0.083818,0.026107,0,0,0,G2
1,0.935648,1,0.150864,0.083676,0.024261,0,0,0,G2
1,0.873468,1,0.015197,0.134069,0.100815,0.029108,0,0,G2
1,0.727005,1,0.106864,0.089145,0.021939,0.065012,0,0,G2
0,0,0,0.070459,0.073568,0.033311,0,0,0,G2
1,0.729622,1,0.011758,0.084522,0.134302,0.017631,0.073544,0,G2
1,0.83058,1,0.0116,0.130924,0,0,0,0,G3
0,0,0,0.129087,0.007894,0,0,0,0,G3
1,0.841609,1,0.155491,0,0,0,0,0,G3
1,0.728467,1,0.142233,0,0,0,0,0,G3
0,0,0,0.009513,0.123307,0,0,0,0,G3
1,0.828946,1,0.128014,0.008506,0,0,0,0,G3
1,0.889354,1,0.008272,0.138489,0,0,0,0,G3
1,0.873453,1,0.010841,0.152462,0,0,0,0,G3
1,0.746036,1,0.007041,0.136775,0.010631,0,0,0,G3
1,0.87375,1,0.132526,0,0,0,0,0,G3
0.00996,1.28561,68.443039,0.04308,0.358627,0.015719,0,0,0,G4
0.009741,1.128605,73.717079,0.173122,0.397162,0,0,0,0,G4
1,-0.644317,1,0.197645,0.386167,0,0,0,0,G4
1,0.246019,1,0.179507,0.03626,0.01814,0.021025,0,0,G4
0.01593,0.342575,36.890366,0.177901,0.332878,0.015976,0,0,0,G4
0.026462,3.957813,99.374763,0.6086,0.019323,0.037715,0,0,0,G4
0.020799,2.411074,54.74033,0.173765,0.425073,0,0,0,0,G4
0.010248,1.204008,64.424599,0.136039,0.384642,0,0,0,0,G4
0.010268,1.27062,69.695953,0.031681,0.065111,0.85783,0,0,0,G4
0.010397,1.357879,73.834328,0.178761,0.287226,0.033448,0,0,0,G4
1,0.972637,1,0.104233,0.097247,0.072158,0.013314,0,0,G5
0.020365,0.974128,25.616379,0.136918,0.119265,0.079905,0.028586,0,0,G5
0.020396,0.867764,25.629665,0.119061,0.115479,0.087429,0.042242,0,0,G5
0.020314,0.877682,25.679893,0.109824,0.121709,0.075418,0.041668,0,0,G5
0.019104,0.997972,27.027773,0.115569,0.121238,0.077003,0.015418,0,0,G5
1,0.960213,1,0.10853,0.093604,0.065521,0.022649,0,0,G5
0.019072,1.034228,27.902817,0.110383,0.138416,0.063834,0,0,0,G5
1,0.996419,1,0.070737,0.446364,0.014821,0,0,0,G5
0,0,0,5.070341,0,0,0,0,0,G5
1,0.969423,1,0.081998,0.103293,0.081337,0,0,0,G5
0.014228,0.993641,18.979395,0.070129,0.089135,0.189076,0.06539,0,0,G6
1,0.938215,1,0.029986,0.018855,0.111913,0.047883,0.020298,0,G6
0.014499,0.926696,18.622959,0.119303,0.045671,0.080207,0.054959,0.043483,0,G6
0.014726,0.912681,18.366129,0.115524,0.031475,0.083998,0.050002,0.045411,0,G6
0.015094,0.922221,17.936562,0.041306,0.057525,0.191123,0.10808,0.013384,0,G6
0.015183,1.078765,17.76836,0.101114,0.02695,0.120904,0.057596,0,0,G6
0.015188,1.005026,17.800419,0.036556,0.093036,0.103619,0.01634,0.034482,0,G6
0.014549,0.745789,38.0121,0.074672,0.076716,0.051683,0.0691,0,0,G6
0.014668,1.073336,18.599554,0.091073,0.088069,0.050481,0.060475,0,0,G6
0.01502,1.170329,18.201717,0.070088,0.117477,0.055,0,0,0,G6
0.010028,0.81088,69.908165,0.031267,0.144009,0.087523,0.01354,0,0,G7
0.009677,1.022262,77.238541,0.358552,0.016289,0,0,0,0,G7
