@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,194-199,328'

@attribute ratio numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0.012762,0,0,0,0,0,G1
0,0.007035,0.014577,0.010296,0.006373,0,0,G1
0,0.009575,0.010385,0,0,0,0,G1
0,0.009365,0,0,0,0,0,G1
0,0.014088,0.00892,0.006244,0,0,0,G1
0,0.008434,0,0,0,0,0,G1
1,0.007413,0,0,0,0,0,G1
1,0.01195,0.006922,0.00727,0,0,0,G1
0,0.011012,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
0.016534,0.124692,0.074136,0.073255,0.072733,0,0,G0
1,0.145977,0.118052,0.051122,0.041216,0,0,G0
0.011292,0.173859,0.129458,0.082507,0.123899,0,0,G0
0.010951,0.149135,0.109395,0.10735,0.105841,0,0,G0
0.011335,0.169718,0.109388,0.054539,0.142032,0,0,G0
0.011234,0.171346,0.097963,0.036352,0.067886,0,0,G0
0.011063,0.162618,0.124563,0.083058,0.072478,0,0,G0
0.011482,0.164187,0.099862,0.093679,0.088174,0,0,G0
0.017025,0.127814,0.075727,0.066408,0.072443,0,0,G0
0.016541,0.103931,0.056271,0.052802,0.103281,0,0,G0
0,0.057495,0.076025,0.020197,0,0,0,G2
1,0.015132,0.155957,0.125947,0.029168,0,0,G2
1,0.119065,0.12577,0.012629,0.05132,0,0,G2
1,0.110145,0.106031,0.049016,0,0,0,G2
1,0.132636,0.083818,0.026107,0,0,0,G2
1,0.150864,0.083676,0.024261,0,0,0,G2
1,0.015197,0.134069,0.100815,0.029108,0,0,G2
1,0.106864,0.089145,0.021939,0.065012,0,0,G2
0,0.070459,0.073568,0.033311,0,0,0,G2
1,0.011758,0.084522,0.134302,0.017631,0.073544,0,G2
1,0.0116,0.130924,0,0,0,0,G3
0,0.129087,0.007894,0,0,0,0,G3
1,0.155491,0,0,0,0,0,G3
