@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R4,5,194-199,328'

@attribute Max_X numeric
@attribute Max_Y numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

-0.299509,0.890207,0.012762,0,0,0,0,0,G1
0,0,0.007035,0.014577,0.010296,0.006373,0,0,G1
0,0,0.009575,0.010385,0,0,0,0,G1
0,0,0.009365,0,0,0,0,0,G1
0,0,0.014088,0.00892,0.006244,0,0,0,G1
0,0,0.008434,0,0,0,0,0,G1
-0.364708,0.785661,0.007413,0,0,0,0,0,G1
-0.485387,0.869856,0.01195,0.006922,0.00727,0,0,0,G1
0,0,0.011012,0,0,0,0,0,G1
-0.295764,0.93356,0,0,0,0,0,0,G1
0.238329,1.058861,0.124692,0.074136,0.073255,0.072733,0,0,G0
0.397396,0.832151,0.145977,0.118052,0.051122,0.041216,0,0,G0
0.493598,0.965314,0.173859,0.129458,0.082507,0.123899,0,0,G0
0.355675,0.988549,0.149135,0.109395,0.10735,0.105841,0,0,G0
0.57835,0.895118,0.169718,0.109388,0.054539,0.142032,0,0,G0
0.724144,0.870628,0.171346,0.097963,0.036352,0.067886,0,0,G0
0.508686,0.998301,0.162618,0.124563,0.083058,0.072478,0,0,G0
0.530267,1.068097,0.164187,0.099862,0.093679,0.088174,0,0,G0
0.362851,1.121722,0.127814,0.075727,0.066408,0.072443,0,0,G0
0.221858,1.068544,0.103931,0.056271,0.052802,0.103281,0,0,G0
0,0,0.057495,0.076025,0.020197,0,0,0,G2
-0.10714,0.827349,0.015132,0.155957,0.125947,0.029168,0,0,G2
-0.176397,0.885353,0.119065,0.12577,0.012629,0.05132,0,0,G2
-0.180172,0.929243,0.110145,0.106031,0.049016,0,0,0,G2
-0.163734,0.943691,0.132636,0.083818,0.026107,0,0,0,G2
-0.147143,0.935648,0.150864,0.083676,0.024261,0,0,0,G2
-0.138131,0.873468,0.015197,0.134069,0.100815,0.029108,0,0,G2
-0.20808,0.727005,0.106864,0.089145,0.021939,0.065012,0,0,G2
0,0,0.070459,0.073568,0.033311,0,0,0,G2
-0.358454,0.729622,0.011758,0.084522,0.134302,0.017631,0.073544,0,G2
0.541412,0.83058,0.0116,0.130924,0,0,0,0,G3
0,0,0.129087,0.007894,0,0,0,0,G3
0.462858,0.841609,0.155491,0,0,0,0,0,G3
0.659998,0.728467,0.142233,0,0,0,0,0,G3
0,0,0.009513,0.123307,0,0,0,0,G3
0.476256,0.828946,0.128014,0.008506,0,0,0,0,G3
0.392557,0.889354,0.008272,0.138489,0,0,0,0,G3
0.390461,0.873453,0.010841,0.152462,0,0,0,0,G3
0.306161,0.746036,0.007041,0.136775,0.010631,0,0,0,G3
0.465563,0.87375,0.132526,0,0,0,0,0,G3
-0.308619,1.28561,0.04308,0.358627,0.015719,0,0,0,G4
-0.193841,1.128605,0.173122,0.397162,0,0,0,0,G4
0.761958,-0.644317,0.197645,0.386167,0,0,0,0,G4
-0.870415,0.246019,0.179507,0.03626,0.01814,0.021025,0,0,G4
-0.442109,0.342575,0.177901,0.332878,0.015976,0,0,0,G4
2.217399,3.957813,0.6086,0.019323,0.037715,0,0,0,G4
0.025788,2.411074,0.173765,0.425073,0,0,0,0,G4
-0.216412,1.204008,0.136039,0.384642,0,0,0,0,G4
-0.337742,1.27062,0.031681,0.065111,0.85783,0,0,0,G4
-0.201674,1.357879,0.178761,0.287226,0.033448,0,0,0,G4
0.057267,0.972637,0.104233,0.097247,0.072158,0.013314,0,0,G5
0.064748,0.974128,0.136918,0.119265,0.079905,0.028586,0,0,G5
