@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R4,6,7-11,328'

@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

-0.299509,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
-0.364708,1,0,0,0,0,0,G1
-0.485387,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
-0.295764,1,0,0,0,0,0,G1
0.238329,32.128532,0,1.160427,0.920108,0,0,G0
0.397396,1,0,0.999997,0,0,0,G0
0.493598,23.471453,0,1.173661,1.234522,0,0.942133,G0
0.355675,23.955109,0,1.196519,1.217923,0,0.939192,G0
0.57835,23.617138,0,1.18299,1.232636,0,0.988413,G0
0.724144,23.632465,0,1.191666,1.217141,0,0.975672,G0
0.508686,23.944956,0,1.186488,1.220379,0,0.961907,G0
0.530267,23.390223,0,1.158527,1.233534,0,0.983986,G0
0.362851,31.454571,0,1.190305,0.904634,0,0,G0
0.221858,31.916876,0,1.158608,0.917696,0,0,G0
0,0,0,0,0,0,0,G2
-0.10714,1,0,0.999999,0,0,0,G2
-0.176397,1,0,0.999996,0,0,0,G2
-0.180172,1,0,1.000003,0,0,0,G2
-0.163734,1,0,1.000005,0,0,0,G2
-0.147143,1,0,1.000003,0,0,0,G2
-0.138131,1,0,1.000003,0,0,0,G2
-0.20808,1,0,1.000001,0,0,0,G2
0,0,0,0,0,0,0,G2
-0.358454,1,0,1,0,0,0,G2
0.541412,1,0,0,0,0,1.000003,G3
0,0,0,0,0,0,0,G3
0.462858,1,0,0,0,0,0.999997,G3
0.659998,1,0,0,0,0,1.000007,G3
0,0,0,0,0,0,0,G3
0.476256,1,0,0,0,0,1.000001,G3
0.392557,1,0,0,0,0,0.999997,G3
0.390461,1,0,0,0,0,1.000003,G3
0.306161,1,0,0,0,0,1.000001,G3
0.465563,1,0,0,0,0,1.000002,G3
-0.308619,68.443039,1.145792,1.390461,0,0,0,G4
-0.193841,73.717079,1.337237,1.440097,0,0,0,G4
0.761958,1,1.000008,0,0,0,0,G4
-0.870415,1,0.999998,0,0,0,0,G4
