@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R4,7-11,328'

@attribute Max_X numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

-0.299509,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
-0.364708,0,0,0,0,0,G1
-0.485387,0,0,0,0,0,G1
0,0,0,0,0,0,G1
-0.295764,0,0,0,0,0,G1
0.238329,0,1.160427,0.920108,0,0,G0
0.397396,0,0.999997,0,0,0,G0
0.493598,0,1.173661,1.234522,0,0.942133,G0
0.355675,0,1.196519,1.217923,0,0.939192,G0
0.57835,0,1.18299,1.232636,0,0.988413,G0
0.724144,0,1.191666,1.217141,0,0.975672,G0
0.508686,0,1.186488,1.220379,0,0.961907,G0
0.530267,0,1.158527,1.233534,0,0.983986,G0
0.362851,0,1.190305,0.904634,0,0,G0
0.221858,0,1.158608,0.917696,0,0,G0
0,0,0,0,0,0,G2
-0.10714,0,0.999999,0,0,0,G2
-0.176397,0,0.999996,0,0,0,G2
-0.180172,0,1.000003,0,0,0,G2
-0.163734,0,1.000005,0,0,0,G2
-0.147143,0,1.000003,0,0,0,G2
-0.138131,0,1.000003,0,0,0,G2
-0.20808,0,1.000001,0,0,0,G2
0,0,0,0,0,0,G2
-0.358454,0,1,0,0,0,G2
0.541412,0,0,0,0,1.000003,G3
0,0,0,0,0,0,G3
0.462858,0,0,0,0,0.999997,G3
0.659998,0,0,0,0,1.000007,G3
0,0,0,0,0,0,G3
0.476256,0,0,0,0,1.000001,G3
0.392557,0,0,0,0,0.999997,G3
0.390461,0,0,0,0,1.000003,G3
0.306161,0,0,0,0,1.000001,G3
0.465563,0,0,0,0,1.000002,G3
-0.308619,1.145792,1.390461,0,0,0,G4
-0.193841,1.337237,1.440097,0,0,0,G4
0.761958,1.000008,0,0,0,0,G4
-0.870415,0.999998,0,0,0,0,G4
-0.442109,1.323784,0.890024,0,0,0,G4
2.217399,4.375272,4.654198,0,0,0,G4
0.025788,2.582871,2.650864,0,0,0,G4
-0.216412,1.264772,1.321828,0,0,0,G4
-0.337742,1.268483,1.443238,0,0,0,G4
-0.201674,1.361627,1.547966,0,0,0,G4
0.057267,0,1.000006,0,0,0,G5
0.064748,0,0.996102,1.052119,0,0,G5
-0.022499,0,1.002487,1.05151,0,0,G5
-0.009446,0,1.006217,1.047653,0,0,G5
0.006147,0,1.015902,1.033491,0,0,G5
0.019301,0,1.000003,0,0,0,G5
0.039962,0,0.991394,1.079594,0,0,G5
0.032045,0,1.000001,0,0,0,G5
0,0,0,0,0,0,G5
0.08606,0,0.999999,0,0,0,G5
0.139896,0,1.03676,1.153706,0.996826,0,G6
0.216966,0,0.999998,0,0,0,G6
0.157546,0,1.022139,1.155098,1.007376,0,G6
0.14616,0,1.016173,1.160586,1.011489,0,G6
0.141615,0,1.013224,1.162504,1.003669,0,G6
0.212588,0,1.020718,1.151267,0.996078,0,G6
0.417174,0,1.012118,1.152329,1.014069,0,G6
-0.166341,0,1.108947,1.053854,0,0,G6
-0.073798,0,1.037226,1.168654,0.993281,0,G6
0.082209,0,1.02111,1.179349,0.990766,0,G6
0.844688,1.362557,0,0,0,1.402702,G7
0.811327,1.49503,0,0,0,1.475383,G7
0.842655,1.525303,0,0,0,1.521094,G7
1.014016,1.608012,0,0,0,1.527633,G7
0.91576,1.533408,0,0,0,1.59939,G7
0.86249,1.742836,0,0,0,0.749623,G7
0.508107,1.527678,0,0,0,1.532306,G7
0.839336,1.655546,0,0,0,1.82029,G7
0.644728,1.520151,0,0,0,1.475261,G7
0.29487,1.364512,0,0,0,1.436626,G7
0.483445,1.323037,1.493186,0,0,1.272959,G8
0.829864,1.71756,1.833586,0,0,0,G8
0.567829,1.361092,1.63912,0,0,1.398472,G8
0.761607,1.785503,1.842664,0,0,0,G8
0.642846,1.48761,1.578832,0,0,1.496457,G8
0.283297,1.585537,1.689582,0,0,0,G8
0.607018,1.26745,1.388645,0,0,1.307492,G8
0.633312,1.406872,1.484627,0,0,0,G8
0.447865,1.319997,1.435065,0,0,1.356813,G8
0.622475,1.435508,1.530495,0,0,1.41083,G8
0.530258,1.224136,1.324927,1.553876,1.238791,0,G9
0.579419,1.074618,1.262787,1.361333,1.338076,1.159443,G9
0.695679,1.047285,1.206853,1.33998,1.340826,1.159624,G9
0.791347,1.217972,1.308934,1.436707,1.390488,1.196891,G9
-0.799085,0.999997,0,0,0,0,G9
0.850534,1.247905,1.352915,1.45647,1.431388,1.293315,G9
-0.788799,1.000001,0,0,0,0,G9
0.653589,1.33949,1.335647,1.51667,1.479029,1.277968,G9
0.904786,1.382982,1.337295,1.551566,1.540406,1.369454,G9
0.522232,1.243544,1.592666,1.479567,1.313366,0,G9
-0.768864,0,0,0,0,0,G1
-0.616738,0,0,0,0,0,G1
0,0,0,0,0,0,G1
-0.553091,0,0,0,0,0,G1
-0.50255,0,0,0,0,0,G1
-0.617926,0,0,0,0,0,G1
-0.739105,0,0,0,0,0,G1
-0.698455,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0.426401,0,1.231878,1.262241,0,0.879664,G0
0.588854,0,1.213938,1.259384,0,0.978552,G0
0.471281,0,1.223794,1.256832,0,0.950819,G0
0.58508,0,1.295857,1.321249,0,0.995977,G0
0.857719,0,1.549778,1.569884,0,0.60851,G0
0.270615,0,1.221951,1.242878,0,0.906979,G0
0.302741,0,1.179179,1.158923,0,0.969525,G0
0.347208,0,1.218788,1.236561,0,0.961814,G0
0.385278,0,1.226584,1.255798,0,0.934295,G0
0.543801,0,1.31894,1.312376,0,0.900717,G0
