@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2-6,19'

@attribute numFingers numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1,1,0,0,0,0,G1
1,1,0,0,0,0,G1
0,0,0,0,0,0,G1
1,1,0,0,0,0,G1
2,1.16042,0.920109,0,0,0,G0
1,1,0,0,0,0,G0
3,1.173663,1.234516,0.942134,0,0,G0
3,1.19652,1.217926,0.939195,0,0,G0
3,1.182993,1.23264,0.988416,0,0,G0
3,1.191663,1.217138,0.97567,0,0,G0
3,1.186486,1.220381,0.961907,0,0,G0
3,1.158529,1.233531,0.983988,0,0,G0
2,1.190308,0.904639,0,0,0,G0
2,1.158607,0.917699,0,0,0,G0
0,0,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
0,0,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G3
0,0,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
0,0,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
2,1.14579,1.390468,0,0,0,G4
2,1.337238,1.440091,0,0,0,G4
1,1,0,0,0,0,G4
1,1,0,0,0,0,G4
2,1.323789,0.890019,0,0,0,G4
3,4.37528,4.654197,4.332036,0,0,G4
3,2.582871,2.650869,2.217884,0,0,G4
2,1.26477,1.321825,0,0,0,G4
2,1.268485,1.443231,0,0,0,G4
2,1.361626,1.547962,0,0,0,G4
1,1,0,0,0,0,G5
2,0.996106,1.052117,0,0,0,G5
2,1.002491,1.051517,0,0,0,G5
2,1.006215,1.047652,0,0,0,G5
2,1.015901,1.033498,0,0,0,G5
1,1,0,0,0,0,G5
2,0.991395,1.079591,0,0,0,G5
1,1,0,0,0,0,G5
0,0,0,0,0,0,G5
1,1,0,0,0,0,G5
3,1.036761,1.153701,0.996828,0,0,G6
1,1,0,0,0,0,G6
3,1.02214,1.155104,1.007378,0,0,G6
3,1.016171,1.160585,1.011492,0,0,G6
3,1.01323,1.162508,1.003663,0,0,G6
3,1.020718,1.151259,0.996078,0,0,G6
3,1.012124,1.152325,1.014071,0,0,G6
2,1.10895,1.05385,0,0,0,G6
3,1.037224,1.168654,0.993292,0,0,G6
3,1.021107,1.179351,0.990766,0,0,G6
2,1.362553,1.402706,0,0,0,G7
2,1.495028,1.47539,0,0,0,G7
2,1.525296,1.521101,0,0,0,G7
2,1.608017,1.527635,0,0,0,G7
2,1.533414,1.599384,0,0,0,G7
3,1.742828,0.749626,1.916591,0,0,G7
2,1.527672,1.532308,0,0,0,G7
2,1.655551,1.820297,0,0,0,G7
2,1.520147,1.475253,0,0,0,G7
2,1.364509,1.43662,0,0,0,G7
3,1.323038,1.493192,1.272961,0,0,G8
2,1.717563,1.833593,0,0,0,G8
3,1.361097,1.639122,1.398471,0,0,G8
2,1.785518,1.842662,0,0,0,G8
3,1.487607,1.578825,1.496449,0,0,G8
2,1.585532,1.689582,0,0,0,G8
3,1.267448,1.388642,1.307486,0,0,G8
2,1.406868,1.484619,0,0,0,G8
3,1.319996,1.435062,1.356818,0,0,G8
3,1.435517,1.530489,1.410834,0,0,G8
4,1.224135,1.324919,1.553882,1.23879,0,G9
5,1.074623,1.262796,1.361339,1.338072,1.159438,G9
5,1.04729,1.20686,1.339974,1.340831,1.159621,G9
5,1.217972,1.308928,1.436699,1.390486,1.196883,G9
1,1,0,0,0,0,G9
5,1.247904,1.352921,1.456467,1.431395,1.293319,G9
1,1,0,0,0,0,G9
5,1.339485,1.335655,1.516683,1.479023,1.277966,G9
5,1.38298,1.337304,1.551574,1.540417,1.369457,G9
4,1.243542,1.59266,1.479555,1.313363,0,G9
1,1,0,0,0,0,G1
1,1,0,0,0,0,G1
0,0,0,0,0,0,G1
1,1,0,0,0,0,G1
1,1,0,0,0,0,G1
1,1,0,0,0,0,G1
1,1,0,0,0,0,G1
1,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
3,1.231874,1.262247,0.879672,0,0,G0
3,1.213938,1.259386,0.978551,0,0,G0
3,1.223786,1.256832,0.950821,0,0,G0
3,1.29586,1.321256,0.99597,0,0,G0
4,1.54977,1.569883,0.608505,1.261545,0,G0
3,1.221959,1.242875,0.906978,0,0,G0
3,1.179181,1.158932,0.969527,0,0,G0
3,1.218792,1.236568,0.961816,0,0,G0
3,1.226592,1.255801,0.934303,0,0,G0
3,1.318948,1.312379,0.900718,0,0,G0
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
2,1.390457,0.671405,0,0,0,G2
2,1.409506,0.65759,0,0,0,G2
2,1.402403,0.663032,0,0,0,G2
2,1.410385,0.668234,0,0,0,G2
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
2,0.958517,1.518914,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
2,1.044875,1.371887,0,0,0,G4
2,1.03314,1.32875,0,0,0,G4
