@relation gesture-weka.filters.unsupervised.attribute.Remove-V-R2-19

@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute fingersExtended numeric
@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,0,0,0,2.787857,0,0,0,0,3.106106,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,2.736962,0,0,0,0,4.614525,0,0,0,0,0,0,G1
1,0,0,0,0,2.767362,0,0,0,0,3.781438,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,2.855384,0,0,0,0,4.082344,0,0,0,0,0,0,G1
1.16042,0.920109,0,0,0,2.558063,2.67007,0,0,0,2.63192,2.416847,0,0,0,1101,32.128532,G0
1,0,0,0,0,2.740237,0,0,0,0,2.874119,0,0,0,0,1101,0,G0
1.173663,1.234516,0.942134,0,0,2.21192,2.935693,2.267925,0,0,2.783273,3.03,2.587216,0,0,1101,17.040167,G0
1.19652,1.217926,0.939195,0,0,2.268473,2.992124,2.277319,0,0,3.05574,3.259898,2.818214,0,0,1101,17.041044,G0
1.182993,1.23264,0.988416,0,0,2.366298,2.795114,2.101999,0,0,3.487468,3.669697,3.180849,0,0,1101,17.563013,G0
1.191663,1.217138,0.97567,0,0,2.303059,2.907692,2.145768,0,0,2.98129,3.161629,2.710331,0,0,1101,17.309896,G0
1.186486,1.220381,0.961907,0,0,2.225007,2.959805,2.262582,0,0,2.936894,3.16389,2.742073,0,0,1101,17.409557,G0
1.158529,1.233531,0.983988,0,0,2.368658,3.018006,2.220174,0,0,3.430044,3.662693,3.202039,0,0,1101,17.840916,G0
1.190308,0.904639,0,0,0,2.595889,2.706679,0,0,0,3.074636,2.818256,0,0,0,1101,31.454571,G0
1.158607,0.917699,0,0,0,2.556488,2.682595,0,0,0,2.631731,2.418613,0,0,0,1101,31.916876,G0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,G2
1,0,0,0,0,1.023832,0,0,0,0,0.854355,0,0,0,0,1000,0,G2
1,0,0,0,0,1.168973,0,0,0,0,0.93164,0,0,0,0,1000,0,G2
1,0,0,0,0,1.101962,0,0,0,0,0.895883,0,0,0,0,1000,0,G2
1,0,0,0,0,2.247571,0,0,0,0,1.561169,0,0,0,0,1000,0,G2
1,0,0,0,0,2.51454,0,0,0,0,1.806269,0,0,0,0,1000,0,G2
1,0,0,0,0,1.752592,0,0,0,0,1.290485,0,0,0,0,1000,0,G2
1,0,0,0,0,1.737373,0,0,0,0,1.071057,0,0,0,0,1000,0,G2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,G2
1,0,0,0,0,0.359457,0,0,0,0,0.478922,0,0,0,0,1000,0,G2
1,0,0,0,0,2.638085,0,0,0,0,3.137535,0,0,0,0,1,0,G3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,G3
1,0,0,0,0,2.636158,0,0,0,0,3.661253,0,0,0,0,1,0,G3
1,0,0,0,0,2.599695,0,0,0,0,3.471903,0,0,0,0,1,0,G3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,G3
1,0,0,0,0,2.636268,0,0,0,0,3.61491,0,0,0,0,1,0,G3
1,0,0,0,0,2.746553,0,0,0,0,3.042249,0,0,0,0,1,0,G3
1,0,0,0,0,2.662758,0,0,0,0,3.268291,0,0,0,0,1,0,G3
1,0,0,0,0,2.73223,0,0,0,0,2.449478,0,0,0,0,1,0,G3
1,0,0,0,0,2.588061,0,0,0,0,3.606038,0,0,0,0,1,0,G3
1.14579,1.390468,0,0,0,1.610852,2.221542,0,0,0,1.955073,2.493204,0,0,0,11000,68.443039,G4
1.337238,1.440091,0,0,0,1.659571,2.179182,0,0,0,2.721886,3.170856,0,0,0,11000,73.717079,G4
1,0,0,0,0,1.244266,0,0,0,0,1.400174,0,0,0,0,11000,0,G4
1,0,0,0,0,1.431689,0,0,0,0,1.687941,0,0,0,0,11000,0,G4
1.323789,0.890019,0,0,0,1.123615,0.675665,0,0,0,1.193801,0.556692,0,0,0,11000,36.890366,G4
4.37528,4.654197,4.332036,0,0,1.548581,1.563866,0.139117,0,0,5.929871,6.226292,1.330289,0,0,11000,119.785629,G4
2.582871,2.650869,2.217884,0,0,2.208174,1.31544,0.64309,0,0,5.095947,3.985072,2.221399,0,0,11000,65.093468,G4
1.26477,1.321825,0,0,0,2.485229,1.27825,0,0,0,2.639253,1.974227,0,0,0,11000,64.424599,G4
1.268485,1.443231,0,0,0,1.344959,2.284323,0,0,0,1.892025,2.613186,0,0,0,11000,69.695953,G4
1.361626,1.547962,0,0,0,0.796189,1.280798,0,0,0,1.015194,1.585306,0,0,0,11000,73.834328,G4
1,0,0,0,0,2.519995,0,0,0,0,2.122289,0,0,0,0,1100,0,G5
0.996106,1.052117,0,0,0,2.016438,2.303903,0,0,0,1.586052,1.706897,0,0,0,1100,25.616379,G5
1.002491,1.051517,0,0,0,2.525398,2.786342,0,0,0,2.089303,2.175918,0,0,0,1100,25.629665,G5
1.006215,1.047652,0,0,0,2.476669,2.773665,0,0,0,2.076686,2.163668,0,0,0,1100,25.679893,G5
1.015901,1.033498,0,0,0,2.150255,2.512133,0,0,0,2.077395,2.193389,0,0,0,1100,27.027773,G5
1,0,0,0,0,2.610732,0,0,0,0,2.069059,0,0,0,0,1100,0,G5
0.991395,1.079591,0,0,0,2.709904,2.795972,0,0,0,3.18826,3.2916,0,0,0,1100,27.902817,G5
1,0,0,0,0,2.938007,0,0,0,0,3.190281,0,0,0,0,1100,0,G5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,G5
1,0,0,0,0,2.500693,0,0,0,0,2.101639,0,0,0,0,1100,0,G5
1.036761,1.153701,0.996828,0,0,2.404317,2.813895,2.490687,0,0,2.324026,2.517935,2.306317,0,0,1110,15.463726,G6
1,0,0,0,0,2.943602,0,0,0,0,3.054793,0,0,0,0,1110,0,G6
1.02214,1.155104,1.007378,0,0,2.29274,3.023798,2.474971,0,0,2.235231,2.490292,2.269758,0,0,1110,14.838311,G6
1.016171,1.160585,1.011492,0,0,2.315117,2.959417,2.435804,0,0,2.162264,2.413261,2.189,0,0,1110,15.428191,G6
