@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2-11,18-19'

@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,0,0,0,2.787857,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,2.736962,0,0,0,0,0,G1
1,0,0,0,0,2.767362,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,2.855384,0,0,0,0,0,G1
1.16042,0.920109,0,0,0,2.558063,2.67007,0,0,0,32.128532,G0
1,0,0,0,0,2.740237,0,0,0,0,0,G0
1.173663,1.234516,0.942134,0,0,2.21192,2.935693,2.267925,0,0,17.040167,G0
1.19652,1.217926,0.939195,0,0,2.268473,2.992124,2.277319,0,0,17.041044,G0
1.182993,1.23264,0.988416,0,0,2.366298,2.795114,2.101999,0,0,17.563013,G0
1.191663,1.217138,0.97567,0,0,2.303059,2.907692,2.145768,0,0,17.309896,G0
1.186486,1.220381,0.961907,0,0,2.225007,2.959805,2.262582,0,0,17.409557,G0
1.158529,1.233531,0.983988,0,0,2.368658,3.018006,2.220174,0,0,17.840916,G0
1.190308,0.904639,0,0,0,2.595889,2.706679,0,0,0,31.454571,G0
1.158607,0.917699,0,0,0,2.556488,2.682595,0,0,0,31.916876,G0
0,0,0,0,0,0,0,0,0,0,0,G2
1,0,0,0,0,1.023832,0,0,0,0,0,G2
1,0,0,0,0,1.168973,0,0,0,0,0,G2
1,0,0,0,0,1.101962,0,0,0,0,0,G2
1,0,0,0,0,2.247571,0,0,0,0,0,G2
1,0,0,0,0,2.51454,0,0,0,0,0,G2
1,0,0,0,0,1.752592,0,0,0,0,0,G2
1,0,0,0,0,1.737373,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,G2
1,0,0,0,0,0.359457,0,0,0,0,0,G2
1,0,0,0,0,2.638085,0,0,0,0,0,G3
0,0,0,0,0,0,0,0,0,0,0,G3
1,0,0,0,0,2.636158,0,0,0,0,0,G3
1,0,0,0,0,2.599695,0,0,0,0,0,G3
0,0,0,0,0,0,0,0,0,0,0,G3
1,0,0,0,0,2.636268,0,0,0,0,0,G3
1,0,0,0,0,2.746553,0,0,0,0,0,G3
1,0,0,0,0,2.662758,0,0,0,0,0,G3
1,0,0,0,0,2.73223,0,0,0,0,0,G3
1,0,0,0,0,2.588061,0,0,0,0,0,G3
1.14579,1.390468,0,0,0,1.610852,2.221542,0,0,0,68.443039,G4
1.337238,1.440091,0,0,0,1.659571,2.179182,0,0,0,73.717079,G4
1,0,0,0,0,1.244266,0,0,0,0,0,G4
1,0,0,0,0,1.431689,0,0,0,0,0,G4
1.323789,0.890019,0,0,0,1.123615,0.675665,0,0,0,36.890366,G4
4.37528,4.654197,4.332036,0,0,1.548581,1.563866,0.139117,0,0,119.785629,G4
2.582871,2.650869,2.217884,0,0,2.208174,1.31544,0.64309,0,0,65.093468,G4
1.26477,1.321825,0,0,0,2.485229,1.27825,0,0,0,64.424599,G4
1.268485,1.443231,0,0,0,1.344959,2.284323,0,0,0,69.695953,G4
1.361626,1.547962,0,0,0,0.796189,1.280798,0,0,0,73.834328,G4
1,0,0,0,0,2.519995,0,0,0,0,0,G5
0.996106,1.052117,0,0,0,2.016438,2.303903,0,0,0,25.616379,G5
1.002491,1.051517,0,0,0,2.525398,2.786342,0,0,0,25.629665,G5
1.006215,1.047652,0,0,0,2.476669,2.773665,0,0,0,25.679893,G5
1.015901,1.033498,0,0,0,2.150255,2.512133,0,0,0,27.027773,G5
1,0,0,0,0,2.610732,0,0,0,0,0,G5
0.991395,1.079591,0,0,0,2.709904,2.795972,0,0,0,27.902817,G5
1,0,0,0,0,2.938007,0,0,0,0,0,G5
0,0,0,0,0,0,0,0,0,0,0,G5
1,0,0,0,0,2.500693,0,0,0,0,0,G5
1.036761,1.153701,0.996828,0,0,2.404317,2.813895,2.490687,0,0,15.463726,G6
1,0,0,0,0,2.943602,0,0,0,0,0,G6
1.02214,1.155104,1.007378,0,0,2.29274,3.023798,2.474971,0,0,14.838311,G6
1.016171,1.160585,1.011492,0,0,2.315117,2.959417,2.435804,0,0,15.428191,G6
1.01323,1.162508,1.003663,0,0,2.332092,2.922037,2.450712,0,0,15.437461,G6
1.020718,1.151259,0.996078,0,0,2.456793,2.83587,2.594562,0,0,14.978341,G6
1.012124,1.152325,1.014071,0,0,2.408872,2.877037,2.522352,0,0,15.487595,G6
1.10895,1.05385,0,0,0,2.450743,2.505576,0,0,0,38.0121,G6
1.037224,1.168654,0.993292,0,0,2.417784,2.847576,2.49469,0,0,16.068598,G6
1.021107,1.179351,0.990766,0,0,2.502391,2.817981,2.628977,0,0,16.370155,G6
1.362553,1.402706,0,0,0,1.710957,1.803276,0,0,0,69.908165,G7
1.495028,1.47539,0,0,0,1.871696,2.01238,0,0,0,77.238541,G7
1.525296,1.521101,0,0,0,1.851555,1.962879,0,0,0,79.161362,G7
1.608017,1.527635,0,0,0,1.790354,1.778244,0,0,0,83.083595,G7
1.533414,1.599384,0,0,0,1.857993,2.017506,0,0,0,78.348076,G7
1.742828,0.749626,1.916591,0,0,1.992417,2.354001,1.927038,0,0,17.543447,G7
1.527672,1.532308,0,0,0,1.531925,1.825168,0,0,0,78.815231,G7
1.655551,1.820297,0,0,0,1.613042,2.316349,0,0,0,75.410538,G7
1.520147,1.475253,0,0,0,1.665666,1.97061,0,0,0,79.038055,G7
1.364509,1.43662,0,0,0,1.945165,2.129726,0,0,0,70.284538,G7
1.323038,1.493192,1.272961,0,0,1.660666,2.951969,2.025239,0,0,36.169849,G8
1.717563,1.833593,0,0,0,1.727037,1.931046,0,0,0,87.031273,G8
1.361097,1.639122,1.398471,0,0,1.531257,2.987785,1.920433,0,0,40.576683,G8
1.785518,1.842662,0,0,0,1.704058,1.982154,0,0,0,88.510788,G8
1.487607,1.578825,1.496449,0,0,1.489335,2.978245,1.908152,0,0,40.252026,G8
1.585532,1.689582,0,0,0,1.698475,2.080961,0,0,0,81.049911,G8
1.267448,1.388642,1.307486,0,0,1.802439,3.059047,1.940806,0,0,27.16869,G8
1.406868,1.484619,0,0,0,1.974745,2.130697,0,0,0,71.723534,G8
1.319996,1.435062,1.356818,0,0,1.731696,2.902609,1.935304,0,0,32.047165,G8
1.435517,1.530489,1.410834,0,0,1.600357,2.966914,1.867119,0,0,37.006699,G8
1.224135,1.324919,1.553882,1.23879,0,1.56146,2.888341,2.677135,2.048826,0,19.266119,G9
1.074623,1.262796,1.361339,1.338072,1.159438,1.442987,2.859332,2.91142,2.644178,2.212591,15.042491,G9
1.04729,1.20686,1.339974,1.340831,1.159621,1.441096,2.805149,2.849608,2.589648,2.289967,14.6588,G9
1.217972,1.308928,1.436699,1.390486,1.196883,1.342182,2.760829,2.915002,2.598053,2.1552,14.425028,G9
1,0,0,0,0,2.347407,0,0,0,0,0,G9
1.247904,1.352921,1.456467,1.431395,1.293319,1.364714,2.873924,2.696498,2.380569,1.989951,15.82129,G9
1,0,0,0,0,2.09069,0,0,0,0,0,G9
1.339485,1.335655,1.516683,1.479023,1.277966,1.054562,2.671854,2.780809,2.482291,2.020833,16.535208,G9
1.38298,1.337304,1.551574,1.540417,1.369457,1.098039,2.651018,2.735512,2.425652,1.94914,16.089895,G9
1.243542,1.59266,1.479555,1.313363,0,1.183959,2.92986,2.699477,2.259909,0,25.688187,G9
1,0,0,0,0,2.147892,0,0,0,0,0,G1
1,0,0,0,0,2.493728,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,2.654117,0,0,0,0,0,G1
1,0,0,0,0,2.616184,0,0,0,0,0,G1
1,0,0,0,0,2.740096,0,0,0,0,0,G1
1,0,0,0,0,2.677825,0,0,0,0,0,G1
1,0,0,0,0,2.651916,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
1.231874,1.262247,0.879672,0,0,1.866405,2.746947,1.715891,0,0,14.566617,G0
1.213938,1.259386,0.978551,0,0,1.901042,2.945807,1.834341,0,0,16.844587,G0
1.223786,1.256832,0.950821,0,0,1.923013,2.865753,2.011668,0,0,16.703552,G0
1.29586,1.321256,0.99597,0,0,1.772041,2.913146,1.688519,0,0,18.728821,G0
1.54977,1.569883,0.608505,1.261545,0,1.344904,2.533819,1.98081,1.865545,0,15.597527,G0
1.221959,1.242875,0.906978,0,0,1.867449,2.901536,2.062291,0,0,20.908434,G0
1.179181,1.158932,0.969527,0,0,2.365585,2.814207,2.398824,0,0,17.034702,G0
1.218792,1.236568,0.961816,0,0,2.164585,3.027217,2.280319,0,0,19.25824,G0
1.226592,1.255801,0.934303,0,0,1.931605,3.074897,2.010055,0,0,18.870056,G0
1.318948,1.312379,0.900718,0,0,1.842888,2.724744,1.573076,0,0,15.930725,G0
1,0,0,0,0,0.397919,0,0,0,0,0,G2
1,0,0,0,0,0.596546,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,G2
1,0,0,0,0,0.65616,0,0,0,0,0,G2
1,0,0,0,0,0.726251,0,0,0,0,0,G2
1.390457,0.671405,0,0,0,0.763552,0.217111,0,0,0,18.586517,G2
