@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2-6,12-16,17-19'

@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute fingersExtended numeric
@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,0,0,0,3.106106,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,4.614525,0,0,0,0,0,0,G1
1,0,0,0,0,3.781438,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,4.082344,0,0,0,0,0,0,G1
1.16042,0.920109,0,0,0,2.63192,2.416847,0,0,0,1101,32.128532,G0
1,0,0,0,0,2.874119,0,0,0,0,1101,0,G0
1.173663,1.234516,0.942134,0,0,2.783273,3.03,2.587216,0,0,1101,17.040167,G0
1.19652,1.217926,0.939195,0,0,3.05574,3.259898,2.818214,0,0,1101,17.041044,G0
1.182993,1.23264,0.988416,0,0,3.487468,3.669697,3.180849,0,0,1101,17.563013,G0
1.191663,1.217138,0.97567,0,0,2.98129,3.161629,2.710331,0,0,1101,17.309896,G0
1.186486,1.220381,0.961907,0,0,2.936894,3.16389,2.742073,0,0,1101,17.409557,G0
1.158529,1.233531,0.983988,0,0,3.430044,3.662693,3.202039,0,0,1101,17.840916,G0
1.190308,0.904639,0,0,0,3.074636,2.818256,0,0,0,1101,31.454571,G0
1.158607,0.917699,0,0,0,2.631731,2.418613,0,0,0,1101,31.916876,G0
0,0,0,0,0,0,0,0,0,0,1000,0,G2
1,0,0,0,0,0.854355,0,0,0,0,1000,0,G2
