@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R18,19'

@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
32.128532,G0
0,G0
17.040167,G0
17.041044,G0
17.563013,G0
17.309896,G0
17.409557,G0
17.840916,G0
31.454571,G0
31.916876,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
68.443039,G4
73.717079,G4
0,G4
0,G4
36.890366,G4
119.785629,G4
65.093468,G4
64.424599,G4
69.695953,G4
73.834328,G4
0,G5
25.616379,G5
25.629665,G5
25.679893,G5
27.027773,G5
0,G5
27.902817,G5
0,G5
0,G5
0,G5
15.463726,G6
0,G6
14.838311,G6
15.428191,G6
15.437461,G6
14.978341,G6
15.487595,G6
38.0121,G6
16.068598,G6
16.370155,G6
69.908165,G7
77.238541,G7
79.161362,G7
83.083595,G7
78.348076,G7
17.543447,G7
78.815231,G7
75.410538,G7
79.038055,G7
70.284538,G7
36.169849,G8
87.031273,G8
40.576683,G8
88.510788,G8
40.252026,G8
81.049911,G8
27.16869,G8
71.723534,G8
32.047165,G8
37.006699,G8
19.266119,G9
15.042491,G9
14.6588,G9
14.425028,G9
0,G9
15.82129,G9
0,G9
16.535208,G9
16.089895,G9
25.688187,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
14.566617,G0
16.844587,G0
16.703552,G0
18.728821,G0
15.597527,G0
20.908434,G0
17.034702,G0
19.25824,G0
18.870056,G0
15.930725,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
18.586517,G2
18.952829,G2
19.019991,G2
20.502623,G2
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
43.806084,G3
0,G3
0,G3
0,G3
53.363533,G4
55.445675,G4
57.632858,G4
31.933825,G4
32.241947,G4
32.935017,G4
33.269924,G4
34.57196,G4
53.907883,G4
54.080479,G4
35.383423,G5
35.510876,G5
36.217762,G5
58.507679,G5
35.175339,G5
36.02306,G5
35.848511,G5
35.379021,G5
33.79295,G5
35.247337,G5
9.428574,G6
8.840269,G6
11.603854,G6
11.417221,G6
9.845193,G6
9.979114,G6
9.520653,G6
9.669628,G6
9.823969,G6
10.124149,G6
80.422737,G7
24.369425,G7
24.752146,G7
74.734032,G7
76.033142,G7
24.768681,G7
13.272937,G7
13.106444,G7
13.278553,G7
13.301299,G7
35.159847,G8
40.308922,G8
24.528629,G8
24.264366,G8
25.483545,G8
24.668108,G8
26.331705,G8
27.209732,G8
16.666693,G8
44.271637,G8
10.935635,G9
10.66839,G9
12.52271,G9
10.820264,G9
10.938109,G9
11.197824,G9
11.903898,G9
22.077978,G9
29.894125,G9
11.146586,G9
0,G1
0,G1
5.416896,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
16.548107,G0
14.510384,G0
14.342751,G0
24.003157,G0
13.945426,G0
14.527101,G0
14.004051,G0
22.023912,G0
16.006475,G0
15.417848,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
49.595951,G3
0,G3
53.400436,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
50.252277,G4
48.429398,G4
29.924503,G4
50.12207,G4
0,G4
49.292255,G4
0,G4
57.205299,G4
50.425652,G4
65.50779,G4
32.543568,G5
25.859247,G5
30.070374,G5
26.184465,G5
28.065109,G5
26.263199,G5
27.691299,G5
27.695864,G5
28.322369,G5
35.310863,G5
12.993946,G6
39.22271,G6
13.663955,G6
16.007074,G6
11.522738,G6
12.43867,G6
13.015529,G6
17.903217,G6
12.717153,G6
12.520615,G6
53.090115,G7
28.018694,G7
0,G7
15.145524,G7
16.040144,G7
18.946047,G7
53.317043,G7
73.7379,G7
43.990543,G7
68.384651,G7
21.129341,G8
35.649731,G8
21.487328,G8
72.484947,G8
21.154732,G8
22.493742,G8
22.281046,G8
20.742393,G8
22.39427,G8
22.674759,G8
10.585863,G9
9.982105,G9
11.447453,G9
14.678608,G9
10.771594,G9
10.517155,G9
10.132499,G9
9.755891,G9
9.978333,G9
9.092672,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
22.824327,G0
22.040724,G0
23.467112,G0
23.512405,G0
22.025862,G0
23.582598,G0
23.222326,G0
22.955881,G0
10.192906,G0
22.540033,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G3
8.558611,G3
8.260798,G3
6.617039,G3
0,G3
0,G3
0,G3
6.362509,G3
0,G3
0,G3
