@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2-6,17-19'

@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingersExtended numeric
@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1.16042,0.920109,0,0,0,1101,32.128532,G0
1,0,0,0,0,1101,0,G0
1.173663,1.234516,0.942134,0,0,1101,17.040167,G0
1.19652,1.217926,0.939195,0,0,1101,17.041044,G0
1.182993,1.23264,0.988416,0,0,1101,17.563013,G0
1.191663,1.217138,0.97567,0,0,1101,17.309896,G0
1.186486,1.220381,0.961907,0,0,1101,17.409557,G0
1.158529,1.233531,0.983988,0,0,1101,17.840916,G0
1.190308,0.904639,0,0,0,1101,31.454571,G0
1.158607,0.917699,0,0,0,1101,31.916876,G0
0,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1,0,G3
0,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
0,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1.14579,1.390468,0,0,0,11000,68.443039,G4
1.337238,1.440091,0,0,0,11000,73.717079,G4
1,0,0,0,0,11000,0,G4
1,0,0,0,0,11000,0,G4
1.323789,0.890019,0,0,0,11000,36.890366,G4
4.37528,4.654197,4.332036,0,0,11000,119.785629,G4
2.582871,2.650869,2.217884,0,0,11000,65.093468,G4
1.26477,1.321825,0,0,0,11000,64.424599,G4
1.268485,1.443231,0,0,0,11000,69.695953,G4
1.361626,1.547962,0,0,0,11000,73.834328,G4
1,0,0,0,0,1100,0,G5
0.996106,1.052117,0,0,0,1100,25.616379,G5
1.002491,1.051517,0,0,0,1100,25.629665,G5
1.006215,1.047652,0,0,0,1100,25.679893,G5
1.015901,1.033498,0,0,0,1100,27.027773,G5
1,0,0,0,0,1100,0,G5
0.991395,1.079591,0,0,0,1100,27.902817,G5
1,0,0,0,0,1100,0,G5
0,0,0,0,0,1100,0,G5
1,0,0,0,0,1100,0,G5
1.036761,1.153701,0.996828,0,0,1110,15.463726,G6
1,0,0,0,0,1110,0,G6
1.02214,1.155104,1.007378,0,0,1110,14.838311,G6
1.016171,1.160585,1.011492,0,0,1110,15.428191,G6
1.01323,1.162508,1.003663,0,0,1110,15.437461,G6
1.020718,1.151259,0.996078,0,0,1110,14.978341,G6
1.012124,1.152325,1.014071,0,0,1110,15.487595,G6
1.10895,1.05385,0,0,0,1110,38.0121,G6
1.037224,1.168654,0.993292,0,0,1110,16.068598,G6
1.021107,1.179351,0.990766,0,0,1110,16.370155,G6
1.362553,1.402706,0,0,0,10001,69.908165,G7
1.495028,1.47539,0,0,0,10001,77.238541,G7
1.525296,1.521101,0,0,0,10001,79.161362,G7
1.608017,1.527635,0,0,0,10001,83.083595,G7
1.533414,1.599384,0,0,0,10001,78.348076,G7
1.742828,0.749626,1.916591,0,0,10001,17.543447,G7
1.527672,1.532308,0,0,0,10001,78.815231,G7
1.655551,1.820297,0,0,0,10001,75.410538,G7
1.520147,1.475253,0,0,0,10001,79.038055,G7
1.364509,1.43662,0,0,0,10001,70.284538,G7
1.323038,1.493192,1.272961,0,0,11001,36.169849,G8
1.717563,1.833593,0,0,0,11001,87.031273,G8
1.361097,1.639122,1.398471,0,0,11001,40.576683,G8
1.785518,1.842662,0,0,0,11001,88.510788,G8
1.487607,1.578825,1.496449,0,0,11001,40.252026,G8
1.585532,1.689582,0,0,0,11001,81.049911,G8
1.267448,1.388642,1.307486,0,0,11001,27.16869,G8
1.406868,1.484619,0,0,0,11001,71.723534,G8
1.319996,1.435062,1.356818,0,0,11001,32.047165,G8
1.435517,1.530489,1.410834,0,0,11001,37.006699,G8
1.224135,1.324919,1.553882,1.23879,0,11111,19.266119,G9
1.074623,1.262796,1.361339,1.338072,1.159438,11111,15.042491,G9
1.04729,1.20686,1.339974,1.340831,1.159621,11111,14.6588,G9
1.217972,1.308928,1.436699,1.390486,1.196883,11111,14.425028,G9
1,0,0,0,0,11111,0,G9
1.247904,1.352921,1.456467,1.431395,1.293319,11111,15.82129,G9
1,0,0,0,0,11111,0,G9
1.339485,1.335655,1.516683,1.479023,1.277966,11111,16.535208,G9
1.38298,1.337304,1.551574,1.540417,1.369457,11111,16.089895,G9
1.243542,1.59266,1.479555,1.313363,0,11111,25.688187,G9
1,0,0,0,0,0,0,G1
