@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,7-11,19'

@attribute numFingers numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,2.787857,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1,2.736962,0,0,0,0,G1
1,2.767362,0,0,0,0,G1
0,0,0,0,0,0,G1
1,2.855384,0,0,0,0,G1
2,2.558063,2.67007,0,0,0,G0
1,2.740237,0,0,0,0,G0
3,2.21192,2.935693,2.267925,0,0,G0
3,2.268473,2.992124,2.277319,0,0,G0
3,2.366298,2.795114,2.101999,0,0,G0
3,2.303059,2.907692,2.145768,0,0,G0
3,2.225007,2.959805,2.262582,0,0,G0
3,2.368658,3.018006,2.220174,0,0,G0
2,2.595889,2.706679,0,0,0,G0
2,2.556488,2.682595,0,0,0,G0
0,0,0,0,0,0,G2
1,1.023832,0,0,0,0,G2
1,1.168973,0,0,0,0,G2
1,1.101962,0,0,0,0,G2
1,2.247571,0,0,0,0,G2
1,2.51454,0,0,0,0,G2
1,1.752592,0,0,0,0,G2
1,1.737373,0,0,0,0,G2
0,0,0,0,0,0,G2
1,0.359457,0,0,0,0,G2
1,2.638085,0,0,0,0,G3
0,0,0,0,0,0,G3
1,2.636158,0,0,0,0,G3
1,2.599695,0,0,0,0,G3
0,0,0,0,0,0,G3
1,2.636268,0,0,0,0,G3
1,2.746553,0,0,0,0,G3
1,2.662758,0,0,0,0,G3
1,2.73223,0,0,0,0,G3
1,2.588061,0,0,0,0,G3
2,1.610852,2.221542,0,0,0,G4
2,1.659571,2.179182,0,0,0,G4
1,1.244266,0,0,0,0,G4
1,1.431689,0,0,0,0,G4
2,1.123615,0.675665,0,0,0,G4
3,1.548581,1.563866,0.139117,0,0,G4
3,2.208174,1.31544,0.64309,0,0,G4
2,2.485229,1.27825,0,0,0,G4
2,1.344959,2.284323,0,0,0,G4
2,0.796189,1.280798,0,0,0,G4
1,2.519995,0,0,0,0,G5
2,2.016438,2.303903,0,0,0,G5
2,2.525398,2.786342,0,0,0,G5
2,2.476669,2.773665,0,0,0,G5
2,2.150255,2.512133,0,0,0,G5
1,2.610732,0,0,0,0,G5
2,2.709904,2.795972,0,0,0,G5
1,2.938007,0,0,0,0,G5
0,0,0,0,0,0,G5
1,2.500693,0,0,0,0,G5
3,2.404317,2.813895,2.490687,0,0,G6
1,2.943602,0,0,0,0,G6
3,2.29274,3.023798,2.474971,0,0,G6
3,2.315117,2.959417,2.435804,0,0,G6
3,2.332092,2.922037,2.450712,0,0,G6
3,2.456793,2.83587,2.594562,0,0,G6
3,2.408872,2.877037,2.522352,0,0,G6
2,2.450743,2.505576,0,0,0,G6
3,2.417784,2.847576,2.49469,0,0,G6
3,2.502391,2.817981,2.628977,0,0,G6
2,1.710957,1.803276,0,0,0,G7
2,1.871696,2.01238,0,0,0,G7
2,1.851555,1.962879,0,0,0,G7
2,1.790354,1.778244,0,0,0,G7
2,1.857993,2.017506,0,0,0,G7
3,1.992417,2.354001,1.927038,0,0,G7
2,1.531925,1.825168,0,0,0,G7
2,1.613042,2.316349,0,0,0,G7
2,1.665666,1.97061,0,0,0,G7
2,1.945165,2.129726,0,0,0,G7
3,1.660666,2.951969,2.025239,0,0,G8
2,1.727037,1.931046,0,0,0,G8
3,1.531257,2.987785,1.920433,0,0,G8
2,1.704058,1.982154,0,0,0,G8
3,1.489335,2.978245,1.908152,0,0,G8
2,1.698475,2.080961,0,0,0,G8
3,1.802439,3.059047,1.940806,0,0,G8
2,1.974745,2.130697,0,0,0,G8
3,1.731696,2.902609,1.935304,0,0,G8
3,1.600357,2.966914,1.867119,0,0,G8
4,1.56146,2.888341,2.677135,2.048826,0,G9
5,1.442987,2.859332,2.91142,2.644178,2.212591,G9
5,1.441096,2.805149,2.849608,2.589648,2.289967,G9
5,1.342182,2.760829,2.915002,2.598053,2.1552,G9
1,2.347407,0,0,0,0,G9
5,1.364714,2.873924,2.696498,2.380569,1.989951,G9
1,2.09069,0,0,0,0,G9
5,1.054562,2.671854,2.780809,2.482291,2.020833,G9
5,1.098039,2.651018,2.735512,2.425652,1.94914,G9
4,1.183959,2.92986,2.699477,2.259909,0,G9
1,2.147892,0,0,0,0,G1
1,2.493728,0,0,0,0,G1
0,0,0,0,0,0,G1
1,2.654117,0,0,0,0,G1
1,2.616184,0,0,0,0,G1
1,2.740096,0,0,0,0,G1
1,2.677825,0,0,0,0,G1
1,2.651916,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
3,1.866405,2.746947,1.715891,0,0,G0
3,1.901042,2.945807,1.834341,0,0,G0
