@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,17-19'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1,0,0,G1
1,0,0,G1
0,0,0,G1
1,0,0,G1
2,1101,32.128532,G0
1,1101,0,G0
3,1101,17.040167,G0
3,1101,17.041044,G0
3,1101,17.563013,G0
3,1101,17.309896,G0
3,1101,17.409557,G0
3,1101,17.840916,G0
2,1101,31.454571,G0
2,1101,31.916876,G0
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
0,1000,0,G2
1,1000,0,G2
1,1,0,G3
0,1,0,G3
1,1,0,G3
1,1,0,G3
0,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
2,11000,68.443039,G4
2,11000,73.717079,G4
1,11000,0,G4
1,11000,0,G4
2,11000,36.890366,G4
3,11000,119.785629,G4
3,11000,65.093468,G4
2,11000,64.424599,G4
2,11000,69.695953,G4
2,11000,73.834328,G4
1,1100,0,G5
2,1100,25.616379,G5
2,1100,25.629665,G5
2,1100,25.679893,G5
2,1100,27.027773,G5
1,1100,0,G5
2,1100,27.902817,G5
1,1100,0,G5
0,1100,0,G5
1,1100,0,G5
3,1110,15.463726,G6
1,1110,0,G6
3,1110,14.838311,G6
3,1110,15.428191,G6
3,1110,15.437461,G6
3,1110,14.978341,G6
3,1110,15.487595,G6
2,1110,38.0121,G6
3,1110,16.068598,G6
3,1110,16.370155,G6
2,10001,69.908165,G7
2,10001,77.238541,G7
2,10001,79.161362,G7
2,10001,83.083595,G7
2,10001,78.348076,G7
3,10001,17.543447,G7
2,10001,78.815231,G7
2,10001,75.410538,G7
2,10001,79.038055,G7
2,10001,70.284538,G7
3,11001,36.169849,G8
2,11001,87.031273,G8
3,11001,40.576683,G8
2,11001,88.510788,G8
3,11001,40.252026,G8
2,11001,81.049911,G8
3,11001,27.16869,G8
2,11001,71.723534,G8
3,11001,32.047165,G8
3,11001,37.006699,G8
4,11111,19.266119,G9
5,11111,15.042491,G9
5,11111,14.6588,G9
5,11111,14.425028,G9
1,11111,0,G9
5,11111,15.82129,G9
1,11111,0,G9
5,11111,16.535208,G9
5,11111,16.089895,G9
