@relation gesture-weka.filters.unsupervised.attribute.Remove-V-R12-19

@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute fingersExtended numeric
@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

3.106106,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
4.614525,0,0,0,0,0,0,G1
3.781438,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
4.082344,0,0,0,0,0,0,G1
2.63192,2.416847,0,0,0,1101,32.128532,G0
2.874119,0,0,0,0,1101,0,G0
2.783273,3.03,2.587216,0,0,1101,17.040167,G0
3.05574,3.259898,2.818214,0,0,1101,17.041044,G0
3.487468,3.669697,3.180849,0,0,1101,17.563013,G0
2.98129,3.161629,2.710331,0,0,1101,17.309896,G0
2.936894,3.16389,2.742073,0,0,1101,17.409557,G0
3.430044,3.662693,3.202039,0,0,1101,17.840916,G0
3.074636,2.818256,0,0,0,1101,31.454571,G0
2.631731,2.418613,0,0,0,1101,31.916876,G0
0,0,0,0,0,1000,0,G2
0.854355,0,0,0,0,1000,0,G2
0.93164,0,0,0,0,1000,0,G2
0.895883,0,0,0,0,1000,0,G2
1.561169,0,0,0,0,1000,0,G2
1.806269,0,0,0,0,1000,0,G2
1.290485,0,0,0,0,1000,0,G2
1.071057,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0.478922,0,0,0,0,1000,0,G2
3.137535,0,0,0,0,1,0,G3
0,0,0,0,0,1,0,G3
3.661253,0,0,0,0,1,0,G3
3.471903,0,0,0,0,1,0,G3
0,0,0,0,0,1,0,G3
3.61491,0,0,0,0,1,0,G3
3.042249,0,0,0,0,1,0,G3
3.268291,0,0,0,0,1,0,G3
2.449478,0,0,0,0,1,0,G3
3.606038,0,0,0,0,1,0,G3
1.955073,2.493204,0,0,0,11000,68.443039,G4
2.721886,3.170856,0,0,0,11000,73.717079,G4
1.400174,0,0,0,0,11000,0,G4
1.687941,0,0,0,0,11000,0,G4
1.193801,0.556692,0,0,0,11000,36.890366,G4
5.929871,6.226292,1.330289,0,0,11000,119.785629,G4
5.095947,3.985072,2.221399,0,0,11000,65.093468,G4
2.639253,1.974227,0,0,0,11000,64.424599,G4
1.892025,2.613186,0,0,0,11000,69.695953,G4
1.015194,1.585306,0,0,0,11000,73.834328,G4
2.122289,0,0,0,0,1100,0,G5
1.586052,1.706897,0,0,0,1100,25.616379,G5
2.089303,2.175918,0,0,0,1100,25.629665,G5
2.076686,2.163668,0,0,0,1100,25.679893,G5
2.077395,2.193389,0,0,0,1100,27.027773,G5
2.069059,0,0,0,0,1100,0,G5
3.18826,3.2916,0,0,0,1100,27.902817,G5
3.190281,0,0,0,0,1100,0,G5
0,0,0,0,0,1100,0,G5
2.101639,0,0,0,0,1100,0,G5
2.324026,2.517935,2.306317,0,0,1110,15.463726,G6
3.054793,0,0,0,0,1110,0,G6
2.235231,2.490292,2.269758,0,0,1110,14.838311,G6
2.162264,2.413261,2.189,0,0,1110,15.428191,G6
2.120311,2.365904,2.140013,0,0,1110,15.437461,G6
2.546532,2.750862,2.556167,0,0,1110,14.978341,G6
2.380176,2.605932,2.410807,0,0,1110,15.487595,G6
2.747643,2.709472,0,0,0,1110,38.0121,G6
2.535672,2.753147,2.513848,0,0,1110,16.068598,G6
3.225746,3.458158,3.232599,0,0,1110,16.370155,G6
2.482913,2.585142,0,0,0,10001,69.908165,G7
3.797475,3.898848,0,0,0,10001,77.238541,G7
3.830956,3.925811,0,0,0,10001,79.161362,G7
3.459963,3.379407,0,0,0,10001,83.083595,G7
4.532323,4.741308,0,0,0,10001,78.348076,G7
5.440592,4.877326,5.511092,0,0,10001,17.543447,G7
2.534494,2.779773,0,0,0,10001,78.815231,G7
7.381264,8.375031,0,0,0,10001,75.410538,G7
3.23059,3.456703,0,0,0,10001,79.038055,G7
