@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,12'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,1,-0.299509,0.890207,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1,0,1,-0.364708,0.785661,G1
1,0,1,-0.485387,0.869856,G1
0,0,0,0,0,G1
1,0,1,-0.295764,0.93356,G1
2,1101,0.016534,0.238329,1.058861,G0
1,1101,1,0.397396,0.832151,G0
3,1101,0.011292,0.493598,0.965314,G0
3,1101,0.010951,0.355675,0.988549,G0
3,1101,0.011335,0.57835,0.895118,G0
3,1101,0.011234,0.724144,0.870628,G0
3,1101,0.011063,0.508686,0.998301,G0
3,1101,0.011482,0.530267,1.068097,G0
2,1101,0.017025,0.362851,1.121722,G0
2,1101,0.016541,0.221858,1.068544,G0
0,1000,0,0,0,G2
1,1000,1,-0.10714,0.827349,G2
1,1000,1,-0.176397,0.885353,G2
1,1000,1,-0.180172,0.929243,G2
1,1000,1,-0.163734,0.943691,G2
1,1000,1,-0.147143,0.935648,G2
1,1000,1,-0.138131,0.873468,G2
1,1000,1,-0.20808,0.727005,G2
0,1000,0,0,0,G2
1,1000,1,-0.358454,0.729622,G2
1,1,1,0.541412,0.83058,G3
0,1,0,0,0,G3
1,1,1,0.462858,0.841609,G3
1,1,1,0.659998,0.728467,G3
0,1,0,0,0,G3
1,1,1,0.476256,0.828946,G3
1,1,1,0.392557,0.889354,G3
1,1,1,0.390461,0.873453,G3
1,1,1,0.306161,0.746036,G3
1,1,1,0.465563,0.87375,G3
2,11000,0.00996,-0.308619,1.28561,G4
2,11000,0.009741,-0.193841,1.128605,G4
1,11000,1,0.761958,-0.644317,G4
1,11000,1,-0.870415,0.246019,G4
2,11000,0.01593,-0.442109,0.342575,G4
3,11000,0.026462,2.217399,3.957813,G4
3,11000,0.020799,0.025788,2.411074,G4
2,11000,0.010248,-0.216412,1.204008,G4
2,11000,0.010268,-0.337742,1.27062,G4
2,11000,0.010397,-0.201674,1.357879,G4
1,1100,1,0.057267,0.972637,G5
2,1100,0.020365,0.064748,0.974128,G5
2,1100,0.020396,-0.022499,0.867764,G5
2,1100,0.020314,-0.009446,0.877682,G5
2,1100,0.019104,0.006147,0.997972,G5
1,1100,1,0.019301,0.960213,G5
2,1100,0.019072,0.039962,1.034228,G5
1,1100,1,0.032045,0.996419,G5
0,1100,0,0,0,G5
1,1100,1,0.08606,0.969423,G5
3,1110,0.014228,0.139896,0.993641,G6
1,1110,1,0.216966,0.938215,G6
3,1110,0.014499,0.157546,0.926696,G6
3,1110,0.014726,0.14616,0.912681,G6
3,1110,0.015094,0.141615,0.922221,G6
3,1110,0.015183,0.212588,1.078765,G6
3,1110,0.015188,0.417174,1.005026,G6
2,1110,0.014549,-0.166341,0.745789,G6
3,1110,0.014668,-0.073798,1.073336,G6
3,1110,0.01502,0.082209,1.170329,G6
2,10001,0.010028,0.844688,0.81088,G7
2,10001,0.009677,0.811327,1.022262,G7
2,10001,0.009634,0.842655,1.057828,G7
2,10001,0.009664,1.014016,1.037736,G7
2,10001,0.010198,0.91576,1.124422,G7
3,10001,0.012656,0.86249,1.360674,G7
2,10001,0.009721,0.508107,0.776607,G7
2,10001,0.012008,0.839336,1.519801,G7
2,10001,0.009612,0.644728,0.944019,G7
2,10001,0.010206,0.29487,1.060393,G7
3,11001,0.009102,0.483445,1.367308,G8
2,11001,0.010508,0.829864,1.373388,G8
3,11001,0.009269,0.567829,1.426975,G8
2,11001,0.010403,0.761607,1.478418,G8
3,11001,0.008864,0.642846,1.471149,G8
2,11001,0.010401,0.283297,1.272335,G8
3,11001,0.009289,0.607018,1.179867,G8
2,11001,0.010335,0.633312,1.259652,G8
3,11001,0.008903,0.447865,1.236284,G8
3,11001,0.008751,0.622475,1.343418,G8
4,11111,0.009334,0.530258,1.504573,G9
5,11111,0.007592,0.579419,1.340814,G9
5,11111,0.007429,0.695679,1.295621,G9
5,11111,0.008589,0.791347,1.412484,G9
1,11111,1,-0.799085,0.600263,G9
5,11111,0.008053,0.850534,1.42811,G9
1,11111,1,-0.788799,0.610598,G9
5,11111,0.008228,0.653589,1.178239,G9
5,11111,0.008337,0.904786,1.352818,G9
4,11111,0.008789,0.522232,1.510261,G9
1,0,1,-0.768864,0.635808,G1
1,0,1,-0.616738,0.778669,G1
0,0,0,0,0,G1
1,0,1,-0.553091,0.81432,G1
1,0,1,-0.50255,0.864201,G1
1,0,1,-0.617926,0.786069,G1
1,0,1,-0.739105,0.671906,G1
1,0,1,-0.698455,0.71264,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
3,1101,0.01326,0.426401,0.79501,G0
3,1101,0.012111,0.588854,1.055807,G0
3,1101,0.011576,0.471281,1.026527,G0
3,1101,0.011578,0.58508,1.053928,G0
4,1101,0.013132,0.857719,1.283488,G0
3,1101,0.01185,0.270615,0.965162,G0
3,1101,0.011932,0.302741,0.956813,G0
3,1101,0.011733,0.347208,0.999659,G0
3,1101,0.012033,0.385278,1.013991,G0
3,1101,0.013269,0.543801,1.032953,G0
1,1000,1,-0.215154,0.69643,G2
1,1000,1,0.795045,-0.381329,G2
0,1000,0,0,0,G2
0,1000,0,0,0,G2
1,1000,1,-0.186899,0.780266,G2
1,1000,1,-0.122636,0.768555,G2
2,1000,0.019961,0.024574,1.024957,G2
2,1000,0.019659,0.129716,1.0396,G2
2,1000,0.019598,0.138083,1.060463,G2
2,1000,0.019374,0.035481,0.939747,G2
1,1,1,-0.108901,0.843878,G3
1,1,1,0.483535,0.808117,G3
1,1,1,0.313593,0.901246,G3
1,1,1,0.147303,0.9465,G3
1,1,1,0.40733,0.887323,G3
1,1,1,0.261888,0.942052,G3
2,1,0.01554,0.72652,1.277046,G3
1,1,1,0.20873,0.864457,G3
1,1,1,0.04827,0.831736,G3
1,1,1,0.102806,0.8412,G3
2,11000,0.012328,-0.373879,1.007392,G4
2,11000,0.011536,-0.434245,1.03995,G4
2,11000,0.011128,-0.413022,0.995725,G4
3,11000,0.016534,-0.037151,1.404686,G4
3,11000,0.017193,-0.000103,1.494884,G4
3,11000,0.015802,-0.060346,1.271162,G4
3,11000,0.015629,-0.033475,1.291995,G4
3,11000,0.015646,-0.013315,1.089693,G4
2,11000,0.012082,-0.447857,0.903819,G4
2,11000,0.01208,-0.45698,0.939392,G4
2,1100,0.0152,0.264451,0.887494,G5
2,1100,0.015219,0.30508,0.925899,G5
2,1100,0.014849,0.161662,0.88639,G5
3,1100,0.011702,1.997881,2.267486,G5
2,1100,0.015345,0.207566,0.888379,G5
2,1100,0.015076,0.263061,0.867388,G5
2,1100,0.015137,0.295778,0.891259,G5
2,1100,0.015417,0.302774,0.913023,G5
2,1100,0.015915,0.291047,0.896674,G5
2,1100,0.01531,0.345031,0.843593,G5
3,1110,0.016703,0.054545,0.949435,G6
4,1110,0.018297,0.341613,1.252604,G6
3,1110,0.014526,0.183539,0.811824,G6
3,1110,0.015055,0.132188,0.937772,G6
3,1110,0.01664,0.299692,1.043624,G6
3,1110,0.016096,0.177524,0.979963,G6
3,1110,0.016718,0.124065,0.917098,G6
3,1110,0.016642,0.15952,0.901396,G6
3,1110,0.016364,0.093541,0.866462,G6
3,1110,0.016364,0.025135,0.956087,G6
2,10001,0.009295,1.095423,0.518405,G7
3,10001,0.010929,1.109315,0.908251,G7
3,10001,0.010705,0.911542,0.783362,G7
2,10001,0.010597,0.83926,0.900812,G7
2,10001,0.010411,1.004514,0.870361,G7
3,10001,0.010765,0.944776,0.805686,G7
4,10001,0.01063,1.053624,1.08874,G7
4,10001,0.012277,1.353392,1.285265,G7
4,10001,0.012637,1.458554,1.449588,G7
4,10001,0.012722,1.367796,1.142757,G7
4,11001,0.014992,1.775124,1.977088,G8
2,11001,0.014084,0.288527,1.033955,G8
3,11001,0.010925,0.32148,1.165574,G8
3,11001,0.011431,0.155239,0.956686,G8
3,11001,0.011112,0.274512,0.993523,G8
3,11001,0.011275,0.31914,1.031452,G8
3,11001,0.011513,0.479261,1.177462,G8
3,11001,0.01142,0.500359,1.209937,G8
4,11001,0.012065,0.446692,1.195472,G8
