@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,4,5,6,7-11,12'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,1,-0.299509,0.890207,1,120.217003,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,1,-0.364708,0.785661,1,78.9589,0,0,0,0,G1
0,1,-0.485387,0.869856,1,104.306999,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,1,-0.295764,0.93356,1,89.827202,0,0,0,0,G1
1101,0.016534,0.238329,1.058861,32.128532,131.026993,103.891998,0,0,0,G0
1101,1,0.397396,0.832151,1,102.999001,0,0,0,0,G0
1101,0.011292,0.493598,0.965314,23.471453,108.050003,113.653,86.735001,0,0,G0
1101,0.010951,0.355675,0.988549,23.955109,110.515999,112.492996,86.7481,0,0,G0
1101,0.011335,0.57835,0.895118,23.617138,100.935997,105.171997,84.334198,0,0,G0
1101,0.011234,0.724144,0.870628,23.632465,103.425003,105.636002,84.678802,0,0,G0
1101,0.011063,0.508686,0.998301,23.944956,107.056,110.113998,86.792198,0,0,G0
1101,0.011482,0.530267,1.068097,23.390223,101.848999,108.443001,86.504601,0,0,G0
1101,0.017025,0.362851,1.121722,31.454571,121.334,92.214104,0,0,0,G0
1101,0.016541,0.221858,1.068544,31.916876,133.582001,105.806,0,0,0,G0
1000,0,0,0,0,0,0,0,0,0,G2
1000,1,-0.10714,0.827349,1,119.906998,0,0,0,0,G2
1000,1,-0.176397,0.885353,1,119.152,0,0,0,0,G2
1000,1,-0.180172,0.929243,1,119.431999,0,0,0,0,G2
1000,1,-0.163734,0.943691,1,115.282997,0,0,0,0,G2
1000,1,-0.147143,0.935648,1,111.584,0,0,0,0,G2
1000,1,-0.138131,0.873468,1,121.121002,0,0,0,0,G2
1000,1,-0.20808,0.727005,1,107.694,0,0,0,0,G2
1000,0,0,0,0,0,0,0,0,0,G2
1000,1,-0.358454,0.729622,1,112.519997,0,0,0,0,G2
1,1,0.541412,0.83058,1,109.230003,0,0,0,0,G3
1,0,0,0,0,0,0,0,0,0,G3
