@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,4,6,12'

@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,-0.299509,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,-0.364708,1,G1
0,-0.485387,1,G1
0,0,0,G1
0,-0.295764,1,G1
1101,0.238329,32.128532,G0
1101,0.397396,1,G0
1101,0.493598,23.471453,G0
1101,0.355675,23.955109,G0
1101,0.57835,23.617138,G0
1101,0.724144,23.632465,G0
1101,0.508686,23.944956,G0
1101,0.530267,23.390223,G0
1101,0.362851,31.454571,G0
1101,0.221858,31.916876,G0
1000,0,0,G2
1000,-0.10714,1,G2
1000,-0.176397,1,G2
1000,-0.180172,1,G2
1000,-0.163734,1,G2
1000,-0.147143,1,G2
1000,-0.138131,1,G2
1000,-0.20808,1,G2
1000,0,0,G2
1000,-0.358454,1,G2
1,0.541412,1,G3
1,0,0,G3
1,0.462858,1,G3
1,0.659998,1,G3
1,0,0,G3
1,0.476256,1,G3
1,0.392557,1,G3
1,0.390461,1,G3
1,0.306161,1,G3
1,0.465563,1,G3
11000,-0.308619,68.443039,G4
11000,-0.193841,73.717079,G4
11000,0.761958,1,G4
11000,-0.870415,1,G4
11000,-0.442109,36.890366,G4
11000,2.217399,99.374763,G4
11000,0.025788,54.74033,G4
11000,-0.216412,64.424599,G4
11000,-0.337742,69.695953,G4
11000,-0.201674,73.834328,G4
1100,0.057267,1,G5
1100,0.064748,25.616379,G5
1100,-0.022499,25.629665,G5
1100,-0.009446,25.679893,G5
1100,0.006147,27.027773,G5
1100,0.019301,1,G5
1100,0.039962,27.902817,G5
1100,0.032045,1,G5
1100,0,0,G5
1100,0.08606,1,G5
1110,0.139896,18.979395,G6
1110,0.216966,1,G6
1110,0.157546,18.622959,G6
1110,0.14616,18.366129,G6
1110,0.141615,17.936562,G6
1110,0.212588,17.76836,G6
1110,0.417174,17.800419,G6
1110,-0.166341,38.0121,G6
1110,-0.073798,18.599554,G6
1110,0.082209,18.201717,G6
10001,0.844688,69.908165,G7
10001,0.811327,77.238541,G7
10001,0.842655,79.161362,G7
10001,1.014016,83.083595,G7
10001,0.91576,78.348076,G7
10001,0.86249,44.688377,G7
10001,0.508107,78.815231,G7
10001,0.839336,75.410538,G7
10001,0.644728,79.038055,G7
10001,0.29487,70.284538,G7
11001,0.483445,31.84795,G8
11001,0.829864,87.031273,G8
11001,0.567829,31.582924,G8
11001,0.761607,88.510788,G8
11001,0.642846,34.360435,G8
11001,0.283297,81.049911,G8
11001,0.607018,31.013523,G8
11001,0.633312,71.723534,G8
11001,0.447865,32.058792,G8
11001,0.622475,33.020748,G8
11111,0.530258,16.910755,G9
11111,0.579419,13.740136,G9
11111,0.695679,14.779031,G9
11111,0.791347,11.713248,G9
11111,-0.799085,1,G9
11111,0.850534,11.588235,G9
11111,-0.788799,1,G9
11111,0.653589,11.072308,G9
11111,0.904786,10.192496,G9
11111,0.522232,16.426311,G9
0,-0.768864,1,G1
0,-0.616738,1,G1
0,0,0,G1
0,-0.553091,1,G1
0,-0.50255,1,G1
0,-0.617926,1,G1
0,-0.739105,1,G1
0,-0.698455,1,G1
0,0,0,G1
0,0,0,G1
1101,0.426401,19.429249,G0
1101,0.588854,22.119347,G0
1101,0.471281,22.894224,G0
1101,0.58508,23.186516,G0
1101,0.857719,19.955507,G0
1101,0.270615,22.108004,G0
1101,0.302741,22.267647,G0
1101,0.347208,22.644402,G0
1101,0.385278,21.962376,G0
1101,0.543801,19.529358,G0
1000,-0.215154,1,G2
1000,0.795045,1,G2
1000,0,0,G2
1000,0,0,G2
1000,-0.186899,1,G2
1000,-0.122636,1,G2
1000,0.024574,18.586517,G2
1000,0.129716,18.952829,G2
1000,0.138083,19.019991,G2
1000,0.035481,20.502623,G2
1,-0.108901,1,G3
1,0.483535,1,G3
1,0.313593,1,G3
1,0.147303,1,G3
1,0.40733,1,G3
1,0.261888,1,G3
1,0.72652,43.806084,G3
1,0.20873,1,G3
1,0.04827,1,G3
1,0.102806,1,G3
11000,-0.373879,53.363533,G4
11000,-0.434245,55.445675,G4
11000,-0.413022,57.632858,G4
11000,-0.037151,18.210123,G4
11000,-0.000103,17.409941,G4
11000,-0.060346,18.754187,G4
11000,-0.033475,19.466267,G4
11000,-0.013315,19.616816,G4
11000,-0.447857,53.907883,G4
11000,-0.45698,54.080479,G4
1100,0.264451,35.383423,G5
1100,0.30508,35.510876,G5
1100,0.161662,36.217762,G5
1100,1.997881,28.439514,G5
1100,0.207566,35.175339,G5
1100,0.263061,36.02306,G5
1100,0.295778,35.848511,G5
1100,0.302774,35.379021,G5
1100,0.291047,33.79295,G5
1100,0.345031,35.247337,G5
1110,0.054545,15.573933,G6
1110,0.341613,14.413544,G6
1110,0.183539,17.945267,G6
1110,0.132188,17.476412,G6
1110,0.299692,15.826111,G6
1110,0.177524,16.318581,G6
1110,0.124065,15.603787,G6
1110,0.15952,15.716647,G6
1110,0.093541,16.018442,G6
1110,0.025135,16.020119,G6
10001,1.095423,80.422737,G7
10001,1.109315,41.267994,G7
10001,0.911542,40.350845,G7
10001,0.83926,74.734032,G7
10001,1.004514,76.033142,G7
10001,0.944776,40.558052,G7
10001,1.053624,26.645836,G7
10001,1.353392,26.544914,G7
10001,1.458554,27.584511,G7
10001,1.367796,26.861992,G7
11001,1.775124,17.067598,G8
11001,0.288527,40.308922,G8
11001,0.32148,25.895041,G8
11001,0.155239,24.940514,G8
11001,0.274512,25.743473,G8
11001,0.31914,25.42441,G8
11001,0.479261,24.691273,G8
11001,0.500359,24.97603,G8
11001,0.446692,17.722002,G8
11001,2.231167,18.097288,G8
11111,0.912641,10.475904,G9
11111,0.795213,10.736491,G9
11111,0.66777,10.215485,G9
11111,0.777736,10.836102,G9
11111,0.782084,10.868353,G9
11111,0.792103,9.782095,G9
11111,0.642047,10.083056,G9
11111,-0.196212,25.220232,G9
11111,0.671083,25.929398,G9
11111,0.730756,10.531284,G9
0,0,0,G1
0,0.734957,1,G1
0,0.581342,5.416896,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,-0.667931,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1101,0.861251,4.915854,G0
1101,0.461436,19.595537,G0
1101,0.41388,19.243837,G0
1101,1.781367,7.804761,G0
1101,0.36219,19.793972,G0
1101,0.457707,20.028419,G0
1101,0.568438,19.043934,G0
1101,-0.014742,22.023912,G0
1101,0.961435,1.973912,G0
1101,0.910031,4.449722,G0
1000,-0.303567,1,G2
1000,0,0,G2
1000,0,0,G2
1000,0,0,G2
1000,-0.315823,1,G2
1000,-0.111525,1,G2
1000,-0.210051,1,G2
1000,0,0,G2
1000,-0.267906,1,G2
1000,-0.291259,1,G2
1,0.488662,49.595951,G3
1,0,0,G3
1,0.822483,53.400436,G3
1,0.211315,1,G3
1,0.257286,1,G3
