@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,7-11,12'

@attribute fingersExtended numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

0,120.217003,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,78.9589,0,0,0,0,G1
0,104.306999,0,0,0,0,G1
0,0,0,0,0,0,G1
0,89.827202,0,0,0,0,G1
1101,131.026993,103.891998,0,0,0,G0
1101,102.999001,0,0,0,0,G0
1101,108.050003,113.653,86.735001,0,0,G0
1101,110.515999,112.492996,86.7481,0,0,G0
1101,100.935997,105.171997,84.334198,0,0,G0
1101,103.425003,105.636002,84.678802,0,0,G0
1101,107.056,110.113998,86.792198,0,0,G0
1101,101.848999,108.443001,86.504601,0,0,G0
1101,121.334,92.214104,0,0,0,G0
1101,133.582001,105.806,0,0,0,G0
1000,0,0,0,0,0,G2
1000,119.906998,0,0,0,0,G2
1000,119.152,0,0,0,0,G2
1000,119.431999,0,0,0,0,G2
1000,115.282997,0,0,0,0,G2
1000,111.584,0,0,0,0,G2
1000,121.121002,0,0,0,0,G2
1000,107.694,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,112.519997,0,0,0,0,G2
1,109.230003,0,0,0,0,G3
1,0,0,0,0,0,G3
1,100.240997,0,0,0,0,G3
1,107.528,0,0,0,0,G3
1,0,0,0,0,0,G3
1,99.727997,0,0,0,0,G3
1,98.974899,0,0,0,0,G3
1,98.621498,0,0,0,0,G3
1,100.572998,0,0,0,0,G3
1,99.053703,0,0,0,0,G3
11000,101.321999,122.958,0,0,0,G4
11000,102.444,110.323997,0,0,0,G4
11000,63.297001,0,0,0,0,G4
11000,114.759003,0,0,0,0,G4
11000,105.407997,70.869301,0,0,0,G4
11000,103.403,109.995003,102.380997,0,0,G4
11000,98.816704,101.417999,84.853104,0,0,G4
11000,99.393204,103.876999,0,0,0,G4
11000,96.926697,110.279999,0,0,0,G4
11000,95.564003,108.641998,0,0,0,G4
1100,126.640999,0,0,0,0,G5
1100,115.547997,122.045998,0,0,0,G5
1100,109.852997,115.224998,0,0,0,G5
1100,110.613998,115.168999,0,0,0,G5
1100,122.787003,124.913002,0,0,0,G5
1100,126.237999,0,0,0,0,G5
1100,103.016998,112.181999,0,0,0,G5
1100,121.447998,0,0,0,0,G5
1100,0,0,0,0,0,G5
1100,123.167,0,0,0,0,G5
1110,106.755997,118.797997,102.643997,0,0,G6
1110,102.876999,0,0,0,0,G6
1110,103.367996,116.814003,101.875,0,0,G6
1110,100.446999,114.722,99.984001,0,0,G6
1110,101.064003,115.954002,100.111,0,0,G6
1110,104.433998,117.791,101.913002,0,0,G6
1110,100.619003,114.557999,100.813004,0,0,G6
1110,102.448997,97.359299,0,0,0,G6
1110,104.584,117.835999,100.153,0,0,G6
1110,103.240997,119.239998,100.172997,0,0,G6
10001,99.782097,102.722,0,0,0,G7
10001,105.162003,103.779999,0,0,0,G7
10001,105.089996,104.800003,0,0,0,G7
10001,110.730003,105.195,0,0,0,G7
10001,99.700897,103.990997,0,0,0,G7
10001,94.523804,40.6563,103.947998,0,0,G7
10001,103.980003,104.294998,0,0,0,G7
10001,88.132301,96.902397,0,0,0,G7
10001,107.790001,104.607002,0,0,0,G7
10001,97.864899,103.037003,0,0,0,G7
11001,104.358002,117.778999,100.407997,0,0,G8
11001,102.054001,108.947998,0,0,0,G8
11001,101.954002,122.779999,104.753998,0,0,G8
11001,104.455002,107.799004,0,0,0,G8
11001,103.748001,110.110001,104.364998,0,0,G8
11001,99.2332,105.745003,0,0,0,G8
11001,96.258698,105.462997,99.299698,0,0,G8
11001,96.715698,102.060997,0,0,0,G8
11001,98.849998,107.467003,101.607002,0,0,G8
11001,104.066002,110.952003,102.277,0,0,G8
11111,95.220802,103.060997,120.870003,96.360802,0,G9
