@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R4,5,6,12'

@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

-0.299509,0.890207,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
-0.364708,0.785661,1,G1
-0.485387,0.869856,1,G1
0,0,0,G1
-0.295764,0.93356,1,G1
0.238329,1.058861,32.128532,G0
0.397396,0.832151,1,G0
0.493598,0.965314,23.471453,G0
0.355675,0.988549,23.955109,G0
0.57835,0.895118,23.617138,G0
0.724144,0.870628,23.632465,G0
0.508686,0.998301,23.944956,G0
0.530267,1.068097,23.390223,G0
0.362851,1.121722,31.454571,G0
0.221858,1.068544,31.916876,G0
0,0,0,G2
-0.10714,0.827349,1,G2
-0.176397,0.885353,1,G2
-0.180172,0.929243,1,G2
-0.163734,0.943691,1,G2
-0.147143,0.935648,1,G2
-0.138131,0.873468,1,G2
-0.20808,0.727005,1,G2
0,0,0,G2
-0.358454,0.729622,1,G2
0.541412,0.83058,1,G3
0,0,0,G3
0.462858,0.841609,1,G3
0.659998,0.728467,1,G3
0,0,0,G3
0.476256,0.828946,1,G3
0.392557,0.889354,1,G3
0.390461,0.873453,1,G3
0.306161,0.746036,1,G3
0.465563,0.87375,1,G3
-0.308619,1.28561,68.443039,G4
-0.193841,1.128605,73.717079,G4
0.761958,-0.644317,1,G4
-0.870415,0.246019,1,G4
-0.442109,0.342575,36.890366,G4
2.217399,3.957813,99.374763,G4
0.025788,2.411074,54.74033,G4
-0.216412,1.204008,64.424599,G4
-0.337742,1.27062,69.695953,G4
-0.201674,1.357879,73.834328,G4
0.057267,0.972637,1,G5
0.064748,0.974128,25.616379,G5
-0.022499,0.867764,25.629665,G5
-0.009446,0.877682,25.679893,G5
0.006147,0.997972,27.027773,G5
0.019301,0.960213,1,G5
0.039962,1.034228,27.902817,G5
0.032045,0.996419,1,G5
0,0,0,G5
0.08606,0.969423,1,G5
0.139896,0.993641,18.979395,G6
0.216966,0.938215,1,G6
0.157546,0.926696,18.622959,G6
0.14616,0.912681,18.366129,G6
0.141615,0.922221,17.936562,G6
0.212588,1.078765,17.76836,G6
0.417174,1.005026,17.800419,G6
-0.166341,0.745789,38.0121,G6
-0.073798,1.073336,18.599554,G6
0.082209,1.170329,18.201717,G6
0.844688,0.81088,69.908165,G7
0.811327,1.022262,77.238541,G7
0.842655,1.057828,79.161362,G7
1.014016,1.037736,83.083595,G7
0.91576,1.124422,78.348076,G7
0.86249,1.360674,44.688377,G7
0.508107,0.776607,78.815231,G7
0.839336,1.519801,75.410538,G7
0.644728,0.944019,79.038055,G7
0.29487,1.060393,70.284538,G7
0.483445,1.367308,31.84795,G8
0.829864,1.373388,87.031273,G8
