@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_Y numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,1,0.890207,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
1,0,1,0.785661,G1
1,0,1,0.869856,G1
0,0,0,0,G1
1,0,1,0.93356,G1
2,1101,0.016534,1.058861,G0
1,1101,1,0.832151,G0
3,1101,0.011292,0.965314,G0
3,1101,0.010951,0.988549,G0
3,1101,0.011335,0.895118,G0
3,1101,0.011234,0.870628,G0
3,1101,0.011063,0.998301,G0
3,1101,0.011482,1.068097,G0
2,1101,0.017025,1.121722,G0
2,1101,0.016541,1.068544,G0
0,1000,0,0,G2
1,1000,1,0.827349,G2
1,1000,1,0.885353,G2
1,1000,1,0.929243,G2
1,1000,1,0.943691,G2
1,1000,1,0.935648,G2
1,1000,1,0.873468,G2
1,1000,1,0.727005,G2
0,1000,0,0,G2
1,1000,1,0.729622,G2
1,1,1,0.83058,G3
0,1,0,0,G3
1,1,1,0.841609,G3
1,1,1,0.728467,G3
0,1,0,0,G3
1,1,1,0.828946,G3
1,1,1,0.889354,G3
1,1,1,0.873453,G3
1,1,1,0.746036,G3
1,1,1,0.87375,G3
2,11000,0.00996,1.28561,G4
2,11000,0.009741,1.128605,G4
1,11000,1,-0.644317,G4
1,11000,1,0.246019,G4
2,11000,0.01593,0.342575,G4
3,11000,0.026462,3.957813,G4
3,11000,0.020799,2.411074,G4
2,11000,0.010248,1.204008,G4
2,11000,0.010268,1.27062,G4
2,11000,0.010397,1.357879,G4
1,1100,1,0.972637,G5
2,1100,0.020365,0.974128,G5
2,1100,0.020396,0.867764,G5
2,1100,0.020314,0.877682,G5
2,1100,0.019104,0.997972,G5
1,1100,1,0.960213,G5
2,1100,0.019072,1.034228,G5
1,1100,1,0.996419,G5
0,1100,0,0,G5
1,1100,1,0.969423,G5
3,1110,0.014228,0.993641,G6
1,1110,1,0.938215,G6
3,1110,0.014499,0.926696,G6
3,1110,0.014726,0.912681,G6
3,1110,0.015094,0.922221,G6
3,1110,0.015183,1.078765,G6
3,1110,0.015188,1.005026,G6
2,1110,0.014549,0.745789,G6
3,1110,0.014668,1.073336,G6
3,1110,0.01502,1.170329,G6
2,10001,0.010028,0.81088,G7
2,10001,0.009677,1.022262,G7
2,10001,0.009634,1.057828,G7
2,10001,0.009664,1.037736,G7
2,10001,0.010198,1.124422,G7
3,10001,0.012656,1.360674,G7
2,10001,0.009721,0.776607,G7
2,10001,0.012008,1.519801,G7
2,10001,0.009612,0.944019,G7
2,10001,0.010206,1.060393,G7
3,11001,0.009102,1.367308,G8
2,11001,0.010508,1.373388,G8
3,11001,0.009269,1.426975,G8
2,11001,0.010403,1.478418,G8
3,11001,0.008864,1.471149,G8
2,11001,0.010401,1.272335,G8
3,11001,0.009289,1.179867,G8
2,11001,0.010335,1.259652,G8
3,11001,0.008903,1.236284,G8
3,11001,0.008751,1.343418,G8
4,11111,0.009334,1.504573,G9
5,11111,0.007592,1.340814,G9
5,11111,0.007429,1.295621,G9
5,11111,0.008589,1.412484,G9
1,11111,1,0.600263,G9
5,11111,0.008053,1.42811,G9
1,11111,1,0.610598,G9
5,11111,0.008228,1.178239,G9
5,11111,0.008337,1.352818,G9
4,11111,0.008789,1.510261,G9
1,0,1,0.635808,G1
1,0,1,0.778669,G1
0,0,0,0,G1
1,0,1,0.81432,G1
1,0,1,0.864201,G1
1,0,1,0.786069,G1
1,0,1,0.671906,G1
1,0,1,0.71264,G1
0,0,0,0,G1
0,0,0,0,G1
3,1101,0.01326,0.79501,G0
3,1101,0.012111,1.055807,G0
3,1101,0.011576,1.026527,G0
3,1101,0.011578,1.053928,G0
4,1101,0.013132,1.283488,G0
3,1101,0.01185,0.965162,G0
3,1101,0.011932,0.956813,G0
3,1101,0.011733,0.999659,G0
3,1101,0.012033,1.013991,G0
3,1101,0.013269,1.032953,G0
1,1000,1,0.69643,G2
1,1000,1,-0.381329,G2
0,1000,0,0,G2
0,1000,0,0,G2
1,1000,1,0.780266,G2
1,1000,1,0.768555,G2
