@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,4,7-11,12'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,0,-0.299509,120.217003,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,-0.364708,78.9589,0,0,0,0,G1
1,0,-0.485387,104.306999,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,-0.295764,89.827202,0,0,0,0,G1
2,1101,0.238329,131.026993,103.891998,0,0,0,G0
1,1101,0.397396,102.999001,0,0,0,0,G0
3,1101,0.493598,108.050003,113.653,86.735001,0,0,G0
3,1101,0.355675,110.515999,112.492996,86.7481,0,0,G0
3,1101,0.57835,100.935997,105.171997,84.334198,0,0,G0
3,1101,0.724144,103.425003,105.636002,84.678802,0,0,G0
3,1101,0.508686,107.056,110.113998,86.792198,0,0,G0
3,1101,0.530267,101.848999,108.443001,86.504601,0,0,G0
2,1101,0.362851,121.334,92.214104,0,0,0,G0
2,1101,0.221858,133.582001,105.806,0,0,0,G0
0,1000,0,0,0,0,0,0,G2
1,1000,-0.10714,119.906998,0,0,0,0,G2
1,1000,-0.176397,119.152,0,0,0,0,G2
1,1000,-0.180172,119.431999,0,0,0,0,G2
1,1000,-0.163734,115.282997,0,0,0,0,G2
1,1000,-0.147143,111.584,0,0,0,0,G2
1,1000,-0.138131,121.121002,0,0,0,0,G2
1,1000,-0.20808,107.694,0,0,0,0,G2
0,1000,0,0,0,0,0,0,G2
1,1000,-0.358454,112.519997,0,0,0,0,G2
1,1,0.541412,109.230003,0,0,0,0,G3
0,1,0,0,0,0,0,0,G3
1,1,0.462858,100.240997,0,0,0,0,G3
1,1,0.659998,107.528,0,0,0,0,G3
0,1,0,0,0,0,0,0,G3
1,1,0.476256,99.727997,0,0,0,0,G3
1,1,0.392557,98.974899,0,0,0,0,G3
1,1,0.390461,98.621498,0,0,0,0,G3
1,1,0.306161,100.572998,0,0,0,0,G3
1,1,0.465563,99.053703,0,0,0,0,G3
2,11000,-0.308619,101.321999,122.958,0,0,0,G4
2,11000,-0.193841,102.444,110.323997,0,0,0,G4
1,11000,0.761958,63.297001,0,0,0,0,G4
1,11000,-0.870415,114.759003,0,0,0,0,G4
2,11000,-0.442109,105.407997,70.869301,0,0,0,G4
3,11000,2.217399,103.403,109.995003,102.380997,0,0,G4
3,11000,0.025788,98.816704,101.417999,84.853104,0,0,G4
2,11000,-0.216412,99.393204,103.876999,0,0,0,G4
2,11000,-0.337742,96.926697,110.279999,0,0,0,G4
2,11000,-0.201674,95.564003,108.641998,0,0,0,G4
1,1100,0.057267,126.640999,0,0,0,0,G5
2,1100,0.064748,115.547997,122.045998,0,0,0,G5
2,1100,-0.022499,109.852997,115.224998,0,0,0,G5
2,1100,-0.009446,110.613998,115.168999,0,0,0,G5
2,1100,0.006147,122.787003,124.913002,0,0,0,G5
1,1100,0.019301,126.237999,0,0,0,0,G5
2,1100,0.039962,103.016998,112.181999,0,0,0,G5
1,1100,0.032045,121.447998,0,0,0,0,G5
0,1100,0,0,0,0,0,0,G5
1,1100,0.08606,123.167,0,0,0,0,G5
3,1110,0.139896,106.755997,118.797997,102.643997,0,0,G6
1,1110,0.216966,102.876999,0,0,0,0,G6
3,1110,0.157546,103.367996,116.814003,101.875,0,0,G6
3,1110,0.14616,100.446999,114.722,99.984001,0,0,G6
3,1110,0.141615,101.064003,115.954002,100.111,0,0,G6
3,1110,0.212588,104.433998,117.791,101.913002,0,0,G6
3,1110,0.417174,100.619003,114.557999,100.813004,0,0,G6
2,1110,-0.166341,102.448997,97.359299,0,0,0,G6
3,1110,-0.073798,104.584,117.835999,100.153,0,0,G6
3,1110,0.082209,103.240997,119.239998,100.172997,0,0,G6
2,10001,0.844688,99.782097,102.722,0,0,0,G7
2,10001,0.811327,105.162003,103.779999,0,0,0,G7
2,10001,0.842655,105.089996,104.800003,0,0,0,G7
2,10001,1.014016,110.730003,105.195,0,0,0,G7
2,10001,0.91576,99.700897,103.990997,0,0,0,G7
3,10001,0.86249,94.523804,40.6563,103.947998,0,0,G7
2,10001,0.508107,103.980003,104.294998,0,0,0,G7
2,10001,0.839336,88.132301,96.902397,0,0,0,G7
2,10001,0.644728,107.790001,104.607002,0,0,0,G7
2,10001,0.29487,97.864899,103.037003,0,0,0,G7
3,11001,0.483445,104.358002,117.778999,100.407997,0,0,G8
2,11001,0.829864,102.054001,108.947998,0,0,0,G8
3,11001,0.567829,101.954002,122.779999,104.753998,0,0,G8
2,11001,0.761607,104.455002,107.799004,0,0,0,G8
3,11001,0.642846,103.748001,110.110001,104.364998,0,0,G8
2,11001,0.283297,99.2332,105.745003,0,0,0,G8
3,11001,0.607018,96.258698,105.462997,99.299698,0,0,G8
2,11001,0.633312,96.715698,102.060997,0,0,0,G8
3,11001,0.447865,98.849998,107.467003,101.607002,0,0,G8
3,11001,0.622475,104.066002,110.952003,102.277,0,0,G8
4,11111,0.530258,95.220802,103.060997,120.870003,96.360802,0,G9
5,11111,0.579419,103.224998,121.300003,130.766006,128.531998,111.373001,G9
5,11111,0.695679,106.547997,122.781998,136.326004,136.412003,117.976997,G9
5,11111,0.791347,95.237396,102.349998,112.341003,108.726997,93.588997,G9
1,11111,-0.799085,133.960999,0,0,0,0,G9
5,11111,0.850534,97.067802,105.236,113.291,111.339996,100.599998,G9
1,11111,-0.788799,126.260002,0,0,0,0,G9
5,11111,0.653589,101.417999,101.126999,114.833,111.983002,96.759903,G9
5,11111,0.904786,98.643501,95.384804,110.667999,109.872002,97.678596,G9
4,11111,0.522232,97.3955,124.738998,115.880997,102.863998,0,G9
1,0,-0.768864,86.944199,0,0,0,0,G1
1,0,-0.616738,98.389503,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,-0.553091,106.129997,0,0,0,0,G1
1,0,-0.50255,102.500999,0,0,0,0,G1
1,0,-0.617926,105.296997,0,0,0,0,G1
1,0,-0.739105,109.553001,0,0,0,0,G1
1,0,-0.698455,98.824997,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
3,1101,0.426401,93.812103,96.124397,66.9897,0,0,G0
3,1101,0.588854,93.563904,97.066597,75.4216,0,0,G0
3,1101,0.471281,100.234001,102.940002,77.876198,0,0,G0
3,1101,0.58508,93.298302,95.126404,71.707703,0,0,G0
4,1101,0.857719,95.024597,96.257401,37.310799,77.351898,0,G0
3,1101,0.270615,105.160004,106.960999,78.053802,0,0,G0
3,1101,0.302741,104.260002,102.469002,85.7229,0,0,G0
3,1101,0.347208,99.112701,100.557999,78.215401,0,0,G0
3,1101,0.385278,98.651398,101.000999,75.143204,0,0,G0
3,1101,0.543801,87.440903,87.005699,59.714199,0,0,G0
1,1000,-0.215154,115.737,0,0,0,0,G2
1,1000,0.795045,80.178101,0,0,0,0,G2
0,1000,0,0,0,0,0,0,G2
0,1000,0,0,0,0,0,0,G2
1,1000,-0.186899,116.958,0,0,0,0,G2
1,1000,-0.122636,113.138,0,0,0,0,G2
2,1000,0.024574,110.500999,53.357498,0,0,0,G2
2,1000,0.129716,110.375,51.494499,0,0,0,G2
2,1000,0.138083,111.318001,52.629601,0,0,0,G2
2,1000,0.035481,109.982002,52.1091,0,0,0,G2
1,1,-0.108901,113.277,0,0,0,0,G3
1,1,0.483535,91.757103,0,0,0,0,G3
1,1,0.313593,106.957001,0,0,0,0,G3
1,1,0.147303,110.268997,0,0,0,0,G3
1,1,0.40733,109.665001,0,0,0,0,G3
1,1,0.261888,135.882996,0,0,0,0,G3
2,1,0.72652,59.834099,94.816498,0,0,0,G3
1,1,0.20873,108.246002,0,0,0,0,G3
1,1,0.04827,106.544998,0,0,0,0,G3
1,1,0.102806,101.910004,0,0,0,0,G3
2,11000,-0.373879,83.315903,109.390999,0,0,0,G4
2,11000,-0.434245,92.199402,118.580002,0,0,0,G4
2,11000,-0.413022,95.2593,122.478996,0,0,0,G4
3,11000,-0.037151,87.117996,112.362999,58.881401,0,0,G4
3,11000,-0.000103,83.523903,113.338997,56.2192,0,0,G4
3,11000,-0.060346,88.517601,113.525002,58.933201,0,0,G4
3,11000,-0.033475,89.174004,112.768997,60.979599,0,0,G4
3,11000,-0.013315,88.610901,113.556,60.487099,0,0,G4
2,11000,-0.447857,86.2808,110.233002,0,0,0,G4
2,11000,-0.45698,86.022003,109.877998,0,0,0,G4
2,1100,0.264451,96.672798,96.496902,0,0,0,G5
2,1100,0.30508,102.778999,106.649002,0,0,0,G5
2,1100,0.161662,109.610001,114.014,0,0,0,G5
3,1100,1.997881,112.366997,119.594002,121.306,0,0,G5
2,1100,0.207566,108.709999,115.466003,0,0,0,G5
2,1100,0.263061,104.001999,109.497002,0,0,0,G5
2,1100,0.295778,101.138,105.140999,0,0,0,G5
2,1100,0.302774,91.851303,93.425598,0,0,0,G5
2,1100,0.291047,98.891502,101.624001,0,0,0,G5
2,1100,0.345031,97.521202,99.0504,0,0,0,G5
3,1110,0.054545,105.122002,111.474998,97.892601,0,0,G6
4,1110,0.341613,92.447098,97.091301,43.062302,90.696602,0,G6
3,1110,0.183539,103.485001,107.704002,98.470703,0,0,G6
3,1110,0.132188,89.549202,92.261002,79.6325,0,0,G6
3,1110,0.299692,83.667999,88.539001,79.108002,0,0,G6
3,1110,0.177524,92.661301,99.374199,89.316704,0,0,G6
3,1110,0.124065,96.857697,102.976997,93.476799,0,0,G6
3,1110,0.15952,97.362999,103.477997,92.367203,0,0,G6
3,1110,0.093541,97.2173,104.301003,94.2453,0,0,G6
3,1110,0.025135,105.761002,115.042,102.878998,0,0,G6
2,10001,1.095423,108.107002,108.884003,0,0,0,G7
3,10001,1.109315,98.513298,62.635101,106.789001,0,0,G7
3,10001,0.911542,99.552498,65.182602,106.087997,0,0,G7
2,10001,0.83926,94.540497,105.625,0,0,0,G7
2,10001,1.004514,96.964104,103.737,0,0,0,G7
3,10001,0.944776,100.123001,63.799301,104.551003,0,0,G7
4,10001,1.053624,100.950996,68.823097,63.991699,104.011002,0,G7
4,10001,1.353392,91.495903,54.508701,54.2957,93.050697,0,G7
4,10001,1.458554,92.336098,50.448601,52.889301,92.208603,0,G7
