@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,3,6,7-11,12'

@attribute numFingers numeric
@attribute ratio numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data

1,1,1,120.217003,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,1,1,78.9589,0,0,0,0,G1
1,1,1,104.306999,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,1,1,89.827202,0,0,0,0,G1
2,0.016534,32.128532,131.026993,103.891998,0,0,0,G0
1,1,1,102.999001,0,0,0,0,G0
3,0.011292,23.471453,108.050003,113.653,86.735001,0,0,G0
3,0.010951,23.955109,110.515999,112.492996,86.7481,0,0,G0
3,0.011335,23.617138,100.935997,105.171997,84.334198,0,0,G0
3,0.011234,23.632465,103.425003,105.636002,84.678802,0,0,G0
3,0.011063,23.944956,107.056,110.113998,86.792198,0,0,G0
3,0.011482,23.390223,101.848999,108.443001,86.504601,0,0,G0
2,0.017025,31.454571,121.334,92.214104,0,0,0,G0
2,0.016541,31.916876,133.582001,105.806,0,0,0,G0
0,0,0,0,0,0,0,0,G2
1,1,1,119.906998,0,0,0,0,G2
1,1,1,119.152,0,0,0,0,G2
1,1,1,119.431999,0,0,0,0,G2
1,1,1,115.282997,0,0,0,0,G2
1,1,1,111.584,0,0,0,0,G2
1,1,1,121.121002,0,0,0,0,G2
1,1,1,107.694,0,0,0,0,G2
0,0,0,0,0,0,0,0,G2
1,1,1,112.519997,0,0,0,0,G2
1,1,1,109.230003,0,0,0,0,G3
0,0,0,0,0,0,0,0,G3
1,1,1,100.240997,0,0,0,0,G3
1,1,1,107.528,0,0,0,0,G3
0,0,0,0,0,0,0,0,G3
1,1,1,99.727997,0,0,0,0,G3
1,1,1,98.974899,0,0,0,0,G3
1,1,1,98.621498,0,0,0,0,G3
1,1,1,100.572998,0,0,0,0,G3
1,1,1,99.053703,0,0,0,0,G3
2,0.00996,68.443039,101.321999,122.958,0,0,0,G4
2,0.009741,73.717079,102.444,110.323997,0,0,0,G4
1,1,1,63.297001,0,0,0,0,G4
1,1,1,114.759003,0,0,0,0,G4
2,0.01593,36.890366,105.407997,70.869301,0,0,0,G4
3,0.026462,99.374763,103.403,109.995003,102.380997,0,0,G4
3,0.020799,54.74033,98.816704,101.417999,84.853104,0,0,G4
2,0.010248,64.424599,99.393204,103.876999,0,0,0,G4
2,0.010268,69.695953,96.926697,110.279999,0,0,0,G4
2,0.010397,73.834328,95.564003,108.641998,0,0,0,G4
1,1,1,126.640999,0,0,0,0,G5
2,0.020365,25.616379,115.547997,122.045998,0,0,0,G5
2,0.020396,25.629665,109.852997,115.224998,0,0,0,G5
2,0.020314,25.679893,110.613998,115.168999,0,0,0,G5
2,0.019104,27.027773,122.787003,124.913002,0,0,0,G5
1,1,1,126.237999,0,0,0,0,G5
2,0.019072,27.902817,103.016998,112.181999,0,0,0,G5
1,1,1,121.447998,0,0,0,0,G5
0,0,0,0,0,0,0,0,G5
1,1,1,123.167,0,0,0,0,G5
3,0.014228,18.979395,106.755997,118.797997,102.643997,0,0,G6
1,1,1,102.876999,0,0,0,0,G6
3,0.014499,18.622959,103.367996,116.814003,101.875,0,0,G6
3,0.014726,18.366129,100.446999,114.722,99.984001,0,0,G6
3,0.015094,17.936562,101.064003,115.954002,100.111,0,0,G6
3,0.015183,17.76836,104.433998,117.791,101.913002,0,0,G6
3,0.015188,17.800419,100.619003,114.557999,100.813004,0,0,G6
2,0.014549,38.0121,102.448997,97.359299,0,0,0,G6
3,0.014668,18.599554,104.584,117.835999,100.153,0,0,G6
3,0.01502,18.201717,103.240997,119.239998,100.172997,0,0,G6
2,0.010028,69.908165,99.782097,102.722,0,0,0,G7
2,0.009677,77.238541,105.162003,103.779999,0,0,0,G7
2,0.009634,79.161362,105.089996,104.800003,0,0,0,G7
2,0.009664,83.083595,110.730003,105.195,0,0,0,G7
2,0.010198,78.348076,99.700897,103.990997,0,0,0,G7
3,0.012656,44.688377,94.523804,40.6563,103.947998,0,0,G7
2,0.009721,78.815231,103.980003,104.294998,0,0,0,G7
2,0.012008,75.410538,88.132301,96.902397,0,0,0,G7
2,0.009612,79.038055,107.790001,104.607002,0,0,0,G7
2,0.010206,70.284538,97.864899,103.037003,0,0,0,G7
3,0.009102,31.84795,104.358002,117.778999,100.407997,0,0,G8
2,0.010508,87.031273,102.054001,108.947998,0,0,0,G8
3,0.009269,31.582924,101.954002,122.779999,104.753998,0,0,G8
2,0.010403,88.510788,104.455002,107.799004,0,0,0,G8
3,0.008864,34.360435,103.748001,110.110001,104.364998,0,0,G8
2,0.010401,81.049911,99.2332,105.745003,0,0,0,G8
3,0.009289,31.013523,96.258698,105.462997,99.299698,0,0,G8
2,0.010335,71.723534,96.715698,102.060997,0,0,0,G8
3,0.008903,32.058792,98.849998,107.467003,101.607002,0,0,G8
3,0.008751,33.020748,104.066002,110.952003,102.277,0,0,G8
4,0.009334,16.910755,95.220802,103.060997,120.870003,96.360802,0,G9
5,0.007592,13.740136,103.224998,121.300003,130.766006,128.531998,111.373001,G9
5,0.007429,14.779031,106.547997,122.781998,136.326004,136.412003,117.976997,G9
5,0.008589,11.713248,95.237396,102.349998,112.341003,108.726997,93.588997,G9
1,1,1,133.960999,0,0,0,0,G9
5,0.008053,11.588235,97.067802,105.236,113.291,111.339996,100.599998,G9
1,1,1,126.260002,0,0,0,0,G9
5,0.008228,11.072308,101.417999,101.126999,114.833,111.983002,96.759903,G9
5,0.008337,10.192496,98.643501,95.384804,110.667999,109.872002,97.678596,G9
4,0.008789,16.426311,97.3955,124.738998,115.880997,102.863998,0,G9
1,1,1,86.944199,0,0,0,0,G1
1,1,1,98.389503,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,1,1,106.129997,0,0,0,0,G1
1,1,1,102.500999,0,0,0,0,G1
1,1,1,105.296997,0,0,0,0,G1
1,1,1,109.553001,0,0,0,0,G1
1,1,1,98.824997,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
3,0.01326,19.429249,93.812103,96.124397,66.9897,0,0,G0
3,0.012111,22.119347,93.563904,97.066597,75.4216,0,0,G0
3,0.011576,22.894224,100.234001,102.940002,77.876198,0,0,G0
3,0.011578,23.186516,93.298302,95.126404,71.707703,0,0,G0
4,0.013132,19.955507,95.024597,96.257401,37.310799,77.351898,0,G0
3,0.01185,22.108004,105.160004,106.960999,78.053802,0,0,G0
3,0.011932,22.267647,104.260002,102.469002,85.7229,0,0,G0
3,0.011733,22.644402,99.112701,100.557999,78.215401,0,0,G0
3,0.012033,21.962376,98.651398,101.000999,75.143204,0,0,G0
3,0.013269,19.529358,87.440903,87.005699,59.714199,0,0,G0
1,1,1,115.737,0,0,0,0,G2
1,1,1,80.178101,0,0,0,0,G2
0,0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,G2
1,1,1,116.958,0,0,0,0,G2
1,1,1,113.138,0,0,0,0,G2
2,0.019961,18.586517,110.500999,53.357498,0,0,0,G2
2,0.019659,18.952829,110.375,51.494499,0,0,0,G2
